,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2023-12-31,USD,90553000,108869000,124640000,39640000,431000,83090000,6652000,90122000,None,-21324000,None,21324000,130193000,-444000,None,1530000,-23710000,701000,21324000,-24411000,-24411000,-2386000,-856000,-24411000
1,2022-12-31,USD,63212000,86610000,85103000,25383000,1919000,58243000,3050000,61293000,None,-7244000,None,7244000,93854000,102000,None,1477000,-14011000,75000,7244000,-14086000,-14086000,-6767000,-5290000,-14086000
2,2021-12-31,USD,54262000,67040000,61495000,18214000,1614000,41315000,11084000,52648000,None,-5436000,None,5436000,72476000,197000,None,1717000,-17874000,133000,1000,-18007000,-18007000,-12438000,-10721000,-18007000
3,2020-12-31,USD,34408000,46635000,48635000,14463000,385000,31247000,2413000,34023000,None,-2236000,-2234000,2000,48871000,-73000,None,1880000,-3353000,4000,2000,-3419000,-3357000,385000,-1471000,-3357000
4,2019-12-31,USD,34416000,48665000,58562000,16749000,-4795000,33088000,2083000,39211000,None,-2500000,-2465000,35000,51165000,630000,None,1936000,176000,8000,35000,-133000,-418000,-4795000,2147000,168000
5,2018-12-31,USD,24851000,38644000,47372000,16521000,-5217000,29243000,825000,30068000,None,-2728000,-2208000,520000,41372000,103000,None,1608000,14665000,40000,520000,14585000,14585000,-5217000,16793000,14625000
6,2017-12-31,USD,13269000,20292000,39925000,13505000,-12163000,25019000,413000,25432000,None,-3026000,-2048000,978000,-3456000,-884000,1401000,1401000,-12920000,-935000,1862000,-11985000,-11985000,-12163000,-10541000,-11985000
7,2016-12-31,USD,10111000,19566000,35901000,9831000,-15882000,24951000,739000,50944000,None,-2774000,-1804000,970000,-1966000,1537000,1055000,1055000,-19198000,-111000,970000,-19198000,-19198000,-15882000,-17173000,-19087000
8,2015-12-31,USD,4510000,8639000,24461000,5206000,-14822000,19000000,332000,38332000,None,-1108000,-827000,281000,None,31000,255000,255000,-15894000,5000,281000,-15904000,-15904000,-14822000,-15358000,-15899000
9,2014-12-31,USD,567000,1656446,11618341,1092839,-10147000,10477496,237000,21191652,32446,29000,32800,3800,None,32446,37000,37000,-10115000,3000,3800,-10120903,-10120903,-10111200,-10074200,-10118000
10,2013-12-31,USD,10000,10000,6080797,7691000,-7686879,6080797,1616082,7696879,43755,None,None,None,None,43755,5659,5659,-334056,7309068,None,-7643124,-7643124,-7686879,-7637465,-7643124
11,2012-12-31,USD,-4100442,100000,2980374,4276000,-4178877,2980374,1298503,7688024,15410,-24658,None,24658,-1195410,-1204658,2944,2944,-5381935,1600,1220068,-5368125,-5383535,-5357277,-4160523,-5383535
12,2011-12-31,USD,-842382,None,827674,None,-939228,827674,111554,953936,None,-75000,None,75000,60292,-14708,338,1056,-953936,0,14708,-953936,-953936,-878936,-2500992,-953936
