,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-06-30,2024-08-07,-0.18,-0.2,0.02,10,post-market
1,2024-03-31,2024-05-13,-0.38,-0.2,-0.18,-90,post-market
2,2023-12-31,2024-03-19,-0.25,-0.04,-0.21,-525,post-market
3,2023-09-30,2023-11-13,-0.13,0.04,-0.17,-425,post-market
4,2023-06-30,2023-08-09,-0.14,-0.04,-0.1,-250,post-market
5,2023-03-31,2023-05-11,-0.22,-0.05,-0.17,-340,post-market
6,2022-12-31,2023-03-23,0.04,-0.12,0.16,133.3333,post-market
7,2022-09-30,2022-11-14,-0.24,-0.0133,-0.2267,-1704.5113,post-market
8,2022-06-30,2022-08-09,-0.23,-0.01,-0.22,-2200,post-market
9,2022-03-31,2022-05-05,0.03,-0.04,0.07,175,post-market
10,2021-12-31,2022-03-10,-0.27,-0.04,-0.23,-575,post-market
11,2021-09-30,2021-11-09,-0.31,-0.02,-0.29,-1450,post-market
12,2021-06-30,2021-08-10,-0.09,-0.03,-0.06,-200,post-market
13,2021-03-31,2021-05-11,0.01,-0.04,0.05,125,post-market
14,2020-12-31,2021-03-08,0.04,0.04,0,0,post-market
15,2020-09-30,2020-11-09,0.04,0.04,0,0,post-market
16,2020-06-30,2020-08-10,-0.01,-0.1,0.09,90,post-market
17,2020-03-31,2020-05-11,-0.5,-0.25,-0.25,-100,post-market
18,2019-12-31,2020-03-13,0.1,0.06,0.04,66.6667,pre-market
19,2019-09-30,2019-11-13,-0.29,-0.24,-0.05,-20.8333,post-market
20,2019-06-30,2019-08-14,-0.09,-0.08,-0.01,-12.5,post-market
21,2019-03-31,2019-05-09,0.43,-0.01,0.44,4400,post-market
22,2018-12-31,2019-03-12,0.77,0.34,0.43,126.4706,post-market
23,2018-09-30,2018-11-13,-0.12,-0.12,0,0,post-market
24,2018-06-30,2018-08-06,0.11,-0.12,0.23,191.6667,post-market
25,2018-03-31,2018-05-15,-0.17,-0.16,-0.01,-6.25,post-market
26,2017-12-31,2018-03-08,-0.13,None,None,None,post-market
27,2017-09-30,2017-11-14,-0.28,None,None,None,post-market
28,2017-06-30,2017-08-10,-0.26,None,None,None,post-market
29,2017-03-31,2017-05-10,-0.26,-0.19,-0.07,-36.8421,post-market
30,2016-12-31,2017-03-21,-0.3,-0.28,-0.02,-7.1429,post-market
31,2016-09-30,2016-11-14,-0.29,None,None,None,post-market
32,2016-06-30,2016-08-15,-0.35,None,None,None,post-market
33,2016-03-31,2016-05-12,-0.42,-0.27,-0.15,-55.5556,post-market
34,2015-12-31,2016-03-23,-0.48,-0.26,-0.22,-84.6154,post-market
35,2015-09-30,2015-11-12,-0.41,-0.38,-0.03,-7.8947,post-market
36,2015-06-30,2015-08-12,-0.39,-0.31,-0.08,-25.8065,post-market
37,2015-03-31,2015-05-13,-0.33,-0.25,-0.08,-32,post-market
38,2014-12-31,2015-03-12,-0.3,-0.26,-0.04,-15.3846,post-market
39,2014-09-30,2014-11-12,-0.3,-0.25,-0.05,-20,pre-market
40,2014-06-30,2014-09-03,-0.2849,None,None,None,pre-market
41,2014-03-31,2014-05-28,-0.258,None,None,None,pre-market
42,2013-12-31,2014-02-26,-0.21,None,None,None,pre-market
43,2013-09-30,2013-11-11,-0.2318,None,None,None,pre-market
44,2013-06-30,2013-08-28,-0.2495,None,None,None,pre-market
45,2013-03-31,2013-05-29,-0.1882,None,None,None,pre-market
46,2012-12-31,2013-02-27,-0.3234,None,None,None,pre-market
47,2012-09-30,2012-11-28,-0.2003,None,None,None,pre-market
48,2012-06-30,2012-08-29,-0.3886,None,None,None,pre-market
49,2012-03-31,2012-05-30,-1.297,None,None,None,pre-market
50,2011-12-31,2012-02-29,-0.9345,None,None,None,pre-market
51,2011-09-30,2011-11-30,-0.2148,None,None,None,pre-market
52,2011-06-30,2011-08-31,-0.4134,None,None,None,pre-market
53,2011-03-31,2011-06-01,-1.0854,None,None,None,pre-market
54,2010-12-31,2011-03-02,-1.0799,None,None,None,pre-market
55,2010-09-30,2010-11-08,-2,-1.2,-0.8,-66.6667,pre-market
56,2010-06-30,2010-08-12,-1.2,-1.2,0,0,pre-market
57,2010-03-31,2010-06-02,-2.2249,None,None,None,pre-market
58,2009-12-31,2010-03-03,-2,None,None,None,pre-market
59,2009-09-30,2009-12-02,-2.3755,None,None,None,pre-market
60,2009-06-30,2009-09-02,-3.1484,None,None,None,pre-market
61,2009-03-31,2009-06-03,-4.1665,None,None,None,pre-market
62,2008-12-31,2009-02-25,-2.5729,None,None,None,pre-market
63,2008-09-30,2008-12-03,-2.1082,None,None,None,pre-market
64,2008-06-30,2008-09-03,-3.4315,None,None,None,pre-market
65,2008-03-31,2008-05-28,-0.7947,None,None,None,pre-market
66,2007-12-31,2008-02-27,-6.8715,None,None,None,pre-market
67,2007-09-30,2007-09-30,-11.4761,None,None,None,pre-market
