,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2024-06-30,USD,36400000,48939000,46905000,12539000,1530000,31817000,3053000,34870000,None,-5471000,None,5471000,48939000,46000,301000,453000,-5818000,655000,5471000,-6473000,-6473000,1530000,1983000,-6473000
1,2024-03-31,USD,24034000,34587000,39978000,10553000,-6928000,28813000,2149000,30962000,None,-5415000,None,5415000,34587000,26000,None,432000,-13565000,3136724,None,-13565000,-13565000,-6928000,-6496000,-13565000
2,2023-12-31,USD,25053000,31231000,38329000,11302000,-4875000,26212000,3336000,29928000,None,-5124000,None,5124000,36355000,-100000,None,435000,-9683000,-535000,5124000,-9148000,-9148000,-4559000,-4124000,-9148000
3,2023-09-30,USD,24198000,28516000,33684000,10067000,1744000,21033000,1421000,22454000,None,-5749000,None,5749000,34265000,-195000,290000,405000,-2852000,1539000,5749000,-4391000,-4391000,2897000,3302000,-4391000
4,2023-06-30,USD,23470000,27766000,32800000,10000000,2352000,19957000,1161000,21118000,None,-5704000,None,5704000,33470000,-178000,228000,398000,-4244000,-15000,5704000,-4229000,-4229000,1460000,1858000,-4229000
5,2023-03-31,USD,17832000,21356000,24451000,8271000,1210000,15888000,734000,16622000,None,-4747000,None,4747000,26103000,29000,225000,292000,-6931000,-288000,4747000,-6643000,-6643000,-2184000,-1892000,-6643000
6,2022-12-31,USD,14164000,23730000,21791000,6165000,-1778000,15239000,703000,15942000,None,-1858000,None,1858000,25588000,4691000,None,387000,1055000,0,1858000,1055000,1055000,2913000,3300000,1055000
7,2022-09-30,USD,16102000,21023000,22540000,6721000,-94000,15421000,775000,16196000,None,-1800000,None,1800000,22823000,-4535000,171000,247000,-6429000,35000,1800000,-6464000,-6464000,-4629000,-4382000,-6464000
8,2022-06-30,USD,16789000,21529000,21117000,6534000,1690000,14185000,914000,15099000,None,-1794000,None,1794000,23323000,-6095000,381000,424000,-6199000,40000,1794000,-6239000,-6239000,-4405000,-3981000,-6239000
9,2022-03-31,USD,16157000,20328000,19780000,5963000,2101000,13398000,658000,14056000,None,-1792000,None,1792000,22120000,-2747000,376000,419000,-2438000,0,1792000,-2438000,-2438000,-646000,-227000,-2438000
10,2021-12-31,USD,15108000,18970000,18443000,5080000,-1755000,12672000,3942000,16863000,None,-1924000,None,1924000,20894000,248000,None,442000,-7285000,133000,-4217000,-7418000,-7418000,-1755000,-1313000,-7418000
11,2021-09-30,USD,13764000,17026000,16702000,4947000,-3717000,11356000,6125000,17481000,None,-1685000,None,1685000,18711000,0,410000,399000,-8328000,2220000,1685000,-8328000,-8328000,-3717000,-3318000,-8328000
12,2021-06-30,USD,13717000,16820000,13952000,4417000,4169000,9123000,425000,9548000,None,-1314000,None,1314000,18134000,-51000,361000,412000,-2478000,4340000,1314000,-2478000,-2478000,4169000,4581000,-2478000
13,2021-03-31,USD,11673000,14930000,12630000,3770000,2917000,8164000,592000,8756000,None,-513000,None,513000,15443000,0,436000,464000,217000,-1967000,1000,217000,217000,2917000,3381000,217000
14,2020-12-31,USD,10658000,13922000,12563000,3937000,2626000,7441000,591000,8032000,None,-673000,-2234000,-1561000,14595000,-97000,None,503000,1145000,4000,1000,1141000,1149000,2626000,3129000,1149000
15,2020-09-30,USD,10703000,13901000,12171000,3696000,1597000,8436000,670000,9106000,None,-498000,None,498000,14399000,5000,None,464000,8623000,-8590000,498000,8623000,8638000,1597000,2061000,8638000
16,2020-06-30,USD,4856000,7555000,10564000,3204000,-3210000,6954000,749000,8066000,None,-505000,-505000,0,8060000,19000,None,465000,-260000,-4385000,0,-260000,-283000,-3210000,-2745000,-237000
17,2020-03-31,USD,8191000,11257000,12490000,3626000,-628000,8416000,403000,8819000,None,-560000,-559000,1000,11817000,0,None,448000,-12923000,10834000,1000,-12923000,-12939000,-628000,-180000,-12907000
18,2019-12-31,USD,9039000,12043000,16047000,3565000,926000,7689000,424000,8113000,None,-561000,-560000,1000,12604000,0,None,571000,2592000,-4819000,1000,2584000,2527000,926000,1497000,2657000
19,2019-09-30,USD,8694000,12135000,12928000,4061000,-4398000,8608000,444000,13092000,None,-620000,-617000,3000,12755000,0,None,397000,-11630000,20681000,3000,-11630000,-11791000,-4398000,-4001000,-11469000
20,2019-06-30,USD,8291000,12800000,14238000,5225000,-767000,8248000,810000,9058000,None,-716000,-706000,10000,13516000,0,None,491000,-2420000,1611000,10000,-2420000,-2462000,-767000,-276000,-2378000
21,2019-03-31,USD,8392000,11687000,13022000,3898000,-556000,8543000,405000,8948000,None,-603000,-582000,21000,12290000,12492000,None,390000,11333000,-11914000,21000,11333000,11308000,-556000,-166000,11358000
22,2018-12-31,USD,7282000,10695000,13499000,4102000,-2163000,9012000,433000,9445000,None,-689000,-558000,131000,11384000,358000,None,385000,18130000,-14580000,131000,18090000,18090000,-2163000,-1778000,18130000
23,2018-09-30,USD,6548000,10034000,11211000,4191000,-649000,6964000,233000,7197000,None,-705000,-574000,131000,10739000,0,423000,423000,-2514000,1865000,131000,-2514000,-2514000,-649000,-226000,-2514000
24,2018-06-30,USD,6227000,10384000,4157000,4157000,-624000,6779000,72000,6851000,None,-671000,-541000,130000,10384000,-255000,401000,401000,2522000,-8466000,130000,2522000,2522000,-624000,-223000,2522000
25,2018-03-31,USD,4794000,8865000,4071000,4071000,-1781000,6488000,87000,6575000,None,-663000,-535000,128000,-1069000,0,399000,399000,-3513000,1732000,128000,-3513000,-3513000,-1781000,-1382000,-3513000
26,2017-12-31,USD,3880000,5866000,9398000,3457000,-2151000,5942000,89000,6031000,None,-678000,-512000,166000,-793000,0,None,360000,-3622000,-851000,166000,-2771000,-2771000,-2151000,-3096000,-2771000
27,2017-09-30,USD,3080000,3527000,9365000,3403000,-2764000,5781000,63000,5844000,None,-793000,-652000,141000,-2163000,-884000,None,382000,-5720000,-28000,1025000,-5692000,-5692000,-2764000,-5197000,-5692000
28,2017-06-30,USD,3569000,6857000,3288000,3288000,-3017000,6485000,101000,13229000,None,-767000,-471000,296000,-485000,5240000,None,314000,1456000,-28000,296000,1484000,1484000,-3017000,2066000,1484000
29,2017-03-31,USD,2740000,6097000,3357000,3357000,-4231000,6811000,160000,13797000,None,-788000,-452000,336000,-15000,-15000,None,345000,-5034000,-28000,336000,-5006000,-5006000,-4231000,-4353000,-5006000
30,2016-12-31,USD,2722000,5054000,8365000,2619000,-3508000,5629000,601000,11859000,None,-782000,-641000,141000,None,43000,None,356000,-6213000,4560000,141000,-6213000,-6213000,-3508000,-3152000,-6102000
31,2016-09-30,USD,2522000,6484000,9627000,2430000,-4612000,6815000,16000,13949000,None,-732000,-467000,265000,None,1494000,None,348000,-3850000,-156000,265000,-3850000,-3850000,-4612000,-4264000,-3850000
32,2016-06-30,USD,2735000,4276000,9022000,2263000,-4008000,6667000,76000,13410000,None,-631000,-367000,264000,None,None,None,268000,-4639000,631000,264000,-4639000,-4639000,-4008000,-3740000,-4639000
33,2016-03-31,USD,2132000,3752000,8533000,2610000,-3754000,5840000,46000,11726000,None,-629000,-367000,262000,None,-113000,None,83000,-4496000,855000,262000,-4496000,-4496000,-3754000,-3671000,-4496000
34,2015-12-31,USD,1556000,3074000,8234000,1947000,-4695000,6218000,33000,12469000,None,-429000,-323000,106000,None,None,None,69000,-5124000,429000,106000,-5129000,-5129000,-4695000,-4626000,-5124000
35,2015-09-30,USD,1481000,2260000,6207000,1202000,-3529000,4917000,93000,9927000,None,-423000,-353000,70000,None,None,None,84000,-3952000,423000,70000,-3952000,-3952000,-3529000,-3445000,-3952000
36,2015-06-30,USD,917000,1718000,5517000,1050000,-3481000,4373000,25000,8771000,None,-249000,-179000,70000,None,None,None,58000,-3730000,249000,70000,-3730000,-3730000,-3481000,-3423000,-3730000
