,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2023-12-31,USD,4429000000,7776000000,1271000000,913000000,4288000000,141000000,0.39,141000000,None,2794000000,6230000000,3436000000,1546000000,None,None,94000000,857000000,257000000,3436000000,2812000000,630000000,4293000000,3243000000,600000000
1,2022-12-31,USD,3320000000,4085000000,1069000000,1796000000,3195000000,125000000,0.48,125000000,None,1668000000,2686000000,1018000000,1399000000,None,None,84000000,536000000,156000000,1018000000,1842000000,354000000,1554000000,2182000000,380000000
2,2021-12-31,USD,3137000000,2938000000,927000000,859000000,3024000000,113000000,0.60,113000000,None,1148000000,1372000000,224000000,1566000000,None,None,74000000,459000000,151000000,224000000,1636000000,286000000,683000000,533000000,308000000
3,2020-12-31,USD,2368000000,2479000000,962000000,879000000,2277000000,91000000,0.50,91000000,None,872000000,1133000000,261000000,1346000000,None,None,62000000,272000000,77000000,261000000,1179000000,221000000,533000000,1441000000,195000000
4,2019-12-31,USD,1800000000,2580000000,780000000,1182000000,1715000000,85000000,0.44,85000000,None,1083000000,1726000000,643000000,854000000,None,None,780000000,229000000,68000000,643000000,1089000000,165000000,872000000,1245000000,161000000
5,2018-12-31,USD,1659000000,2366000000,707000000,295000000,1561000000,98000000,0.50,98000000,None,929000000,1392000000,463000000,974000000,None,None,707000000,240000000,71000000,463000000,1125000000,156000000,703000000,1204000000,169000000
6,2017-12-31,USD,1274000000,1927000000,653000000,266000000,960000000,292000000,0.58,314000000,None,908000000,908000000,225000000,687000000,None,None,631000000,332000000,256000000,None,793000000,87000000,960000000,1053000000,76000000
7,2016-12-31,USD,840000000,1475000000,635000000,269000000,552000000,288000000,0.50,288000000,None,606000000,606000000,79000000,775000000,None,None,635000000,146000000,62000000,None,699000000,80000000,552000000,773000000,84000000
8,2015-12-31,USD,525000000,1256000000,731000000,525000000,259000000,266000000,None,266000000,None,492000000,None,67000000,886000000,None,None,22000000,92000000,43000000,None,-515000000,39000000,259000000,750000000,49000000
9,2014-12-31,USD,578395000,1115000000,537153000,488500000,336494000,241901000,None,241901000,None,415252000,416152000,900000,809977000,None,None,19679000,91533000,47000000,900000,-247913000,30000000,92433000,506200000,44533000
10,2013-12-31,USD,502998000,1128000000,624862000,499500000,261239000,241759000,None,242459000,None,298967000,299667000,700000,502116000,None,None,19244000,70003000,33000000,700000,-397308000,34000000,70703000,451300000,37003000
11,2012-12-31,USD,588950000,1192470000,603520000,557500000,307850000,281100000,None,281679000,None,267848000,268427000,579000,412614000,None,None,19269000,71790000,30014000,579000,-325684000,51935000,72369000,527000000,41776000
12,2011-12-31,USD,827324000,1444568000,617244000,216300,574687000,252637000,None,254841000,None,277986000,280190000,2204000,456212000,None,None,37100000,115747000,53889000,2204000,-96446000,59208000,117951000,868300000,61858000
13,2010-12-31,USD,407028000,988317000,581289000,200200,183385000,223643000,None,223643000,None,172504000,175700000,3196000,386765000,None,None,37300000,50731000,60281000,3196000,-458317000,673000,53927000,444300000,-9550000
