,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-09-30,2024-10-15,1.75,1.82,-0.07,-3.8462,post-market
1,2024-06-30,2024-07-16,1.76,1.74,0.02,1.1494,post-market
2,2024-03-31,2024-04-16,1.64,1.63,0.01,0.6135,post-market
3,2023-12-31,2024-01-16,1.52,1.55,-0.03,-1.9355,post-market
4,2023-09-30,2023-10-17,1.55,1.51,0.04,2.649,post-market
5,2023-06-30,2023-07-18,1.32,1.4,-0.08,-5.7143,post-market
6,2023-03-31,2023-04-18,1.35,1.41,-0.06,-4.2553,post-market
7,2022-12-31,2023-01-17,1.3,1.17,0.13,11.1111,post-market
8,2022-09-30,2022-10-18,1.08,0.96,0.12,12.5,post-market
9,2022-06-30,2022-07-19,0.84,0.92,-0.08,-8.6957,post-market
10,2022-03-31,2022-04-19,0.82,0.82,0,0,post-market
11,2021-12-31,2022-01-18,0.83,0.82,0.01,1.2195,post-market
12,2021-09-30,2021-10-19,0.78,0.76,0.02,2.6316,post-market
13,2021-06-30,2021-07-20,0.82,0.82,0,0,post-market
14,2021-03-31,2021-04-20,0.98,0.91,0.07,7.6923,post-market
15,2020-12-31,2021-01-19,0.69,0.59,0.1,16.9492,post-market
16,2020-09-30,2020-10-20,0.53,0.55,-0.02,-3.6364,post-market
17,2020-06-30,2020-07-21,0.57,0.31,0.26,83.871,post-market
18,2020-03-31,2020-04-21,0.6,0.64,-0.04,-6.25,post-market
19,2019-12-31,2020-01-21,0.57,0.61,-0.04,-6.5574,post-market
20,2019-09-30,2019-10-15,0.45,0.49,-0.04,-8.1633,post-market
21,2019-06-30,2019-07-16,0.43,0.53,-0.1,-18.8679,post-market
22,2019-03-31,2019-04-16,0.63,0.53,0.1,18.8679,post-market
23,2018-12-31,2019-01-22,0.57,0.61,-0.04,-6.5574,post-market
24,2018-09-30,2018-10-16,0.51,0.5,0.01,2,post-market
25,2018-06-30,2018-07-17,0.39,0.41,-0.02,-4.878,post-market
26,2018-03-31,2018-04-17,0.65,0.59,0.06,10.1695,post-market
27,2017-12-31,2018-01-16,-0.02,0.4,-0.42,-105,post-market
28,2017-09-30,2017-10-17,0.43,0.38,0.05,13.1579,post-market
29,2017-06-30,2017-07-18,0.41,0.37,0.04,10.8108,post-market
30,2017-03-31,2017-04-18,0.4,0.39,0.01,2.5641,post-market
31,2016-12-31,2017-01-17,0.16,0.17,-0.01,-5.8824,post-market
32,2016-09-30,2016-10-18,0.3,0.33,-0.03,-9.0909,post-market
33,2016-06-30,2016-07-19,0.36,0.35,0.01,2.8571,post-market
34,2016-03-31,2016-04-19,0.6,0.47,0.13,27.6596,post-market
35,2015-12-31,2016-01-19,0.18,0.26,-0.08,-30.7692,post-market
36,2015-09-30,2015-10-20,0.23,0.32,-0.09,-28.125,post-market
37,2015-06-30,2015-07-21,0.44,0.37,0.07,18.9189,post-market
38,2015-03-31,2015-04-21,-0.24,-0.06,-0.18,-300,post-market
39,2014-12-31,2015-01-20,0.02,0.06,-0.04,-66.6667,post-market
40,2014-09-30,2014-10-21,-0.13,0.03,-0.16,-533.3333,post-market
41,2014-06-30,2014-07-15,0.29,0.29,0,0,pre-market
42,2014-03-31,2014-04-15,0.35,0.3,0.05,16.6667,pre-market
43,2013-12-31,2014-01-21,0.09,0.19,-0.1,-52.6316,pre-market
44,2013-09-30,2013-10-15,0.39,0.34,0.05,14.7059,pre-market
45,2013-06-30,2013-07-16,0.14,0.21,-0.07,-33.3333,pre-market
46,2013-03-31,2013-04-16,0.06,0.13,-0.07,-53.8462,pre-market
47,2012-12-31,2013-01-15,0.2,0.19,0.01,5.2632,pre-market
48,2012-09-30,2012-10-16,0.3,0.35,-0.05,-14.2857,pre-market
49,2012-06-30,2012-07-17,0.09,0.18,-0.09,-50,pre-market
50,2012-03-31,2012-04-19,0.3,0.33,-0.03,-9.0909,pre-market
51,2011-12-31,2012-01-19,0.27,0.24,0.03,12.5,pre-market
52,2011-09-30,2011-10-20,0.36,0.22,0.14,63.6364,pre-market
53,2011-06-30,2011-07-21,0.31,0.3,0.01,3.3333,pre-market
54,2011-03-31,2011-04-21,0.41,0.27,0.14,51.8519,pre-market
55,2010-12-31,2011-01-20,0.15,0.16,-0.01,-6.25,pre-market
56,2010-09-30,2010-10-21,0.26,0.19,0.07,36.8421,pre-market
57,2010-06-30,2010-07-22,0.09,0.21,-0.12,-57.1429,pre-market
58,2010-03-31,2010-04-22,0.09,0.19,-0.1,-52.6316,pre-market
59,2009-12-31,2010-01-21,0.06,0.22,-0.16,-72.7273,pre-market
60,2009-09-30,2009-10-22,0.2,0.31,-0.11,-35.4839,pre-market
61,2009-06-30,2009-07-23,0.31,0.3,0.01,3.3333,pre-market
62,2009-03-31,2009-04-23,0.3,0.46,-0.16,-34.7826,pre-market
63,2008-12-31,2009-01-22,0.49,0.53,-0.04,-7.5472,pre-market
64,2008-09-30,2008-10-23,0.65,0.61,0.04,6.5574,pre-market
65,2008-06-30,2008-07-24,0.44,0.5,-0.06,-12,pre-market
66,2008-03-31,2008-04-24,0.66,0.5,0.16,32,pre-market
67,2007-12-31,2008-01-24,0.46,0.43,0.03,6.9767,pre-market
68,2007-09-30,2007-10-25,0.53,0.34,0.19,55.8824,pre-market
69,2007-06-30,2007-07-26,0.33,0.33,0,0,pre-market
70,2007-03-31,2007-05-29,4.5834,None,None,None,pre-market
