,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2024-06-30,USD,1286000000,1636000000,350000000,261000000,1276000000,10000000,None,10000000,None,792000000,None,1036000000,438000000,None,None,24000000,250000000,71000000,None,809000000,177000000,1276000000,904000000,179000000
1,2024-03-31,USD,1245000000,2216000000,337000000,125000000,1207000000,38000000,None,38000000,None,747000000,1760000000,1013000000,456000000,None,None,24000000,246000000,71000000,1013000000,795000000,149000000,1259000000,892000000,175000000
2,2023-12-31,USD,1164000000,2104000000,323000000,100000000,1127000000,37000000,None,37000000,None,730000000,1695000000,965000000,409000000,None,None,25000000,237000000,77000000,965000000,739000000,197000000,1202000000,850000000,160000000
3,2023-09-30,USD,1173000000,2055000000,305000000,1135000000,1163000000,10000000,None,10000000,None,733000000,1643000000,910000000,412000000,None,None,23000000,235000000,68000000,910000000,772000000,148000000,1145000000,880000000,167000000
4,2023-06-30,USD,974000000,1851000000,348000000,1080000000,964000000,10000000,None,10000000,None,694000000,1545000000,851000000,306000000,None,None,23000000,176000000,51000000,851000000,601000000,132000000,1027000000,650000000,125000000
5,2023-03-31,USD,1118000000,1766000000,295000000,933000000,1083000000,35000000,None,35000000,None,637000000,1347000000,710000000,419000000,None,None,23000000,209000000,61000000,710000000,700000000,153000000,919000000,767000000,148000000
6,2022-12-31,USD,1020000000,1522000000,287000000,755000000,984000000,36000000,None,36000000,None,565000000,1111000000,546000000,411000000,None,None,22000000,192000000,56000000,546000000,633000000,174000000,738000000,711000000,136000000
7,2022-09-30,USD,843000000,1100000000,267000000,508000000,835000000,8000000,None,8000000,None,473000000,783000000,310000000,317000000,None,None,20000000,139000000,40000000,310000000,483000000,69000000,449000000,525000000,99000000
8,2022-06-30,USD,714000000,768000000,264000000,98000000,705000000,9000000,None,9000000,None,348000000,460000000,112000000,308000000,None,None,21000000,104000000,32000000,112000000,360000000,48000000,216000000,394000000,72000000
9,2022-03-31,USD,743000000,695000000,251000000,92000000,714000000,29000000,None,29000000,None,282000000,332000000,50000000,363000000,None,None,21000000,101000000,28000000,50000000,366000000,63000000,151000000,396000000,73000000
10,2021-12-31,USD,693000000,658000000,230000000,73000000,655000000,38000000,None,38000000,None,295000000,350000000,55000000,308000000,None,None,20000000,102000000,35000000,55000000,338000000,66000000,157000000,373000000,67000000
11,2021-09-30,USD,545000000,515000000,230000000,79000000,537000000,8000000,None,8000000,None,274000000,325000000,51000000,190000000,None,None,18000000,70000000,28000000,51000000,206000000,33000000,121000000,234000000,42000000
