,fiscalDateEnding,reportedEPS
0,2024-09-30,6.81
1,2023-12-31,7.5
2,2022-12-31,3.49
3,2021-12-31,2.1
4,2020-12-31,1.5667
5,2019-12-31,0.66
6,2018-12-31,1.7
7,2017-12-31,6.07
8,2016-12-31,8.77
9,2015-12-31,3.27
10,2014-12-31,2.58
11,2013-12-31,1.05
12,2012-12-31,6.59
13,2011-12-31,1.94
14,2010-12-31,3.42
15,2009-12-31,1.68
16,2008-12-31,0.57
17,2007-12-31,0.39
18,2006-12-31,3.98
19,2005-12-31,0.2
20,2004-12-31,-0.003
21,2003-12-31,0.58
22,2002-12-31,0.0303
23,2001-12-31,-0.36
24,2000-12-31,-0.8981
25,1999-12-31,0.56
26,1998-12-31,0.82
27,1997-12-31,-0.89
