,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2023-12-31,USD,463664000,516955000,53291000,79397000,221615000,53291000,195285000,53291000,None,-44817000,46628000,44817000,550588000,57812000,4100000,77200000,237626000,23557000,44817000,211053000,214338000,282443000,357219000,214069000
1,2022-12-31,USD,355880000,406489000,50609000,71419000,150516000,47377000,185200000,235809000,None,-29496000,14452000,29496000,442704000,-3457000,4900000,78300000,119195000,25502000,40686000,92061000,93348000,148691000,150339000,93693000
2,2021-12-31,USD,307208000,407069000,99861000,175741000,71206000,61217000,200500000,189229000,None,-25225000,1690000,25225000,422409000,11575000,5600000,77100000,70663000,15368000,25225000,42188000,54908000,95888000,110658000,55295000
3,2020-12-31,USD,279356000,329455000,50099000,170178000,55168000,48999000,204400000,142238000,None,-40799000,5661000,40799000,358991000,16924000,5300000,80200000,38153000,-6648000,40799000,37941000,44691000,78952000,72092000,44801000
4,2019-12-31,USD,226549000,280969000,54420000,154940000,37835000,51289000,74900000,126268000,14991000,-40955000,14991000,40955000,321924000,29062000,3900000,171860,31919000,10991000,46455000,14951000,23325000,72874000,66897000,20928000
5,2018-12-31,USD,253111000,307404000,54293000,124081000,62595000,51030000,69700000,141485000,14590000,35956000,71912000,35956000,307404000,5419000,3700000,66108000,37614000,-27417000,-35956000,59475000,65092000,73570000,128703000,65031000
6,2017-12-31,USD,471393000,532938000,61545000,111157000,301495000,53068000,75700000,132001000,8488000,-17845000,8488000,17845000,532938000,8740000,3900000,57053000,297896000,121676000,17845000,170714000,174651000,315741000,358548000,176220000
7,2016-12-31,USD,605747000,665854000,60107000,100000,437306000,52067000,73118000,125389000,3748000,-7894000,13232000,21126000,665854000,-15035000,4100000,52753000,425792000,116791000,7894000,305480000,305144000,446918000,490059000,309001000
8,2015-12-31,USD,382968000,441435000,58467000,100000,208549000,39783000,72702000,131069000,3858000,-12053000,18364000,30417000,None,-27534000,3800000,47793000,181015000,64621000,12053000,116394000,116098000,211432000,256342000,116394000
9,2014-12-31,USD,368946000,415821000,46875000,100000,168960000,37753000,75300000,122075000,None,-7053000,None,7053000,None,-15432000,3900000,42246000,153528000,52108000,7053000,101420000,101552000,168960000,211858000,101420000
10,2013-12-31,USD,281297000,325361000,44064000,100000,84756000,31295000,64729000,111106000,None,-7053000,None,7053000,None,-23237000,3600000,1303000,61519000,25836000,7053000,35683000,34805000,84756000,69875000,35683000
11,2012-12-31,USD,603911000,663063000,59152000,100000,419030000,37351000,67862000,137064000,None,-7053000,None,7053000,None,-10396000,3600000,1303000,408634000,136830000,7053000,271804000,273107000,419030000,416990000,271804000
12,2011-12-31,USD,269179000,301742000,32563000,100000,134757000,31486000,63763000,104939000,None,-5290000,None,5290000,None,-10149000,4200000,977000,124608000,35140000,5290000,89468000,88918000,134757000,130875000,89468000
13,2010-12-31,USD,366244000,394545000,28301000,58907000,235873000,28301000,71464000,158672000,2574000,None,None,None,None,2574000,4900000,22125000,238447000,84831000,None,153616000,153450000,235873000,233299000,153616000
