,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2024-06-30,USD,209207000,223493000,14286000,25156000,133906000,14286000,50145000,14286000,None,-1358000,10125000,11483000,223493000,11682000,None,17376000,134105000,24441000,11483000,109664000,109574000,133906000,151282000,109664000
1,2024-03-31,USD,235380000,249220000,13840000,96589000,103738000,13840000,49375000,13840000,None,-11922000,11778000,11922000,261142000,9247000,None,17240000,101063000,19411000,11922000,81652000,81157000,112985000,120978000,81652000
2,2023-12-31,USD,95191000,109796000,14605000,19863000,25325000,14605000,45725000,14605000,None,-7906000,12931000,7906000,106518000,15509000,None,19094000,32928000,-6158000,7906000,39086000,40585000,40834000,59928000,39086000
3,2023-09-30,USD,112745000,127423000,14678000,21522000,53653000,14678000,50253000,14678000,None,-12683000,11763000,12683000,140106000,14725000,None,19527000,56482000,8541000,12683000,47154000,47971000,69165000,87905000,47941000
4,2023-06-30,USD,77757000,89450000,11693000,16644000,23376000,11693000,49878000,11693000,None,-12141000,10254000,12141000,101591000,14387000,None,122085,26112000,4329000,12141000,21293000,19944000,38253000,57408000,21783000
5,2023-03-31,USD,176171000,190986000,14815000,21368000,119261000,12315000,49429000,14815000,None,-12087000,11680000,12087000,203073000,13191000,None,41584,122104000,16845000,12087000,103520000,105838000,134191000,132452000,105259000
6,2022-12-31,USD,83885000,96396000,12511000,20170000,38594000,12559000,128713000,141224000,None,-10050000,9525000,10050000,113165000,11652000,None,54880,40598000,8190000,10040000,32006000,32722000,50648000,50246000,32408000
7,2022-09-30,USD,92687000,107105000,14418000,46720000,31837000,14418000,21789000,36207000,None,-7659000,4421000,7659000,114764000,912000,None,27081,25545000,3323000,7659000,21767000,21930000,33204000,51462000,22222000
8,2022-06-30,USD,90808000,103062000,12254000,45417000,49900000,9516000,17086000,29340000,None,-6272000,297000,6272000,113457000,-15016000,None,86065,29097000,8028000,17472000,20584000,21012000,35369000,69966000,21069000
9,2022-03-31,USD,83163000,94589000,11426000,42095000,30185000,10884000,17612000,29038000,None,-5515000,209000,5515000,101318000,-1005000,None,60459,23955000,5961000,5515000,17704000,17684000,29470000,49004000,17994000
