,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2023-12-31,USD,50158269,65562296,15404027,181443,20035458,27264155,2858656,30122811,1864113,1864113,1864113,None,65400917,None,648133,117047,21738256,4545480,None,17192776,17192776,20035458,20152505,17192776
1,2022-12-31,USD,41282403,53303145,12020742,55737,15627645,23376677,2278081,25654758,581852,581852,581852,581852,53276138,553104,569551,569551,16180749,3352262,None,12828487,12811475,15627645,16197196,12828487
2,2021-12-31,USD,32049925,41814581,9764656,118217,9817682,20327200,1905043,22232243,34806,34806,34806,18605,41774243,18605,532275,532275,9836287,510816,None,9325471,9305396,9817682,10349957,9325471
3,2020-12-31,USD,23574410,31717372,8142962,-87178,-756091,22427971,1902530,24330501,132185,132185,132185,139213,31700632,139213,510652,92945,-616878,-1985879,None,1369001,1375714,-756091,-663146,1369001
4,2019-12-31,USD,29700980,38517141,8816161,48114,8647405,19620856,1432719,21053575,388801,388801,388801,395912,38513488,395912,501218,89963,9043317,-587642,None,9630959,9703525,8647405,8737368,9630959
5,2018-12-31,USD,23227350,30438983,7211633,111790,6003770,15706468,1517112,17223580,238106,238106,238106,None,30423722,193537,470395,89333,6197307,-106143,None,6303450,6320663,6003770,6093103,6303450
6,2017-12-31,USD,17511696,23081592,5569896,69199,1285009,14504123,1722564,16226687,122575,122575,122575,None,-4437,111377,362872,82399,1396386,896622,None,499764,487704,1285009,1367408,499764
7,2016-12-31,USD,26341712,32496548,6154836,94186,10920054,14074151,1347507,15421658,126419,126419,126419,None,-7734,-2048,230282,18017,10952734,3738189,None,7214545,7232981,10920054,10938071,7214545
8,2015-12-31,USD,25753313,31593720,5840407,51089,11513149,12475858,1764306,14240164,148907,None,24000,None,-23999,52,187936,36006,11634534,4104614,None,7529920,7496108,11513149,11549155,7529920
9,2014-12-31,USD,12248657,15653057,3404400,62069,3065890,8114093,1068674,9182767,5701,None,None,None,56969,-4597,110557,38499,3017341,966975,None,2050366,2027969,3065890,3104389,2050366
