,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-06-30,2024-08-01,0.42,0.37,0.05,13.5135,pre-market
1,2024-03-31,2024-05-02,0.36,0.34,0.02,5.8824,pre-market
2,2023-12-31,2024-02-08,0.39,0.4,-0.01,-2.5,pre-market
3,2023-09-30,2023-11-03,0.43,0.36,0.07,19.4444,pre-market
4,2023-06-30,2023-08-03,0.36,0.31,0.05,16.129,pre-market
5,2023-03-31,2023-05-04,0.3,0.28,0.02,7.1429,pre-market
6,2022-12-31,2023-02-02,0.32,0.3,0.02,6.6667,pre-market
7,2022-09-30,2022-11-03,0.29,0.25,0.04,16,pre-market
8,2022-06-30,2022-07-29,0.26,0.24,0.02,8.3333,post-market
9,2022-03-31,2022-04-29,0.22,0.21,0.01,4.7619,pre-market
10,2021-12-31,2022-02-04,0.33,0.21,0.12,57.1429,pre-market
11,2021-09-30,2021-10-29,0.23,0.17,0.06,35.2941,pre-market
12,2021-06-30,2021-07-30,0.14,0.1,0.04,40,pre-market
13,2021-03-31,2021-04-30,0.13,0.1,0.03,30,pre-market
14,2020-12-31,2021-02-04,0.07,0.11,-0.04,-36.3636,pre-market
15,2020-09-30,2020-10-30,0.11,0.1,0.01,10,pre-market
16,2020-06-30,2020-07-30,0.05,-0.01,0.06,600,pre-market
17,2020-03-31,2020-04-30,0.18,0.15,0.03,20,pre-market
18,2019-12-31,2020-02-06,0.3,0.21,0.09,42.8571,pre-market
19,2019-09-30,2019-10-30,0.23,0.16,0.07,43.75,pre-market
20,2019-06-30,2019-07-30,0.2,0.15,0.05,33.3333,pre-market
21,2019-03-31,2019-04-30,0.13,0.15,-0.02,-13.3333,pre-market
22,2018-12-31,2019-02-06,0.16,0.13,0.03,23.0769,pre-market
23,2018-09-30,2018-10-30,0.14,0.1,0.04,40,pre-market
24,2018-06-30,2018-07-31,0.14,0.1,0.04,40,pre-market
25,2018-03-31,2018-04-30,0.1,0.06,0.04,66.6667,pre-market
26,2017-12-31,2018-02-06,0.1,0.06,0.04,66.6667,pre-market
27,2017-09-30,2017-10-30,0.07,0.03,0.04,133.3333,pre-market
28,2017-06-30,2017-07-28,0.06,0.01,0.05,500,pre-market
29,2017-03-31,2017-04-28,-0.02,0.01,-0.03,-300,pre-market
30,2016-12-31,2017-02-06,0.11,0.04,0.07,175,pre-market
31,2016-09-30,2016-10-28,0.14,0.11,0.03,27.2727,pre-market
32,2016-06-30,2016-07-29,0.24,0.21,0.03,14.2857,pre-market
33,2016-03-31,2016-04-29,0.21,0.18,0.03,16.6667,pre-market
34,2015-12-31,2016-02-05,0.22,0.19,0.03,15.7895,pre-market
35,2015-09-30,2015-10-30,0.19,0.16,0.03,18.75,pre-market
36,2015-06-30,2015-07-30,0.16,0.12,0.04,33.3333,pre-market
37,2015-03-31,2015-04-30,0.14,0.12,0.02,16.6667,pre-market
38,2014-12-31,2015-02-05,0.03,-0.01,0.04,400,pre-market
39,2014-09-30,2014-10-30,0.03,-0.01,0.04,400,post-market
40,2014-06-30,2014-08-12,0.1148,None,None,None,pre-market
