,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2024-06-30,USD,14009593,17928876,3919283,65713,5627043,7581421,801129,8382550,None,None,None,None,17928876,None,141697,57433,6269260,1368036,None,4901224,4901224,5627043,5684476,4901224
1,2024-03-31,USD,13387723,17598119,4210396,39001,4748347,4812211,3827165,8639376,None,None,None,None,17597912,None,168657,57432,5243501,1106968,None,4136533,4136533,4748347,4805779,4136533
2,2023-12-31,USD,13412940,17452176,4039236,-38485,5159833,7602672,650435,8253107,None,None,None,342409,17303332,None,None,-367047,5681643,1141957,None,4539686,4539686,5159833,4792786,4539686
3,2023-09-30,USD,12837384,16504640,3667256,52545,5905340,6479489,452555,6932044,None,None,None,None,16504640,None,None,164595,6408532,1341352,None,5067180,5067180,5905340,6069935,5067180
4,2023-06-30,USD,12186492,16130396,3943904,80693,4963035,6261505,961952,7223457,None,None,None,None,16130396,335387,162121,162121,5298422,1118582,None,4179840,4179840,4963035,5125156,4179840
5,2023-03-31,USD,11721448,15475083,3753635,86690,4007245,6920486,2999976,7714202,None,None,None,342409,15475083,342409,157314,157314,4349659,943589,None,3406066,3406066,4007246,4164560,3406070
6,2022-12-31,USD,11220378,14863594,3643216,26510,4253845,6361789,604744,6966533,None,None,None,448647,14833587,449734,149581,149581,4703578,1029961,None,3673617,3673617,4253845,4403426,3673617
7,2022-09-30,USD,10542738,13407272,2864534,9403,4132296,5918799,491643,6410442,None,None,None,105183,13407272,105183,142389,142389,4237479,810375,None,3427104,3427104,4132296,4274685,3427104
8,2022-06-30,USD,10139763,12721569,2581806,7570,4166581,5310583,662599,5973182,None,None,None,13102,12721569,13102,142710,142710,4179683,938631,None,3241052,3234925,4166581,4309291,3241052
9,2022-03-31,USD,9379524,12310710,2931186,12254,3074923,5785506,519095,6304601,None,None,None,14915,12315604,-14915,134870,134870,3060008,573295,None,2486713,2475828,3074923,3209793,2486713
10,2021-12-31,USD,9249751,11872860,2623109,66486,3109565,5645335,494851,6140186,None,None,None,None,11833588,3930,135997,455797,3113495,-779172,None,3892667,3888448,3109565,3565362,3892667
11,2021-09-30,USD,8405557,10907302,2501745,-1247,3086885,4837976,480696,5318672,None,None,None,None,10907302,7143,131541,25256,3094028,517767,None,2576261,2573313,3086885,3112141,2576261
12,2021-06-30,USD,7332301,9810423,2478122,54970,1844226,5034396,453679,5488075,None,None,None,None,9810423,13195,137598,25104,1857421,387727,None,1469694,1461655,1844226,1869330,1469694
13,2021-03-31,USD,7062316,9223996,2161680,-1992,1777006,4809493,475817,5285310,None,None,None,None,9223996,-5663,127139,26118,1771343,384494,None,1386849,1381980,1777006,1803124,1386849
14,2020-12-31,USD,6439434,8546043,2106609,-116387,651026,5275690,512718,5788408,None,None,None,None,8529303,13507,127886,24456,664533,27119,None,637414,627740,651026,675482,637414
15,2020-09-30,USD,5741060,7699096,1958036,-6167,784758,4479426,476876,4956302,None,None,None,None,7699096,9352,128513,22999,794110,-280536,None,1074646,1067465,784758,807757,1074646
16,2020-06-30,USD,4930105,6794692,1864587,-92767,-2929110,7376561,482654,7859215,None,None,None,None,6794692,17852,127945,22999,-2911258,-798988,None,-2112270,-2099135,-2929110,-2906111,-2112270
17,2020-03-31,USD,6463811,8677541,2213730,128143,737235,5296294,430282,5726576,None,None,None,None,8677541,98502,126308,22491,835737,-933474,None,1769211,1779644,737235,759726,1769211
18,2019-12-31,USD,8148815,10890653,2741838,-56293,2238916,5530589,379310,5909899,None,None,None,None,10887000,115249,127390,22491,2354165,-887518,None,3241683,3242917,2238916,2261407,3241683
