,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2023-12-31,USD,1289429000,22749073000,21459644000,17292016000,1066203000,3557167000,None,4521354000,237818000,-350244000,237818000,350244000,69923000,-34933000,266590000,516797000,723507000,160227000,387248000,734317000,680806000,1073751000,1590548000,563280000
1,2022-12-31,USD,869792000,16681254000,15811462000,12337524000,732118000,2955884000,10316000,3709502000,77620000,-278483000,77620000,278483000,87882000,-36827000,225770000,449976000,392240000,96254000,278483000,409193000,353874000,670723000,1120699000,295986000
2,2021-12-31,USD,-227088000,6268447000,6527088000,4355989000,-417858000,1754822000,18758000,2215290000,6625000,-282440000,6625000,282440000,21811000,-3692000,222840000,416277000,-653385000,-2481000,282440000,-608786000,-621859000,-370945000,45332000,-650904000
3,2020-12-31,USD,-1574189000,1861178000,3435367000,1402400000,-1653192000,1524342000,None,2052946000,11737000,-226832000,11737000,226832000,8497000,18807000,245713000,485025000,-1753410000,-28875000,226832000,-1827790000,-1755831000,-1526578000,-1041553000,-1724535000
4,2019-12-31,USD,464510000,11547969000,11083459000,8467182000,324844000,2145486000,None,2810669000,14406000,-157521000,137658000,157521000,5573000,-3201000,220459000,443991000,136781000,66892000,157521000,118212000,69407000,294302000,738293000,69889000
5,2018-12-31,USD,425811000,10787800000,10361989000,7967932000,272536000,1997028000,None,2584153000,8961000,-138505000,2471000,140976000,-24440000,-12163000,185376000,386529000,101014000,40765000,140976000,90340000,23560000,241990000,628519000,60249000
6,2017-12-31,USD,205400000,9687222000,10132048000,7748791000,91397000,1907723000,None,2537555000,5717000,-106722000,1048000,107770000,3021000,115000,149634000,372201000,-23169000,-17154000,107770000,7774000,62150000,84601000,456802000,-6015000
7,2016-12-31,USD,303670000,7826336000,8051264000,6082708000,194940000,1548450000,None,2115422000,2573000,-106506000,2573000,106506000,-22973000,-10830000,139288000,318584000,30971000,28029000,120555000,20297000,-62108000,137477000,456061000,2942000
8,2015-12-31,USD,240011000,7245731000,7005720000,5196473000,131372000,1411855000,None,1937391000,3528000,-102881000,97851000,102881000,-36145000,-27168000,134148000,397241000,-10386000,22122000,102881000,-15769000,-74155000,92495000,489736000,-32508000
9,2014-12-31,USD,86600000,6866964000,6780364000,4919969000,7164000,1337316000,None,1956901000,3606000,-106312000,None,106312000,-24594000,-8256000,127168000,368143000,-86177000,4630000,106500000,-104450000,-158447000,20135000,388278000,-90807000
10,2013-12-31,USD,175987000,6478547000,6302560000,4680507000,139660000,1226892000,None,1832205000,5071000,-111659000,None,111659000,-810000,-2796000,122164000,368923000,-12500000,30878000,147928000,-36015000,-34825000,99159000,468082000,-43378000
11,2012-12-31,USD,-2639000,5819047000,5821686000,4151277000,-21639000,1143632000,None,1952389000,4170000,-123740000,None,123740000,2374000,-1333000,124593000,429557000,-133491000,29736000,123280000,-161897000,-137776000,-9751000,419806000,-163227000
12,2011-12-31,USD,107372000,5383998000,5276626000,3789488000,18337000,1111969000,None,1790604000,4215000,-120414000,None,120414000,-6078000,-6507000,129177000,343018000,-109240000,-26224000,120414000,-70403000,-97146000,11174000,354192000,-83016000
