,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-06-30,2024-07-30,1.03,1.07,-0.04,-3.7383,post-market
1,2024-03-31,2024-05-02,-0.53,-0.19,-0.34,-178.9474,post-market
2,2023-12-31,2024-02-22,-1.25,-1.04,-0.21,-20.1923,post-market
3,2023-09-30,2023-11-02,1.78,1.27,0.51,40.1575,post-market
4,2023-06-30,2023-07-27,1.02,0.63,0.39,61.9048,post-market
5,2023-03-31,2023-05-04,-0.25,-0.42,0.17,40.4762,post-market
6,2022-12-31,2023-02-23,-0.87,-0.92,0.05,5.4348,post-market
7,2022-09-30,2022-11-03,1.39,1.03,0.36,34.9515,post-market
8,2022-06-30,2022-08-04,0.66,0.51,0.15,29.4118,post-market
9,2022-03-31,2022-05-05,-0.39,-0.79,0.4,50.6329,post-market
10,2021-12-31,2022-02-23,-0.86,-0.54,-0.32,-59.2593,post-market
11,2021-09-30,2021-11-04,0.19,-0.05,0.24,480,post-market
12,2021-06-30,2021-08-03,-0.9,-1.18,0.28,23.7288,post-market
13,2021-03-31,2021-05-06,-1.44,-1.55,0.11,7.0968,post-market
14,2020-12-31,2021-02-25,-2.04,-2.3,0.26,11.3043,post-market
15,2020-09-30,2020-11-05,-2.45,-2.2,-0.25,-11.3636,post-market
16,2020-06-30,2020-08-05,-2.67,-2.08,-0.59,-28.3654,post-market
17,2020-03-31,2020-05-07,-0.94,-0.97,0.03,3.0928,post-market
18,2019-12-31,2020-02-27,-0.88,-0.71,-0.17,-23.9437,post-market
19,2019-09-30,2019-10-31,0.71,0.77,-0.06,-7.7922,post-market
20,2019-06-30,2019-07-25,0.41,0.4,0.01,2.5,post-market
21,2019-03-31,2019-05-02,-0.31,-0.34,0.03,8.8235,post-market
22,2018-12-31,2019-02-28,-0.8,-0.74,-0.06,-8.1081,post-market
23,2018-09-30,2018-11-01,0.7,0.63,0.07,11.1111,post-market
24,2018-06-30,2018-07-26,0.24,0.19,0.05,26.3158,post-market
25,2018-03-31,2018-05-03,-0.24,-0.29,0.05,17.2414,post-market
26,2017-12-31,2018-02-27,-1.29,-1.08,-0.21,-19.4444,post-market
27,2017-09-30,2017-11-02,0.53,0.56,-0.03,-5.3571,post-market
28,2017-06-30,2017-08-09,0.29,0.19,0.1,52.6316,post-market
29,2017-03-31,2017-05-04,-0.22,-0.33,0.11,33.3333,post-market
30,2016-12-31,2017-02-23,-0.57,-0.58,0.01,1.7241,post-market
