,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-09-30,2024-10-24,1.26,1.32,-0.06,-4.5455,post-market
1,2024-06-30,2024-07-25,1.79,1.64,0.15,9.1463,post-market
2,2024-03-31,2024-05-02,1.69,1.63,0.06,3.681,post-market
3,2023-12-31,2024-02-15,1.08,1.06,0.02,1.8868,post-market
4,2023-09-30,2023-10-26,0.95,1.06,-0.11,-10.3774,post-market
5,2023-06-30,2023-07-27,1.22,1.2,0.02,1.6667,post-market
6,2023-03-31,2023-05-04,1.28,1.36,-0.08,-5.8824,post-market
7,2022-12-31,2023-02-16,0.89,1.03,-0.14,-13.5922,post-market
8,2022-09-30,2022-10-27,0.93,0.89,0.04,4.4944,post-market
9,2022-06-30,2022-07-28,1.07,1.01,0.06,5.9406,post-market
10,2022-03-31,2022-05-05,1.08,0.91,0.17,18.6813,post-market
11,2021-12-31,2022-02-22,0.76,0.69,0.07,10.1449,post-market
12,2021-09-30,2021-10-28,0.75,0.81,-0.06,-7.4074,post-market
13,2021-06-30,2021-07-29,1.08,0.99,0.09,9.0909,post-market
14,2021-03-31,2021-04-29,0.91,0.59,0.32,54.2373,post-market
15,2020-12-31,2021-02-18,0.28,0.49,-0.21,-42.8571,post-market
16,2020-09-30,2020-10-28,0.42,0.19,0.23,121.0526,post-market
17,2020-06-30,2020-08-03,-0.48,-0.63,0.15,23.8095,post-market
18,2020-03-31,2020-05-04,0.23,0.58,-0.35,-60.3448,post-market
19,2019-12-31,2020-02-20,0.61,0.52,0.09,17.3077,post-market
20,2019-09-30,2019-10-28,0.52,0.46,0.06,13.0435,post-market
21,2019-06-30,2019-07-29,0.63,0.63,0,0,post-market
22,2019-03-31,2019-04-29,0.7,0.82,-0.12,-14.6341,post-market
23,2018-12-31,2019-02-19,0.42,0.41,0.01,2.439,post-market
24,2018-09-30,2018-10-29,0.4,0.54,-0.14,-25.9259,post-market
25,2018-06-30,2018-07-30,0.62,0.67,-0.05,-7.4627,post-market
26,2018-03-31,2018-04-30,0.76,0.76,0,0,post-market
27,2017-12-31,2018-02-20,0.4,0.37,0.03,8.1081,post-market
28,2017-09-30,2017-10-30,0.43,0.43,0,0,post-market
29,2017-06-30,2017-07-31,0.53,0.53,0,0,post-market
30,2017-03-31,2017-05-01,0.61,0.58,0.03,5.1724,post-market
31,2016-12-31,2017-02-21,0.29,0.38,-0.09,-23.6842,post-market
32,2016-09-30,2016-11-01,0.37,0.38,-0.01,-2.6316,post-market
33,2016-06-30,2016-08-01,0.47,0.45,0.02,4.4444,post-market
34,2016-03-31,2016-05-02,0.55,0.54,0.01,1.8519,post-market
35,2015-12-31,2016-02-22,0.32,0.3,0.02,6.6667,post-market
36,2015-09-30,2015-11-02,0.29,0.3,-0.01,-3.3333,post-market
37,2015-06-30,2015-08-03,0.3,0.37,-0.07,-18.9189,post-market
38,2015-03-31,2015-05-04,0.46,0.44,0.02,4.5455,post-market
39,2014-12-31,2015-02-23,0.26,0.26,0,0,post-market
40,2014-09-30,2014-11-03,0.27,0.29,-0.02,-6.8966,post-market
41,2014-06-30,2014-08-04,0.33,0.33,0,0,pre-market
42,2014-03-31,2014-05-05,0.37,0.38,-0.01,-2.6316,pre-market
43,2013-12-31,2014-02-24,0.19,0.24,-0.05,-20.8333,pre-market
44,2013-09-30,2013-10-28,0.24,0.25,-0.01,-4,pre-market
45,2013-06-30,2013-07-29,0.28,0.29,-0.01,-3.4483,pre-market
46,2013-03-31,2013-04-29,0.37,0.35,0.02,5.7143,pre-market
47,2012-12-31,2013-02-19,0.19,0.18,0.01,5.5556,pre-market
48,2012-09-30,2012-11-01,0.25,0.23,0.02,8.6957,pre-market
49,2012-06-30,2012-07-30,0.28,0.24,0.04,16.6667,pre-market
50,2012-03-31,2012-04-30,0.31,0.29,0.02,6.8966,pre-market
51,2011-12-31,2012-02-21,0.17,0.16,0.01,6.25,pre-market
52,2011-09-30,2011-11-01,0.22,0.19,0.03,15.7895,pre-market
53,2011-06-30,2011-08-01,0.22,0.23,-0.01,-4.3478,pre-market
54,2011-03-31,2011-05-02,0.27,0.29,-0.02,-6.8966,pre-market
55,2010-12-31,2011-02-22,0.14,0.16,-0.02,-12.5,pre-market
56,2010-09-30,2010-11-01,0.19,0.18,0.01,5.5556,pre-market
57,2010-06-30,2010-08-02,0.21,0.21,0,0,pre-market
58,2010-03-31,2010-05-03,0.27,0.23,0.04,17.3913,pre-market
