,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2024-06-30,USD,185731000,1341202000,1155471000,1091031000,142816000,58148000,None,261302000,None,1683000,1683000,None,1341202000,None,None,42915000,141851000,21710000,None,123075000,120141000,142816000,192023000,120141000
1,2024-03-31,USD,174252000,1320848000,1146596000,1085705000,133128000,52595000,None,254911000,None,1408000,1408000,None,1320848000,None,None,41493000,132009000,18803000,None,115990000,113206000,133128000,182917000,113206000
2,2023-12-31,USD,92894000,1164393000,1071499000,980674000,83773000,78109000,None,273277000,None,254000,None,254000,1164893000,None,None,40438000,81605000,9175000,None,75022000,72430000,83773000,133877999,72430000
3,2023-09-30,USD,112983000,1121752000,1008769000,952400000,73859000,47708000,None,225594000,None,496000,None,496000,1121752000,None,None,39124000,72658000,8870000,None,65624000,63788000,73859000,112979000,63788000
4,2023-06-30,USD,132825000,1171203000,1038378000,981629000,95412000,51000000,None,227841000,None,996000,None,996000,1171203000,287000,None,122085,94541000,12270000,None,84425000,82271000,95412000,132981000,82271000
5,2023-03-31,USD,135949000,1173133000,1037184000,981887000,100945000,49865000,None,224077000,None,1238000,1238000,334000,1173133000,755000,None,41584,100721000,14334000,None,88604000,86387000,100945000,137282000,86387000
6,2022-12-31,USD,74331000,1007358000,933027000,857190000,68853000,65393000,None,230996000,None,753000,753000,753000,1007958000,170000,None,54880,67876000,8007000,None,61769000,59869000,68853000,106441000,59869000
7,2022-09-30,USD,109023000,993298000,884275000,834990000,75288000,42812000,None,195321000,None,-85000,None,85000,993298000,190000,None,27081,73758000,11430000,None,63963000,62328000,75288000,109985000,62328000
8,2022-06-30,USD,120338000,1024606000,904268000,849321000,85918000,49213000,None,207471000,None,-395000,None,395000,1024606000,545000,None,86065,83950000,11531000,None,74537000,72419000,85918000,126072000,72419000
9,2022-03-31,USD,122607000,986335000,863728000,819789000,90138000,40294000,None,189256000,None,-397000,None,397000,986335000,334000,None,60459,87949000,12747000,None,77328000,75202000,90138000,123446000,75202000
10,2021-12-31,USD,-1201853000,894531000,2096384000,2024668000,64839000,63773000,None,203629000,None,-624000,None,624000,894731000,-925000,None,71391,61605000,8547000,None,54743000,53154000,64839000,96713000,53058000
11,2021-09-30,USD,534347000,868943000,334596000,286593000,61698000,41234000,None,175772000,None,-604000,None,604000,868943000,266000,None,54000,59750000,7144000,None,54216000,52606000,61698000,93620000,52606000
12,2021-06-30,USD,567444000,898788000,331344000,288147000,89728000,36861000,None,178803000,None,-975000,None,975000,898788000,239000,None,55806,86547000,11067000,None,77925000,75502000,89728000,121634000,75480000
13,2021-03-31,USD,500785000,800305000,299520000,258036000,80927000,36712000,None,165196000,None,-1460000,None,1460000,800305000,-217000,None,55213,76970000,12820000,None,66430000,64138000,80927000,112083000,64150000
14,2020-12-31,USD,637989000,637989000,300529000,247988000,20396000,44783000,None,160679000,None,-1490000,None,1490000,637989000,97000,None,55131,17876000,-1673000,None,20396000,19621000,20396000,53623000,19549000
15,2020-09-30,USD,382349000,631185000,248836000,217275000,34976000,25951000,None,134539000,None,-1502000,None,1502000,631185000,1000,None,52750,32302000,3072000,None,30403000,29304000,34976000,65772000,29230000
16,2020-06-30,USD,248338000,476425000,228087000,194622000,-47318000,29615000,None,122813000,None,-1030000,None,1030000,476425000,-90000,None,51116,-48685000,-15132000,None,-33306000,-33543000,-47318000,-19182000,-33553000
17,2020-03-31,USD,371338000,651078000,279740000,241079000,15790000,32954000,None,144456000,None,-69000,577000,69000,651078000,-508000,None,47300,14090000,-1939000,None,17152000,15992000,15790000,46034000,16029000
18,2019-12-31,USD,725238000,725238000,329110000,265802000,53411000,56521000,None,177144000,None,-12000,266000,12000,725238000,278000,None,46467,51783000,9097000,None,53411000,42792000,53411000,81795000,42686000
19,2019-09-30,USD,392125000,650489000,258364000,218342000,44884000,35225000,None,140764000,None,81000,None,81000,650489000,-154000,None,44646,43316000,6785000,None,38026000,36413000,44884000,73353000,36531000
20,2019-06-30,USD,419865000,689828000,269963000,225490000,53283000,39960000,None,148284000,None,691000,None,691000,689828000,141000,None,40963,52272000,7427000,None,46688000,44763000,53283000,82369000,44845000
21,2019-03-31,USD,425477000,689225000,263748000,223880000,60445000,35983000,None,143049000,None,754000,None,754000,689225000,113000,None,40374,59509000,9119000,None,52193000,50487000,60445000,88252000,50390000
22,2018-12-31,USD,605912000,605912000,289260000,229786000,33207000,53061000,None,157413000,None,710000,None,219000,605912000,203000,None,25724000,32268000,1936000,None,33207000,30310000,33207000,59231000,30332000
23,2018-09-30,USD,357385000,594427000,237042000,197621000,35444000,35023000,None,131367000,None,-168000,None,168000,594595000,381000,None,25843000,34523000,5398000,None,30259000,28966000,35444000,61327000,29125000
24,2018-06-30,USD,590104000,629237000,39133000,199647000,54267000,35004000,None,133991000,None,-283000,None,283000,629237000,445000,None,25165000,52693000,8466000,None,45963000,44109000,54267000,79476000,44227000
25,2018-03-31,USD,592400000,627705000,35305000,196030000,64871000,30175000,None,129138000,None,-359000,None,359000,626285000,324000,None,24484000,62998000,8457000,359000,56379000,54651000,63357000,89527000,54541000
26,2017-12-31,USD,545076000,545076000,424481000,374746000,37459000,43200000,None,139723000,None,-366000,None,366000,545076000,339000,None,24263000,36040000,7422000,366000,37459000,28642000,36406000,63004000,28618000
27,2017-09-30,USD,163481000,540007000,376526000,345853000,45511000,26123000,None,114352000,None,-500000,None,500000,540507000,359000,None,23534000,44060000,13046000,500000,32324000,31102000,44560000,69049000,31014000
28,2017-06-30,USD,172890000,566262000,392993000,359756000,54214000,28223000,None,118074000,None,-379000,None,379000,566262000,470000,None,23106000,52707000,15126000,379000,39179000,37603000,53086000,77320000,37581000
29,2017-03-31,USD,166760000,567686000,399539000,354540000,49022000,40248000,None,131733000,None,-332000,None,332000,-1055000,320000,None,22596000,47300000,12987000,332000,36023000,34334000,47632000,71640000,34313000
30,2016-12-31,USD,484710000,484710000,380219000,332433000,30839000,41162000,None,127628000,None,-353000,None,353000,-1616000,280000,None,22246000,29583000,8858000,353000,30839000,20624000,29936000,53335000,20725000
31,2016-09-30,USD,142970000,481349000,338379000,307187000,38468000,26162000,None,104775000,None,-288000,None,288000,-813000,4000,None,20941000,37056000,11381000,288000,26803000,25704000,37344000,59435000,25675000
32,2016-06-30,USD,155782000,508499000,352717000,321565000,49782000,26711000,None,107039000,None,-309000,None,309000,-1422000,475000,None,20238000,48692000,15087000,309000,34861000,33576000,49001000,70080000,33605000
33,2016-03-31,USD,158410000,513980000,355570000,320674000,52811000,30060000,None,113773000,None,-305000,None,305000,-1274000,352000,None,19539000,51450000,15857000,305000,37001000,35609000,51755000,72372000,35593000
34,2015-12-31,USD,453351000,454351000,1000000,311418000,33713000,36692000,None,1000000,None,-479000,None,479000,-1417000,353000,None,18700000,32549000,9567000,479000,33713000,23107000,33713000,54361000,22982000
35,2015-09-30,USD,124102000,437619000,313517000,285841000,30556000,21927000,None,94524000,None,-470000,None,470000,-1253000,449000,None,17843000,29623000,9141000,470000,21394000,20596000,30556000,48399000,20482000
36,2015-06-30,USD,125513000,454203000,328690000,300161000,31696000,23620000,None,96887000,None,-495000,None,495000,-1807000,467000,None,16816000,30540000,9402000,495000,22266000,21365000,31696000,48512000,21138000
37,2015-03-31,USD,141738000,458737000,316999000,291384000,48600000,21797000,None,95863000,None,-515000,None,515000,-978000,372000,None,16335000,47168000,14876000,515000,33581000,32499000,48600000,64935000,32292000
38,2014-12-31,USD,403825000,404425000,600000,278236000,27043000,31476000,None,600000,None,-520000,None,520000,-1526000,627000,None,15497000,34571000,7528000,520000,27043000,18861000,27043000,43792000,27043000
39,2014-09-30,USD,111149000,384726000,273577000,250179000,28821000,19469000,None,82674000,None,-492000,None,492000,-1256000,410000,None,15164000,27898000,9017000,492000,19722000,19109000,28821000,43953000,18881000
40,2014-06-30,USD,395363000,395363000,278039000,252264000,34401000,21311000,None,86137000,None,-514000,None,514000,-1552000,353000,None,14433000,44616000,10215000,514000,34401000,23277000,34401000,48852000,34401000
41,2014-03-31,USD,397142000,397142000,273978000,249484000,40184000,20200000,None,86008000,None,-558000,None,558000,-653000,212000,None,14085000,52414000,12230000,558000,40184000,26645000,40184000,54303000,40184000
42,2013-12-31,USD,376020000,376020000,323129000,255879000,26054000,31142000,None,131084000,None,-514000,None,514000,-1153000,142000,None,14698000,33577000,7523000,514000,26054000,17294000,26054000,37576000,26054000
43,2013-09-30,USD,96763000,334245000,237482000,215573000,25696000,17060000,None,74383000,None,-525000,None,525000,-688000,173000,None,12462000,24670000,7500000,525000,17844000,17267000,25696000,38364000,17170000
44,2013-06-30,USD,103561000,351552000,247991000,221935000,29797000,21789000,None,81612000,None,-567000,None,567000,-1128000,218000,None,12190000,28546000,8583000,567000,20865000,20305000,29797000,42041000,19963000
45,2013-03-31,USD,111795000,358256000,246461000,226213000,38168000,17367000,None,77451000,None,-595000,None,595000,-825000,180000,None,12212000,36705000,10534000,595000,27219000,26367000,38168000,50494000,26171000
46,2012-12-31,USD,307931000,309531000,1600000,207644000,22075000,26551000,None,1600000,None,-571000,None,571000,-93000,125000,None,11996000,28998000,6923000,571000,22075000,14150000,22075000,37193000,22075000
47,2012-09-30,USD,95631000,308053000,212422000,194437000,27734000,15503000,None,68771000,None,-603000,None,603000,-1029000,141000,None,11828000,26845000,8778000,603000,18494000,18095000,27734000,39727000,18067000
48,2012-06-30,USD,99159000,319707000,220548000,200095000,31247000,17653000,None,71576000,None,-568000,None,568000,-676000,121000,None,11546000,30262000,9952000,568000,20848000,20245000,31247000,42934000,20310000
49,2012-03-31,USD,96618000,323257000,226639000,203002000,29402000,20033000,None,76489000,None,-605000,None,605000,-1007000,41000,None,11347000,27954000,9085000,605000,19753000,18828000,29402000,40809000,18869000
50,2011-12-31,USD,275816000,276616000,800000,186916000,18210000,22603000,None,800000,None,-637000,None,637000,-848000,None,None,10985000,23041000,4831000,637000,18210000,12495000,18210000,30432000,18210000
51,2011-09-30,USD,83882000,268584000,184702000,167863000,23072000,13499000,None,62620000,None,-669000,None,669000,-559000,71000,None,10571000,21856000,6058000,669000,16416000,15010000,23156000,33727000,15798000
52,2011-06-30,USD,85397000,279030000,193633000,175178000,23748000,16239000,None,64935000,None,-542000,None,542000,None,97000,None,10553000,22680000,6604000,542000,16699000,15287000,23222000,34418000,16076000
53,2011-03-31,USD,56586000,283785000,227199000,227199000,30209000,104100000,None,26351000,None,None,None,565000,None,103000,None,10600000,29065000,9272000,None,20475000,19901000,29630000,40861000,19793000
54,2010-03-31,USD,54048000,259624000,205576000,205576000,30106000,93600000,None,23784000,None,None,None,730000,None,None,None,10337000,29484000,9606000,None,None,None,30106000,40709000,19241000
