,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-09-30,2024-10-23,0.76,0.69,0.07,10.1449,pre-market
1,2024-06-30,2024-07-24,0.67,0.57,0.1,17.5439,pre-market
2,2024-03-31,2024-04-24,0.43,0.36,0.07,19.4444,pre-market
3,2023-12-31,2024-02-21,0.56,0.53,0.03,5.6604,pre-market
4,2023-09-30,2023-10-25,0.52,0.44,0.08,18.1818,pre-market
5,2023-06-30,2023-08-02,0.46,0.29,0.17,58.6207,pre-market
6,2023-03-31,2023-04-26,0.24,0.17,0.07,41.1765,pre-market
7,2022-12-31,2023-02-22,0.28,0.31,-0.03,-9.6774,pre-market
8,2022-09-30,2022-10-26,0.23,0.21,0.02,9.5238,pre-market
9,2022-06-30,2022-08-03,0.1,0.1,0,0,pre-market
10,2022-03-31,2022-04-27,-0.08,-0.17,0.09,52.9412,pre-market
11,2021-12-31,2022-02-25,0.04,0.28,-0.24,-85.7143,post-market
12,2021-09-30,2021-10-27,0.2,0.19,0.01,5.2632,pre-market
13,2021-06-30,2021-07-28,0.31,0.24,0.07,29.1667,pre-market
14,2021-03-31,2021-04-28,0.21,0.12,0.09,75,pre-market
15,2020-12-31,2021-02-24,0.33,0.33,0,0,pre-market
16,2020-09-30,2020-11-04,0.32,0.27,0.05,18.5185,pre-market
17,2020-06-30,2020-08-05,0.24,0.12,0.12,100,pre-market
18,2020-03-31,2020-05-05,-0.09,-0.04,-0.05,-125,post-market
19,2019-12-31,2020-02-10,0.05,0.05,0,0,post-market
20,2019-09-30,2019-11-05,0.03,None,None,None,pre-market
21,2019-06-30,2019-08-06,0.03,None,None,None,pre-market
22,2019-03-31,2019-05-08,0.03,None,None,None,pre-market
23,2018-12-31,2019-03-13,0.03,None,None,None,pre-market
24,2018-09-30,2018-09-30,0.0266,None,None,None,pre-market
