,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2024-09-30,USD,410200000,2068200000,1658000000,1317100000,371600000,334600000,None,340900000,None,None,None,35900000,2068200000,None,20800000,48100000,268500000,91900000,0,176600000,274800000,304400000,352500000,176600000
1,2024-06-30,USD,378600000,1951500000,1572900000,1211600000,336000000,363800000,None,361300000,None,-44800000,None,44800000,1951500000,None,20100000,48300000,264700000,86600000,1100000,178100000,151800000,309500000,357800000,178100000
2,2024-03-31,USD,161000000,1596900000,1435900000,1072700000,202600000,314000000,None,363200000,None,-39000000,None,39000000,1635900000,None,19800000,48900000,-13000000,-7100000,39000000,-5900000,-40200000,26000000,74900000,-5900000
3,2023-12-31,USD,234200000,1819300000,1585100000,1182000000,285200000,348800000,303500000,706600000,None,-42900000,None,42900000,1862200000,None,19700000,49200000,187300000,-45300000,43400000,232600000,297500000,230200000,279400000,232600000
4,2023-09-30,USD,252900000,1696400000,1443500000,1115000000,250900000,327200000,None,328500000,None,-43500000,None,43500000,1739900000,None,18900000,49300000,145800000,51700000,43500000,94100000,34500000,189300000,238600000,94100000
5,2023-06-30,USD,202900000,1679700000,1476800000,1140100000,205800000,327600000,None,336700000,None,-46900000,None,46900000,1726600000,-46000000,18000000,49300000,112900000,29700000,46900000,83200000,92300000,159800000,209100000,83200000
6,2023-03-31,USD,110500000,1506800000,1396300000,1025600000,130300000,308700000,None,370700000,None,-46800000,None,46800000,1518000000,4200000,17700000,48900000,87700000,37400000,46800000,50300000,77600000,134500000,183400000,50300000
7,2022-12-31,USD,185100000,1683700000,1498600000,1142900000,162400000,303300000,282000000,634000000,None,-45800000,None,45800000,1656400000,None,18700000,51800000,83500000,56900000,45800000,26600000,169800000,129300000,181100000,26600000
8,2022-09-30,USD,118400000,1463900000,1345500000,1051800000,80000000,295200000,None,293700000,None,-38800000,None,38800000,1480900000,None,17800000,57900000,31400000,10200000,38800000,21200000,-93900000,70200000,128100000,21200000
9,2022-06-30,USD,66500000,1382800000,1316300000,1027900000,26200000,287600000,None,288400000,None,-33400000,None,33400000,1396500000,38900000,17600000,59400000,31700000,11400000,33400000,20300000,-107600000,65100000,124500000,20300000
10,2022-03-31,USD,-47300000,1159800000,1207100000,852800000,-45200000,292200000,None,354300000,None,-29300000,None,29300000,1157700000,94900000,17900000,61300000,20400000,11900000,29300000,8500000,26500000,49700000,111000000,8500000
11,2021-12-31,USD,5600000,1426300000,1420700000,1036800000,-3900000,329400000,None,650300000,None,-24100000,None,24100000,1409400000,-9600000,17500000,52400000,21600000,-400000,24100000,22000000,25600000,45700000,98100000,22000000
12,2021-09-30,USD,137500000,1247400000,1109900000,847200000,81800000,257800000,None,262700000,None,-22400000,None,22400000,1224000000,32500000,16400000,35000000,91900000,35700000,22400000,56200000,33200000,114300000,149300000,56200000
13,2021-06-30,USD,112400000,1236200000,1123800000,851000000,102200000,271700000,None,272800000,None,-20000000,None,20000000,1256200000,-71200000,18300000,35200000,11000000,1300000,20000000,9700000,12100000,31000000,66200000,9700000
14,2021-03-31,USD,53000000,1080800000,1027800000,740400000,79800000,250100000,None,287400000,None,-24100000,None,24100000,1104900000,-14000000,16900000,35300000,41700000,10000000,24500000,31700000,32800000,65800000,101100000,31700000
15,2020-12-31,USD,136700000,1280500000,1143800000,878300000,120000000,265500000,None,307100000,None,-25000000,None,25000000,1305500000,None,17400000,35000000,60700000,20200000,25000000,40500000,103100000,85700000,120700000,40500000
16,2020-09-30,USD,6300000,1123900000,1117600000,749000000,35100000,251700000,None,494800000,None,-26400000,None,26400000,1150300000,None,14400000,35800000,-79000000,24500000,26400000,-15800000,-70800000,-52600000,-16800000,-103500000
17,2020-06-30,USD,36800000,972800000,936000000,659300000,70600000,226300000,None,326200000,None,-30100000,None,30100000,1002900000,None,14300000,35700000,-41700000,14300000,30100000,26200000,-65300000,-11600000,24100000,-56000000
18,2020-03-31,USD,-257700000,652600000,910300000,610300000,-12200000,264800000,None,334400000,None,-68900000,None,68900000,721500000,None,14200000,36300000,-194500000,13800000,242900000,-268900000,-260900000,-125600000,-89300000,-208300000
19,2019-12-31,USD,-6009726,0,6009726,784300000,209666552,291800000,None,6009726,2934235,-76200000,None,76200000,1171500000,None,14400000,36600000,-28300000,5600000,76200000,-12019452,-8600000,47900000,84500000,-33900000
