,fiscalDateEnding,reportedEPS
0,2024-09-30,9.2025
1,2023-12-31,6.2267
2,2022-12-31,0.12
3,2021-12-31,-0.03
4,2020-12-31,1.03
5,2019-12-31,10.5
6,2018-12-31,6.64
7,2017-12-31,2.7
8,2016-12-31,2.98
9,2015-12-31,1.0746
10,2014-12-31,0.89
11,2013-12-31,2.5202
12,2012-12-31,-0.5334
13,2011-12-31,1.1714
14,2010-12-31,1.08
15,2009-12-31,2.16
16,2008-12-31,2.6741
17,2007-12-31,2.24
18,2004-12-31,0.5894
19,2003-12-31,0.4703
20,2002-12-31,0.4062
21,2001-12-31,0.7794
22,2000-12-31,1.0223
23,1999-12-31,1.38
24,1998-12-31,1.27
25,1997-12-31,0.93
26,1996-12-31,0.15
