,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2023-12-31,USD,140940000,418555000,277615000,4398000,64222000,159995000,None,252168000,None,-70095000,8700000,78795000,10296000,None,None,90925000,67130000,23349000,78795000,43781000,28485000,145925000,236850000,43781000
1,2022-12-31,USD,73203000,311927000,238724000,21849000,9855000,113363000,None,201552000,None,-59164000,7579000,66743000,4389000,-62000,None,88260000,9793000,4354000,64185000,5439000,27151000,76536000,164796000,5439000
2,2021-12-31,USD,76489000,274202000,197713000,7715000,8340000,90277000,None,180825000,None,-67985000,None,67985000,6329000,800000,None,90504000,9140000,5788000,67985000,3352000,13500000,77125000,167629000,3352000
3,2020-12-31,USD,82401000,288692000,206291000,20540000,14694000,84672000,None,179204000,None,-63024000,None,63024000,-270000,None,None,94541000,17336000,7588000,67712000,9748000,7879000,80360000,174901000,9748000
4,2019-12-31,USD,346513000,409160000,62647000,18220000,80303000,86523000,None,172801000,None,-66889000,None,66889000,128558000,None,None,86236000,88881000,21959000,67109000,66922000,63572000,155770000,242006000,66922000
5,2018-12-31,USD,287322000,348347000,61025000,10651000,52474000,72021000,None,148794000,None,-64220000,None,64220000,359118000,3800000,None,76814000,56274000,13043000,64220000,43231000,43048000,120494000,197308000,43231000
6,2017-12-31,USD,233992000,274840000,40848000,24930000,28853000,55737000,None,155131000,None,-48720000,None,48720000,134402000,7158000,None,66023000,36011000,-26147000,48720000,62158000,63429000,84731000,150754000,62158000
7,2016-12-31,USD,193981000,207274000,13293000,9514000,22133000,47780000,None,130567000,None,-41144000,None,41144000,124108000,1813000,None,66280000,23946000,9877000,41281000,14069000,13545000,65090000,131370000,14069000
8,2015-12-31,USD,67999000,198062000,131611000,9181000,11600000,42744000,None,130914000,None,-39012000,None,39012000,118167000,1175000,None,69424000,12775000,6315000,37861000,7356000,5939000,51787000,121211000,6460000
9,2014-12-31,USD,55130000,174058000,119157000,5602000,10411000,35859000,None,119238000,None,-37062000,None,37062000,107501000,1329000,None,65314000,11740000,4560000,37062000,7247000,6855000,48802000,114116000,7180000
10,2013-12-31,USD,46844000,158412000,111568000,6461000,7774000,33868000,12863000,144612000,None,-38719000,None,38719000,107412000,3526000,58727000,58727000,11300000,-4326000,38719000,15626000,16489000,50019000,108746000,15626000
11,2012-12-31,USD,96850000,148090000,51240000,5874000,937000,34551000,None,80072000,80000,-31749000,None,31749000,-9963000,1759000,52591000,52591000,2696000,1161000,47211000,1535000,9196000,34445000,87036000,1535000
12,2011-12-31,USD,104673000,156653000,51980000,3341000,22590000,35701000,None,64679000,167000,-35201000,None,35201000,115430000,1295000,51250000,51250000,23885000,9377000,35544000,14508000,16086000,59086000,110336000,14508000
