,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-06-30,2024-08-01,6.2055,None,None,None,pre-market
1,2024-03-31,2024-05-03,2.997,None,None,None,pre-market
2,2023-12-31,2024-03-13,1.5304,None,None,None,pre-market
3,2023-09-30,2023-11-03,2.1308,None,None,None,pre-market
4,2023-06-30,2023-08-03,2.0155,None,None,None,pre-market
5,2023-03-31,2023-05-04,0.55,None,None,None,pre-market
6,2022-12-31,2023-03-09,2.12,None,None,None,pre-market
7,2022-09-30,2022-11-02,0.89,None,None,None,pre-market
8,2022-06-30,2022-08-04,0.81,None,None,None,pre-market
9,2022-03-31,2022-05-09,-3.7,None,None,None,post-market
10,2021-12-31,2022-03-14,0.13,None,None,None,pre-market
11,2021-09-30,2021-11-02,0.32,None,None,None,pre-market
12,2021-06-30,2021-08-03,-0.12,None,None,None,pre-market
13,2021-03-31,2021-05-10,-0.36,None,None,None,pre-market
14,2020-12-31,2021-03-15,-0.62,None,None,None,pre-market
15,2020-09-30,2020-11-02,0.35,None,None,None,pre-market
16,2020-06-30,2020-08-05,0.74,None,None,None,pre-market
17,2020-03-31,2020-05-05,0.56,None,None,None,pre-market
18,2019-12-31,2020-03-11,0.68,None,None,None,pre-market
19,2019-09-30,2019-11-04,3.81,None,None,None,pre-market
20,2019-06-30,2019-08-06,2.66,None,None,None,pre-market
21,2019-03-31,2019-05-06,3.35,None,None,None,pre-market
22,2018-12-31,2019-03-13,2.91,None,None,None,pre-market
23,2018-09-30,2018-11-07,1.47,None,None,None,pre-market
24,2018-06-30,2018-08-06,1.26,None,None,None,pre-market
25,2018-03-31,2018-05-07,1,None,None,None,pre-market
26,2017-12-31,2018-03-13,-0.28,None,None,None,pre-market
27,2017-09-30,2017-11-07,0.8,None,None,None,pre-market
28,2017-06-30,2017-08-08,0.92,None,None,None,pre-market
29,2017-03-31,2017-05-08,1.26,None,None,None,pre-market
30,2016-12-31,2017-03-10,1.25,None,None,None,post-market
31,2016-09-30,2016-11-04,0.62,None,None,None,post-market
32,2016-06-30,2016-08-15,0.62,None,None,None,post-market
33,2016-03-31,2016-05-13,0.49,None,None,None,pre-market
34,2015-12-31,2016-03-09,0.55,None,None,None,pre-market
35,2015-09-30,2015-11-04,0.3846,None,None,None,pre-market
36,2015-06-30,2015-07-31,-0.06,0.21,-0.27,-128.5714,pre-market
37,2015-03-31,2015-05-08,0.2,0.21,-0.01,-4.7619,pre-market
38,2014-12-31,2015-03-11,-0.03,0.18,-0.21,-116.6667,pre-market
39,2014-09-30,2014-11-05,0.12,0.21,-0.09,-42.8571,pre-market
40,2014-06-30,2014-08-06,0.27,0.2,0.07,35,pre-market
41,2014-03-31,2014-05-05,0.53,0.18,0.35,194.4444,pre-market
42,2013-12-31,2014-03-03,0.81,0.22,0.59,268.1818,pre-market
43,2013-09-30,2013-11-04,0.8145,0.22,0.5945,270.2273,pre-market
44,2013-06-30,2013-09-30,-0.2743,None,None,None,pre-market
45,2013-03-31,2013-06-30,1.17,None,None,None,pre-market
46,2012-12-31,2013-03-31,0.19,None,None,None,pre-market
47,2012-09-30,2012-12-31,-0.0931,None,None,None,pre-market
48,2012-06-30,2012-09-30,-0.9203,None,None,None,pre-market
49,2012-03-31,2012-05-07,0.29,0.32,-0.03,-9.375,pre-market
50,2011-12-31,2012-03-12,0.37,0.31,0.06,19.3548,pre-market
51,2011-09-30,2011-12-31,0.3214,None,None,None,pre-market
52,2011-06-30,2011-09-30,0.17,None,None,None,pre-market
53,2011-03-31,2011-06-30,0.31,None,None,None,pre-market
54,2010-12-31,2011-03-31,0.47,None,None,None,pre-market
55,2010-09-30,2010-11-08,0.25,0.08,0.17,212.5,pre-market
56,2010-06-30,2010-08-06,0.12,0.04,0.08,200,pre-market
57,2010-03-31,2010-05-10,0.24,0.46,-0.22,-47.8261,pre-market
58,2009-12-31,2010-03-08,0.03,0.51,-0.48,-94.1176,pre-market
59,2009-09-30,2009-11-09,0.94,0.56,0.38,67.8571,pre-market
60,2009-06-30,2009-08-11,0.47,0.61,-0.14,-22.9508,pre-market
61,2009-03-31,2009-05-11,0.72,-1.44,2.16,150,pre-market
62,2008-12-31,2009-03-26,0.4059,None,None,None,pre-market
63,2008-09-30,2008-11-10,1.1318,None,None,None,pre-market
64,2008-06-30,2008-08-11,0.6443,None,None,None,pre-market
65,2008-03-31,2008-05-12,0.4921,None,None,None,pre-market
66,2007-12-31,2008-03-27,0.4955,None,None,None,pre-market
67,2007-09-30,2007-11-13,0.3386,None,None,None,pre-market
68,2007-06-30,2007-08-13,0.4182,None,None,None,pre-market
69,2007-03-31,2007-05-15,0.4242,None,None,None,pre-market
70,2006-09-30,2006-11-13,0.0933,None,None,None,pre-market
71,2006-06-30,2006-08-11,0.0274,None,None,None,pre-market
72,2006-03-31,2006-05-12,0.23,None,None,None,pre-market
73,2005-09-30,2005-11-29,-0.0551,None,None,None,pre-market
74,2005-06-30,2005-08-08,0.1017,None,None,None,pre-market
75,2005-03-31,2005-05-11,0.1662,None,None,None,pre-market
76,2004-12-31,2005-03-23,0.2047,None,None,None,pre-market
77,2004-09-30,2004-11-09,-0.0273,None,None,None,pre-market
78,2004-06-30,2004-08-11,0.3572,None,None,None,pre-market
79,2004-03-31,2004-05-11,0.0548,None,None,None,pre-market
80,2003-12-31,2004-02-24,0.1618,None,None,None,pre-market
81,2003-09-30,2003-11-10,0.0838,None,None,None,pre-market
82,2003-06-30,2003-08-11,0.1298,None,None,None,pre-market
83,2003-03-31,2003-03-31,0.0949,None,None,None,pre-market
84,2002-12-31,2002-12-31,0.2282,None,None,None,pre-market
85,2002-09-30,2002-09-30,0.0037,None,None,None,pre-market
86,2002-06-30,2002-06-30,0.0652,None,None,None,pre-market
87,2002-03-31,2002-03-31,0.1091,None,None,None,pre-market
88,2001-12-31,2001-12-31,0.0518,None,None,None,pre-market
89,2001-09-30,2001-09-30,0.201,None,None,None,pre-market
90,2001-06-30,2001-06-30,0.2654,None,None,None,pre-market
91,2001-03-31,2001-03-31,0.2612,None,None,None,pre-market
92,2000-12-31,2000-12-31,0.276,None,None,None,pre-market
93,2000-09-30,2000-09-30,0.2763,None,None,None,pre-market
94,2000-06-30,2000-08-02,0.25,0.24,0.01,4.1667,pre-market
95,2000-03-31,2000-06-23,0.22,0.21,0.01,4.7619,pre-market
96,1999-12-31,2000-02-17,0.18,0.16,0.02,12.5,pre-market
97,1999-09-30,1999-10-28,0.45,-0.04,0.49,1225,pre-market
98,1999-06-30,1999-07-27,0.37,0.39,-0.02,-5.1282,pre-market
99,1999-03-31,1999-04-27,0.38,0.35,0.03,8.5714,pre-market
100,1998-12-31,1999-02-17,0.38,0.38,0,0,pre-market
101,1998-09-30,1998-10-27,0.33,0.31,0.02,6.4516,pre-market
102,1998-06-30,1998-07-29,0.3,0.28,0.02,7.1429,pre-market
103,1998-03-31,1998-04-28,0.26,0.25,0.01,4,pre-market
104,1997-12-31,1998-02-18,0.27,0.27,0,0,pre-market
105,1997-09-30,1997-11-03,0.25,0.23,0.02,8.6957,pre-market
106,1997-06-30,1997-07-31,0.23,0.21,0.02,9.5238,pre-market
107,1997-03-31,1997-04-29,0.18,0.48,-0.3,-62.5,pre-market
108,1996-12-31,1997-03-07,0.15,0.14,0.01,7.1429,pre-market
