,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2024-06-30,USD,78640000,151120000,72480000,5671000,54078000,40124000,None,62291000,None,2284000,26846000,24562000,14428000,None,None,22167000,57903000,15317000,24562000,42586000,40461000,82465000,104632000,42586000
1,2024-03-31,USD,49869000,119083000,69214000,5835000,27218000,32286000,None,54772000,None,-20734000,2269000,23003000,8857000,None,None,22486000,29892000,9023000,23003000,20869000,19755000,52895000,75381000,20869000
2,2023-12-31,USD,36519000,114280000,77761000,2008000,16784000,44823000,None,69626000,None,-19969000,2300000,22269000,5994000,None,None,22794000,20981000,10028000,22269000,10953000,3993000,43250000,66044000,10953000
3,2023-09-30,USD,39050000,105745000,66695000,719000,19998000,36017000,None,59105000,None,-16952000,2100000,19052000,773000,None,None,23088000,20344000,5726000,19052000,14618000,11631000,39396000,62484000,14618000
4,2023-06-30,USD,38527000,108996000,70469000,1671000,19442000,41385000,None,63879000,None,-16827000,2258000,19085000,4461000,-474000,None,22494000,18968000,5152000,19085000,13816000,13768000,38053000,60547000,13816000
5,2023-03-31,USD,26214000,89535000,63321000,0,7998000,37770000,None,60319000,None,-16343000,2046000,18389000,-31000,-1161000,None,22549000,6837000,2443000,18389000,4394000,-907000,25226000,47775000,4394000
6,2022-12-31,USD,31491000,88144000,56653000,0,16732000,30463000,None,53172000,None,-9955000,7579000,17534000,-566000,1469000,None,22780000,18201000,3858000,14976000,14343000,13545000,35735000,58515000,14343000
7,2022-09-30,USD,25047000,76891000,51844000,654000,8743000,26992000,None,49051000,None,-16304000,None,16304000,920000,-384000,None,22059000,8359000,1970000,16304000,6389000,12102000,24663000,46722000,6389000
8,2022-06-30,USD,25508000,78075000,52567000,78000,9485000,27441000,None,49053000,None,-16023000,None,16023000,3614000,1469000,None,21612000,10954000,5046000,16023000,5908000,8512000,26977000,48589000,5908000
9,2022-03-31,USD,-8527000,68817000,77344000,21117000,-25105000,28467000,None,50276000,None,-16883000,None,16883000,2351000,-2616000,None,21809000,-27721000,-6520000,16883000,-21221000,-7008000,-10838000,10971000,-21201000
10,2021-12-31,USD,22359000,75814000,53455000,3602000,4601000,24957000,None,46710000,None,-17654000,None,17654000,3786000,1983000,None,21749000,6584000,4842000,17654000,1742000,6135000,24238000,45987000,1742000
11,2021-09-30,USD,24410000,70791000,46381000,0,6085000,22583000,None,43857000,None,-18325000,None,18325000,2440000,21000,None,21274000,6106000,3222000,18325000,2884000,3538000,24431000,45705000,2884000
12,2021-06-30,USD,15813000,66472000,50659000,2246000,-1174000,22777000,None,46117000,None,-16987000,None,16987000,0,-685000,None,23340000,-1859000,-1917000,16987000,58000,-2508000,15128000,38468000,58000
13,2021-03-31,USD,14073000,61125000,47052000,1867000,-1172000,19960000,None,44141000,None,-15019000,None,15019000,2792000,-519000,None,24141000,-1691000,-359000,15019000,-1332000,6335000,13328000,37469000,-1332000
14,2020-12-31,USD,61487000,61487000,52325000,6169000,-7001000,19955000,None,43311000,None,-15888000,None,15888000,2726000,None,None,23365000,-6971000,-4077000,15888000,61487000,-2612000,8917000,32282000,-2894000
