,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-09-30,2024-10-31,1.2,0.41,0.79,192.6829,pre-market
1,2024-06-30,2024-08-06,0.47,0.31,0.16,51.6129,pre-market
2,2024-03-31,2024-05-08,-0.31,0.23,-0.54,-234.7826,pre-market
3,2023-12-31,2024-02-07,0.66,0.17,0.49,288.2353,pre-market
4,2023-09-30,2023-11-07,0.1,0.12,-0.02,-16.6667,pre-market
5,2023-06-30,2023-08-01,0.18,-0.01,0.19,1900,pre-market
6,2023-03-31,2023-05-02,-0.08,-0.09,0.01,11.1111,pre-market
7,2022-12-31,2023-02-08,0.29,-0.18,0.47,261.1111,pre-market
8,2022-09-30,2022-11-01,-0.61,-0.22,-0.39,-177.2727,pre-market
9,2022-06-30,2022-08-02,-1.33,-0.26,-1.07,-411.5385,pre-market
10,2022-03-31,2022-05-04,-0.18,-0.24,0.06,25,pre-market
11,2021-12-31,2022-02-09,-0.26,-0.35,0.09,25.7143,post-market
12,2021-09-30,2021-11-04,-0.22,-0.3,0.08,26.6667,post-market
13,2021-06-30,2021-08-04,-0.19,-0.51,0.32,62.7451,post-market
14,2021-03-31,2021-05-05,0.26,-0.54,0.8,148.1481,post-market
15,2020-12-31,2021-02-10,-0.54,-0.56,0.02,3.5714,post-market
16,2020-09-30,2020-11-05,-0.62,-0.65,0.03,4.6154,post-market
17,2020-06-30,2020-08-06,-0.8,-0.86,0.06,6.9767,post-market
18,2020-03-31,2020-05-07,-0.64,-0.88,0.24,27.2727,post-market
19,2019-12-31,2020-02-06,-0.64,-0.68,0.04,5.8824,post-market
20,2019-09-30,2019-11-04,-0.68,-0.81,0.13,16.0494,post-market
21,2019-06-30,2019-08-08,-4.77,-3.19,-1.58,-49.5298,post-market
22,2019-03-31,2019-05-30,-2.23,-2.26,0.03,1.3274,post-market
23,2018-12-31,2019-02-15,-1.86,0,-1.86,None,post-market
