Unnamed: 0_x,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Unnamed: 0_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,quarter,EPS_YOY_pct_change,revenue_YOY_pct_change,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
0.0,2024-06-30,USD,36400000.0,48939000.0,46905000.0,12539000.0,1530000.0,31817000.0,3053000.0,34870000.0,,-5471000.0,,5471000.0,48939000.0,46000.0,301000.0,453000.0,-5818000.0,655000.0,5471000.0,-6473000.0,-6473000.0,1530000.0,1983000.0,-6473000.0,0,2024-08-07,-0.18,-0.2,0.02,10.0,post-market,2024Q2,,,,-0.13226669936042829,
1.0,2024-03-31,USD,24034000.0,34587000.0,39978000.0,10553000.0,-6928000.0,28813000.0,2149000.0,30962000.0,,-5415000.0,,5415000.0,34587000.0,26000.0,,432000.0,-13565000.0,3136724.0,,-13565000.0,-13565000.0,-6928000.0,-6496000.0,-13565000.0,1,2024-05-13,-0.38,-0.2,-0.18,-90.0,post-market,2024Q1,,,,-0.39219938127041953,
2.0,2023-12-31,USD,25053000.0,31231000.0,38329000.0,11302000.0,-4875000.0,26212000.0,3336000.0,29928000.0,,-5124000.0,,5124000.0,36355000.0,-100000.0,,435000.0,-9683000.0,-535000.0,5124000.0,-9148000.0,-9148000.0,-4559000.0,-4124000.0,-9148000.0,2,2024-03-19,-0.25,-0.04,-0.21,-525.0,post-market,2023Q4,,,,-0.2929140917677948,
3.0,2023-09-30,USD,24198000.0,28516000.0,33684000.0,10067000.0,1744000.0,21033000.0,1421000.0,22454000.0,,-5749000.0,,5749000.0,34265000.0,-195000.0,290000.0,405000.0,-2852000.0,1539000.0,5749000.0,-4391000.0,-4391000.0,2897000.0,3302000.0,-4391000.0,3,2023-11-13,-0.13,0.04,-0.17,-425.0,post-market,2023Q3,,,,-0.15398372843316033,
4.0,2023-06-30,USD,23470000.0,27766000.0,32800000.0,10000000.0,2352000.0,19957000.0,1161000.0,21118000.0,,-5704000.0,,5704000.0,33470000.0,-178000.0,228000.0,398000.0,-4244000.0,-15000.0,5704000.0,-4229000.0,-4229000.0,1460000.0,1858000.0,-4229000.0,4,2023-08-09,-0.14,-0.04,-0.1,-250.0,post-market,2023Q2,-0.2222222222222221,-0.4326406342589755,-0.3466707863432721,-0.15230857883742707,0.15152626907536582
5.0,2023-03-31,USD,17832000.0,21356000.0,24451000.0,8271000.0,1210000.0,15888000.0,734000.0,16622000.0,,-4747000.0,,4747000.0,26103000.0,29000.0,225000.0,292000.0,-6931000.0,-288000.0,4747000.0,-6643000.0,-6643000.0,-2184000.0,-1892000.0,-6643000.0,5,2023-05-11,-0.22,-0.05,-0.17,-340.0,post-market,2023Q1,-0.42105263157894735,-0.3825425737994044,-0.51028381865094,-0.3110601236186552,-0.20688267632890323
6.0,2022-12-31,USD,14164000.0,23730000.0,21791000.0,6165000.0,-1778000.0,15239000.0,703000.0,15942000.0,,-1858000.0,,1858000.0,25588000.0,4691000.0,,387000.0,1055000.0,0.0,1858000.0,1055000.0,1055000.0,2913000.0,3300000.0,1055000.0,6,2023-03-23,0.04,-0.12,0.16,133.3333,post-market,2022Q4,-1.16,-0.24017802824117063,-1.1153257542632269,0.04445849136114623,-1.1517799676104021
7.0,2022-09-30,USD,16102000.0,21023000.0,22540000.0,6721000.0,-94000.0,15421000.0,775000.0,16196000.0,,-1800000.0,,1800000.0,22823000.0,-4535000.0,171000.0,247000.0,-6429000.0,35000.0,1800000.0,-6464000.0,-6464000.0,-4629000.0,-4382000.0,-6464000.0,7,2022-11-14,-0.24,-0.0133,-0.2267,-1704.5113,post-market,2022Q3,0.846153846153846,-0.2627647636414644,0.4721020268731497,-0.3074727679208486,0.9967873946779593
8.0,2022-06-30,USD,16789000.0,21529000.0,21117000.0,6534000.0,1690000.0,14185000.0,914000.0,15099000.0,,-1794000.0,,1794000.0,23323000.0,-6095000.0,381000.0,424000.0,-6199000.0,40000.0,1794000.0,-6239000.0,-6239000.0,-4405000.0,-3981000.0,-6239000.0,8,2022-08-09,-0.23,-0.01,-0.22,-2200.0,post-market,2022Q2,0.6428571428571428,-0.22462724195058703,0.4752896665878459,-0.2897951600167216,0.9026844201996436
9.0,2022-03-31,USD,16157000.0,20328000.0,19780000.0,5963000.0,2101000.0,13398000.0,658000.0,14056000.0,,-1792000.0,,1792000.0,22120000.0,-2747000.0,376000.0,419000.0,-2438000.0,0.0,1792000.0,-2438000.0,-2438000.0,-646000.0,-227000.0,-2438000.0,9,2022-05-05,0.03,-0.04,0.07,175.0,post-market,2022Q1,-1.1363636363636362,-0.048136355122682106,-0.6329971398464549,-0.11993309720582448,-0.6144375697835937
