fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2024-06-30,2024Q2,-0.18,-22.0,-0.2,0.02,48939000.0,-43.0,-6473000.0,-35.0,-0.13226669936042829,+15.0
2024-03-31,2024Q1,-0.38,-42.0,-0.2,-0.18,34587000.0,-38.0,-13565000.0,-51.0,-0.39219938127041953,-21.0
2023-12-31,2023Q4,-0.25,-116.0,-0.04,-0.21,31231000.0,-24.0,-9148000.0,-112.0,-0.2929140917677948,-115.0
2023-09-30,2023Q3,-0.13,+85.0,0.04,-0.17,28516000.0,-26.0,-4391000.0,+47.0,-0.15398372843316033,+100.0
2023-06-30,2023Q2,-0.14,+64.0,-0.04,-0.1,27766000.0,-22.0,-4229000.0,+48.0,-0.15230857883742707,+90.0
2023-03-31,2023Q1,-0.22,-114.0,-0.05,-0.17,21356000.0,-5.0,-6643000.0,-63.0,-0.3110601236186552,-61.0
2022-12-31,2022Q4,0.04,-775.0,-0.12,0.16,23730000.0,-20.0,1055000.0,-803.0,0.04445849136114623,-980.0
2022-09-30,2022Q3,-0.24,+29.0,-0.0133,-0.2267,21023000.0,-19.0,-6464000.0,+29.0,-0.3074727679208486,+59.0
2022-06-30,2022Q2,-0.23,-61.0,-0.01,-0.22,21529000.0,-22.0,-6239000.0,-60.0,-0.2897951600167216,-49.0
2022-03-31,2022Q1,0.03,-67.0,-0.04,0.07,20328000.0,-27.0,-2438000.0,-109.0,-0.11993309720582448,-112.0
2021-12-31,2021Q4,-0.27,-115.0,-0.04,-0.23,18970000.0,-27.0,-7418000.0,-115.0,-0.39103848181338957,-121.0
2021-09-30,2021Q3,-0.31,-113.0,-0.02,-0.29,17026000.0,-18.0,-8328000.0,-204.0,-0.4891342652413955,-227.0
2021-06-30,2021Q2,-0.09,-89.0,-0.03,-0.06,16820000.0,-55.0,-2478000.0,-90.0,-0.1473246135552913,-79.0
2021-03-31,2021Q1,0.01,-5100.0,-0.04,0.05,14930000.0,-25.0,217000.0,-6048.0,0.014534494306764904,-7989.0
2020-12-31,2020Q4,0.04,+150.0,0.04,0.0,13922000.0,-13.0,1149000.0,+131.0,0.08253124551070248,+167.0
2020-09-30,2020Q3,0.04,-825.0,0.04,0.0,13901000.0,-13.0,8638000.0,-233.0,0.621394144306165,-252.0
2020-06-30,2020Q2,-0.01,+800.0,-0.1,0.09,7555000.0,+69.0,-237000.0,+903.0,-0.031369953673064194,+492.0
2020-03-31,2020Q1,-0.5,-186.0,-0.25,-0.25,11257000.0,+4.0,-12907000.0,-188.0,-1.1465754641556365,-185.0
2019-12-31,2019Q4,0.1,+670.0,0.06,0.04,12043000.0,-11.0,2657000.0,+582.0,0.22062608984472307,+668.0
2019-09-30,2019Q3,-0.29,-59.0,-0.24,-0.05,12135000.0,-17.0,-11469000.0,-78.0,-0.9451174289245983,-73.0
2019-06-30,2019Q2,-0.09,-222.0,-0.08,-0.01,12800000.0,-19.0,-2378000.0,-206.0,-0.18578125,-231.0
2019-03-31,2019Q1,0.43,-140.0,-0.01,0.44,11687000.0,-24.0,11358000.0,-131.0,0.9718490630615213,-141.0
2018-12-31,2018Q4,0.77,-117.0,0.34,0.43,10695000.0,-45.0,18130000.0,-115.0,1.6951846657316503,-128.0
2018-09-30,2018Q3,-0.12,+133.0,-0.12,0.0,10034000.0,-65.0,-2514000.0,+126.0,-0.25054813633645606,+544.0
2018-06-30,2018Q2,0.11,-336.0,-0.12,0.23,10384000.0,-34.0,2522000.0,-41.0,0.24287365177195686,-11.0
2018-03-31,2018Q1,-0.17,+53.0,-0.16,-0.01,8865000.0,-31.0,-3513000.0,+42.0,-0.3962774957698816,+107.0
2017-12-31,2017Q4,-0.13,+131.0,,,5866000.0,-14.0,-2771000.0,+120.0,-0.47238322536651894,+156.0
2017-09-30,2017Q3,-0.28,+4.0,,,3527000.0,+84.0,-5692000.0,-32.0,-1.6138361213495889,-63.0
2017-06-30,2017Q2,-0.26,+35.0,,,6857000.0,-38.0,1484000.0,-413.0,0.21642117544115502,-601.0
2017-03-31,2017Q1,-0.26,+62.0,-0.19,-0.07,6097000.0,-38.0,-5006000.0,-10.0,-0.821059537477448,+46.0
2016-12-31,2016Q4,-0.3,+60.0,-0.28,-0.02,5054000.0,-39.0,-6102000.0,-16.0,-1.2073605065294817,+38.0
2016-09-30,2016Q3,-0.29,+41.0,,,6484000.0,-65.0,-3850000.0,+3.0,-0.5937692782233189,+195.0
2016-06-30,2016Q2,-0.35,+11.0,,,4276000.0,-60.0,-4639000.0,-20.0,-1.0848924228250703,+100.0
2016-03-31,2016Q1,-0.42,-21.0,-0.27,-0.15,3752000.0,-58.0,-4496000.0,-31.0,-1.1982942430703625,+63.0
2015-12-31,2015Q4,-0.48,-38.0,-0.26,-0.22,3074000.0,-82.0,-5124000.0,-46.0,-1.6668835393623942,+200.0
2015-09-30,2015Q3,-0.41,-27.0,-0.38,-0.03,2260000.0,-81.0,-3952000.0,-38.0,-1.7486725663716813,+219.0
2015-06-30,2015Q2,-0.39,-27.0,-0.31,-0.08,1718000.0,-61.0,-3730000.0,-30.0,-2.171129220023283,+79.0
2015-03-31,2015Q1,-0.33,-22.0,-0.25,-0.08,1587000.0,-100.0,-3093000.0,-25.0,-1.9489603024574669,+84506.0
2014-12-31,2014Q4,-0.3,-30.0,-0.26,-0.04,548863.0,-100.0,-2745000.0,-31.0,-5.00124803457329,+14953.0
2014-09-30,2014Q3,-0.3,-23.0,-0.25,-0.05,440037.0,-99.0,-2452000.0,-15.0,-5.5722586964278005,+14813.0
2014-06-30,2014Q2,-0.2849,-12.0,,,666136.0,-100.0,-2596000.0,-15.0,-3.89710209326624,+22666.0
2014-03-31,2014Q1,-0.258,-27.0,,,1410.0,+77.0,-2325000.0,-37.0,-1648.936170212766,-64.0
2013-12-31,2013Q4,-0.21,+54.0,,,2500.0,+100.0,-1882127.0,-23.0,-752.8508,-22.0
2013-09-30,2013Q3,-0.2318,-14.0,,,2500.0,+100.0,-2077464.0,-40.0,-830.9856,-29.0
2013-06-30,2013Q2,-0.2495,+56.0,,,2500.0,+100.0,-2218052.0,-41.0,-887.2208,-34.0
2013-03-31,2013Q1,-0.1882,+589.0,,,2500.0,+3900.0,-1465481.0,-6.0,-586.1924,-98.0
2012-12-31,2012Q4,-0.3234,+189.0,,,,+1555.0,-1453028.0,-81.0,,-99.0
2012-09-30,2012Q3,-0.2003,+7.0,,,,+1555.0,-1245826.0,-93.0,,-99.0
2012-06-30,2012Q2,-0.3886,+6.0,,,,+1555.0,-1305593.0,-87.0,,-99.0
2012-03-31,2012Q1,-1.297,-16.0,,,100000.0,-59.0,-1379088.0,-69.0,-13.79088,-52.0
2011-12-31,2011Q4,-0.9345,+16.0,,,41387.0,+100.0,-271758.0,+57.0,-6.566264769130403,+100.0
2011-09-30,2011Q3,-0.2148,+831.0,,,,+100.0,-85400.0,+774.0,,+100.0
2011-06-30,2011Q2,-0.4134,+190.0,,,,+100.0,-164465.0,+197.0,,+100.0
2011-03-31,2011Q1,-1.0854,+105.0,,,,+100.0,-432313.0,+13.0,,+100.0
2010-12-31,2010Q4,-1.0799,+85.0,,,,+100.0,-426155.0,+15.0,,+100.0
2010-09-30,2010Q3,-2.0,+19.0,-1.2,-0.8,,+100.0,-746460.0,-35.0,,+100.0
2010-06-30,2010Q2,-1.2,+162.0,-1.2,0.0,,+100.0,-488001.0,+100.0,,+100.0
2010-03-31,2010Q1,-2.2249,+87.0,,,,+100.0,,+100.0,,+100.0
2009-12-31,2009Q4,-2.0,+29.0,,,,+100.0,,+100.0,,+100.0
2009-09-30,2009Q3,-2.3755,-11.0,,,,+100.0,,+100.0,,+100.0
2009-06-30,2009Q2,-3.1484,+9.0,,,,+100.0,,+100.0,,+100.0
2009-03-31,2009Q1,-4.1665,-81.0,,,,+100.0,,+100.0,,+100.0
2008-12-31,2008Q4,-2.5729,+167.0,,,,+100.0,,+100.0,,+100.0
2008-09-30,2008Q3,-2.1082,+444.0,,,,+100.0,,+100.0,,+100.0
2008-06-30,2008Q2,-3.4315,,,,,,,,,
2008-03-31,2008Q1,-0.7947,,,,,,,,,
2007-12-31,2007Q4,-6.8715,,,,,,,,,
2007-09-30,2007Q3,-11.4761,,,,,,,,,
