Unnamed: 0_x,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Unnamed: 0_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,quarter,EPS_YOY_pct_change,revenue_YOY_pct_change,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
,2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,0,2024-10-15,1.75,1.82,-0.07,-3.8462,post-market,2024Q3,+13.0,+nan,+nan,,+nan
0.0,2024-06-30,USD,1286000000.0,1636000000.0,350000000.0,261000000.0,1276000000.0,10000000.0,,10000000.0,,792000000.0,,1036000000.0,438000000.0,,,24000000.0,250000000.0,71000000.0,,809000000.0,177000000.0,1276000000.0,904000000.0,179000000.0,1,2024-07-16,1.76,1.74,0.02,1.1494,post-market,2024Q2,+33.0,-12.0,+43.0,0.10941320293398533,+62.0
1.0,2024-03-31,USD,1245000000.0,2216000000.0,337000000.0,125000000.0,1207000000.0,38000000.0,,38000000.0,,747000000.0,1760000000.0,1013000000.0,456000000.0,,,24000000.0,246000000.0,71000000.0,1013000000.0,795000000.0,149000000.0,1259000000.0,892000000.0,175000000.0,2,2024-04-16,1.64,1.63,0.01,0.6135,post-market,2024Q1,+21.0,+25.0,+18.0,0.078971119133574,-6.0
2.0,2023-12-31,USD,1164000000.0,2104000000.0,323000000.0,100000000.0,1127000000.0,37000000.0,,37000000.0,,730000000.0,1695000000.0,965000000.0,409000000.0,,,25000000.0,237000000.0,77000000.0,965000000.0,739000000.0,197000000.0,1202000000.0,850000000.0,160000000.0,3,2024-01-16,1.52,1.55,-0.03,-1.9355,post-market,2023Q4,+17.0,+38.0,+18.0,0.07604562737642585,-15.0
3.0,2023-09-30,USD,1173000000.0,2055000000.0,305000000.0,1135000000.0,1163000000.0,10000000.0,,10000000.0,,733000000.0,1643000000.0,910000000.0,412000000.0,,,23000000.0,235000000.0,68000000.0,910000000.0,772000000.0,148000000.0,1145000000.0,880000000.0,167000000.0,4,2023-10-17,1.55,1.51,0.04,2.649,post-market,2023Q3,+44.0,+87.0,+69.0,0.08126520681265206,-10.0
4.0,2023-06-30,USD,974000000.0,1851000000.0,348000000.0,1080000000.0,964000000.0,10000000.0,,10000000.0,,694000000.0,1545000000.0,851000000.0,306000000.0,,,23000000.0,176000000.0,51000000.0,851000000.0,601000000.0,132000000.0,1027000000.0,650000000.0,125000000.0,5,2023-07-18,1.32,1.4,-0.08,-5.7143,post-market,2023Q2,+57.0,+141.0,+74.0,0.0675310642895732,-28.0
5.0,2023-03-31,USD,1118000000.0,1766000000.0,295000000.0,933000000.0,1083000000.0,35000000.0,,35000000.0,,637000000.0,1347000000.0,710000000.0,419000000.0,,,23000000.0,209000000.0,61000000.0,710000000.0,700000000.0,153000000.0,919000000.0,767000000.0,148000000.0,6,2023-04-18,1.35,1.41,-0.06,-4.2553,post-market,2023Q1,+65.0,+154.0,+103.0,0.08380520951302378,-20.0
6.0,2022-12-31,USD,1020000000.0,1522000000.0,287000000.0,755000000.0,984000000.0,36000000.0,,36000000.0,,565000000.0,1111000000.0,546000000.0,411000000.0,,,22000000.0,192000000.0,56000000.0,546000000.0,633000000.0,174000000.0,738000000.0,711000000.0,136000000.0,7,2023-01-17,1.3,1.17,0.13,11.1111,post-market,2022Q4,+57.0,+131.0,+103.0,0.08935611038107753,-12.0
7.0,2022-09-30,USD,843000000.0,1100000000.0,267000000.0,508000000.0,835000000.0,8000000.0,,8000000.0,,473000000.0,783000000.0,310000000.0,317000000.0,,,20000000.0,139000000.0,40000000.0,310000000.0,483000000.0,69000000.0,449000000.0,525000000.0,99000000.0,8,2022-10-18,1.08,0.96,0.12,12.5,post-market,2022Q3,+38.0,+114.0,+136.0,0.09,+10.0
8.0,2022-06-30,USD,714000000.0,768000000.0,264000000.0,98000000.0,705000000.0,9000000.0,,9000000.0,,348000000.0,460000000.0,112000000.0,308000000.0,,,21000000.0,104000000.0,32000000.0,112000000.0,360000000.0,48000000.0,216000000.0,394000000.0,72000000.0,9,2022-07-19,0.84,0.92,-0.08,-8.6957,post-market,2022Q2,+2.0,-2.0,-22.0,0.09375,-20.0
9.0,2022-03-31,USD,743000000.0,695000000.0,251000000.0,92000000.0,714000000.0,29000000.0,,29000000.0,,282000000.0,332000000.0,50000000.0,363000000.0,,,21000000.0,101000000.0,28000000.0,50000000.0,366000000.0,63000000.0,151000000.0,396000000.0,73000000.0,10,2022-04-19,0.82,0.82,0.0,0.0,post-market,2022Q1,-16.0,-29.0,-32.0,0.10503597122302158,-4.0
