fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2024-09-30,2024Q3,1.75,+13.0,1.82,-0.07,,+nan,,+nan,,+nan
2024-06-30,2024Q2,1.76,+33.0,1.74,0.02,1636000000.0,-12.0,179000000.0,+43.0,0.10941320293398533,+62.0
2024-03-31,2024Q1,1.64,+21.0,1.63,0.01,2216000000.0,+25.0,175000000.0,+18.0,0.078971119133574,-6.0
2023-12-31,2023Q4,1.52,+17.0,1.55,-0.03,2104000000.0,+38.0,160000000.0,+18.0,0.07604562737642585,-15.0
2023-09-30,2023Q3,1.55,+44.0,1.51,0.04,2055000000.0,+87.0,167000000.0,+69.0,0.08126520681265206,-10.0
2023-06-30,2023Q2,1.32,+57.0,1.4,-0.08,1851000000.0,+141.0,125000000.0,+74.0,0.0675310642895732,-28.0
2023-03-31,2023Q1,1.35,+65.0,1.41,-0.06,1766000000.0,+154.0,148000000.0,+103.0,0.08380520951302378,-20.0
2022-12-31,2022Q4,1.3,+57.0,1.17,0.13,1522000000.0,+131.0,136000000.0,+103.0,0.08935611038107753,-12.0
2022-09-30,2022Q3,1.08,+38.0,0.96,0.12,1100000000.0,+114.0,99000000.0,+136.0,0.09,+10.0
2022-06-30,2022Q2,0.84,+2.0,0.92,-0.08,768000000.0,-2.0,72000000.0,-22.0,0.09375,-20.0
2022-03-31,2022Q1,0.82,-16.0,0.82,0.0,695000000.0,-29.0,73000000.0,-32.0,0.10503597122302158,-4.0
2021-12-31,2021Q4,0.83,+20.0,0.82,0.01,658000000.0,+1.0,67000000.0,-6.0,0.10182370820668693,-6.0
2021-09-30,2021Q3,0.78,+47.0,0.76,0.02,515000000.0,-13.0,42000000.0,-9.0,0.08155339805825243,+5.0
2021-06-30,2021Q2,0.82,+44.0,0.82,0.0,787000000.0,+34.0,92000000.0,+188.0,0.11689961880559085,+114.0
2021-03-31,2021Q1,0.98,+63.0,0.91,0.07,978000000.0,+52.0,107000000.0,+133.0,0.10940695296523517,+53.0
2020-12-31,2020Q4,0.69,+21.0,0.59,0.1,654000000.0,+4.0,71000000.0,+61.0,0.10856269113149847,+56.0
2020-09-30,2020Q3,0.53,+18.0,0.55,-0.02,593000000.0,-8.0,46000000.0,+28.0,0.0775716694772344,+39.0
2020-06-30,2020Q2,0.57,+33.0,0.31,0.26,587000000.0,+0.0,32000000.0,+100.0,0.054514480408858604,-0.0
2020-03-31,2020Q1,0.6,-5.0,0.64,-0.04,645000000.0,-10.0,46000000.0,-6.0,0.07131782945736434,+5.0
2019-12-31,2019Q4,0.57,+100.0,0.61,-0.04,631000000.0,-0.0,44000000.0,+2.0,0.06973058637083994,+3.0
2019-09-30,2019Q3,0.45,-12.0,0.49,-0.04,643000000.0,+15.0,36000000.0,-8.0,0.05598755832037325,-20.0
2019-06-30,2019Q2,0.43,+10.0,0.53,-0.1,586000000.0,+6.0,32000000.0,-22.0,0.05460750853242321,-26.0
2019-03-31,2019Q1,0.63,-3.0,0.53,0.1,720000000.0,+16.0,49000000.0,+7.0,0.06805555555555555,-8.0
2018-12-31,2018Q4,0.57,-2950.0,0.61,-0.04,634000000.0,+7.0,43000000.0,-2250.0,0.06782334384858044,-2111.0
2018-09-30,2018Q3,0.51,+19.0,0.5,0.01,558000000.0,+15.0,39000000.0,+26.0,0.06989247311827956,+10.0
2018-06-30,2018Q2,0.39,-5.0,0.41,-0.02,553000000.0,+26.0,41000000.0,+78.0,0.07414104882459313,+41.0
2018-03-31,2018Q1,0.65,+62.0,0.59,0.06,621000000.0,+52.0,46000000.0,+92.0,0.07407407407407407,+26.0
2017-12-31,2017Q4,-0.02,-112.0,0.4,-0.42,593000000.0,+176.0,-2000000.0,-150.0,-0.003372681281618887,-118.0
2017-09-30,2017Q3,0.43,+43.0,0.38,0.05,487000000.0,+33.0,31000000.0,+55.0,0.06365503080082136,+16.0
2017-06-30,2017Q2,0.41,+14.0,0.37,0.04,438000000.0,+13.0,23000000.0,-15.0,0.05251141552511415,-25.0
2017-03-31,2017Q1,0.4,-33.0,0.39,0.01,409000000.0,-19.0,24000000.0,-27.0,0.05867970660146699,-10.0
