Unnamed: 0_x,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Unnamed: 0_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,quarter,EPS_YOY_pct_change,revenue_YOY_pct_change,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
0.0,2024-06-30,USD,209207000.0,223493000.0,14286000.0,25156000.0,133906000.0,14286000.0,50145000.0,14286000.0,,-1358000.0,10125000.0,11483000.0,223493000.0,11682000.0,,17376000.0,134105000.0,24441000.0,11483000.0,109664000.0,109574000.0,133906000.0,151282000.0,109664000.0,0,2024-08-01,3.93,0.33,3.6,1090.9091,pre-market,2024Q2,+397.0,+150.0,+403.0,0.4906820347840872,+101.0
1.0,2024-03-31,USD,235380000.0,249220000.0,13840000.0,96589000.0,103738000.0,13840000.0,49375000.0,13840000.0,,-11922000.0,11778000.0,11922000.0,261142000.0,9247000.0,,17240000.0,101063000.0,19411000.0,11922000.0,81652000.0,81157000.0,112985000.0,120978000.0,81652000.0,1,2024-05-02,2.88,2.75,0.13,4.7273,pre-market,2024Q1,-20.0,+30.0,-22.0,0.32763020624347966,-41.0
2.0,2023-12-31,USD,95191000.0,109796000.0,14605000.0,19863000.0,25325000.0,14605000.0,45725000.0,14605000.0,,-7906000.0,12931000.0,7906000.0,106518000.0,15509000.0,,19094000.0,32928000.0,-6158000.0,7906000.0,39086000.0,40585000.0,40834000.0,59928000.0,39086000.0,2,2024-02-15,1.41,0.89,0.52,58.427,pre-market,2023Q4,+31.0,+14.0,+21.0,0.35598746766731026,+6.0
3.0,2023-09-30,USD,112745000.0,127423000.0,14678000.0,21522000.0,53653000.0,14678000.0,50253000.0,14678000.0,,-12683000.0,11763000.0,12683000.0,140106000.0,14725000.0,,19527000.0,56482000.0,8541000.0,12683000.0,47154000.0,47971000.0,69165000.0,87905000.0,47941000.0,3,2023-11-02,1.72,0.66,1.06,160.6061,pre-market,2023Q3,+132.0,+19.0,+116.0,0.37623505960462394,+81.0
4.0,2023-06-30,USD,77757000.0,89450000.0,11693000.0,16644000.0,23376000.0,11693000.0,49878000.0,11693000.0,,-12141000.0,10254000.0,12141000.0,101591000.0,14387000.0,,122085.0,26112000.0,4329000.0,12141000.0,21293000.0,19944000.0,38253000.0,57408000.0,21783000.0,4,2023-08-03,0.79,0.68,0.11,16.1765,pre-market,2023Q2,-27.0,-13.0,+3.0,0.24352152040245947,+19.0
5.0,2023-03-31,USD,176171000.0,190986000.0,14815000.0,21368000.0,119261000.0,12315000.0,49429000.0,14815000.0,,-12087000.0,11680000.0,12087000.0,203073000.0,13191000.0,,41584.0,122104000.0,16845000.0,12087000.0,103520000.0,105838000.0,134191000.0,132452000.0,105259000.0,5,2023-05-04,3.58,0.62,2.96,477.4194,pre-market,2023Q1,+507.0,+102.0,+485.0,0.5511346381410156,+190.0
6.0,2022-12-31,USD,83885000.0,96396000.0,12511000.0,20170000.0,38594000.0,12559000.0,128713000.0,141224000.0,,-10050000.0,9525000.0,10050000.0,113165000.0,11652000.0,,54880.0,40598000.0,8190000.0,10040000.0,32006000.0,32722000.0,50648000.0,50246000.0,32408000.0,6,2023-02-15,1.08,0.73,0.35,47.9452,pre-market,2022Q4,+54.0,-14.0,+48.0,0.3361965226772895,+72.0
7.0,2022-09-30,USD,92687000.0,107105000.0,14418000.0,46720000.0,31837000.0,14418000.0,21789000.0,36207000.0,,-7659000.0,4421000.0,7659000.0,114764000.0,912000.0,,27081.0,25545000.0,3323000.0,7659000.0,21767000.0,21930000.0,33204000.0,51462000.0,22222000.0,7,2022-11-03,0.74,0.44,0.3,68.1818,pre-market,2022Q3,-11.0,-21.0,-15.0,0.20747864245366696,+7.0
8.0,2022-06-30,USD,90808000.0,103062000.0,12254000.0,45417000.0,49900000.0,9516000.0,17086000.0,29340000.0,,-6272000.0,297000.0,6272000.0,113457000.0,-15016000.0,,86065.0,29097000.0,8028000.0,17472000.0,20584000.0,21012000.0,35369000.0,69966000.0,21069000.0,8,2022-08-04,1.08,0.57,0.51,89.4737,pre-market,2022Q2,+177.0,+23.0,+1202.0,0.20443034290039006,+957.0
9.0,2022-03-31,USD,83163000.0,94589000.0,11426000.0,42095000.0,30185000.0,10884000.0,17612000.0,29038000.0,,-5515000.0,209000.0,5515000.0,101318000.0,-1005000.0,,60459.0,23955000.0,5961000.0,5515000.0,17704000.0,17684000.0,29470000.0,49004000.0,17994000.0,9,2022-05-05,0.59,0.73,-0.14,-19.1781,pre-market,2022Q1,+228.0,+25.0,+223.0,0.19023353666916873,+158.0
10.0,2021-12-31,USD,89479000.0,112062000.0,22583000.0,42047000.0,25589000.0,14223000.0,133501000.0,44952000.0,,-5796000.0,306000.0,5796000.0,108815000.0,9349000.0,,71391.0,31207000.0,9329000.0,5796000.0,19813000.0,21697000.0,37003000.0,42525000.0,21878000.0,10,2022-02-17,0.7,0.34,0.36,105.8824,pre-market,2021Q4,-1850.0,+23.0,-1721.0,0.1952312112937481,-1413.0
11.0,2021-09-30,USD,107778000.0,135801000.0,28023000.0,56150000.0,36777000.0,20978000.0,22546000.0,50569000.0,,-5773000.0,385000.0,5773000.0,143496000.0,-1537000.0,,54000.0,30481000.0,4253000.0,5773000.0,25214000.0,26161000.0,36254000.0,61706000.0,26228000.0,11,2021-11-04,0.83,0.65,0.18,27.6923,pre-market,2021Q3,+9.0,+69.0,+10.0,0.19313554392088422,-35.0
12.0,2021-06-30,USD,45577000.0,83662000.0,38085000.0,40970000.0,-3149000.0,14799000.0,21870000.0,59955000.0,,-6666000.0,446000.0,6666000.0,87735000.0,3039000.0,,55806.0,1639000.0,21000.0,6666000.0,-6797000.0,1549000.0,8305000.0,32824000.0,1618000.0,12,2021-08-05,0.39,-0.15,0.54,360.0,pre-market,2021Q2,-46.0,-14.0,-93.0,0.019339724128039013,-92.0
13.0,2021-03-31,USD,64327000.0,75544000.0,11217000.0,36574000.0,11989000.0,11217000.0,22583000.0,33800000.0,,-6990000.0,553000.0,6990000.0,82363000.0,724000.0,,55213.0,7336000.0,1765000.0,6990000.0,3958000.0,5501000.0,14326000.0,32574000.0,5571000.0,13,2021-05-06,0.18,0.0125,0.1675,1340.0,pre-market,2021Q1,+42.0,+10.0,+4703.0,0.07374510219209997,+4275.0
14.0,2020-12-31,USD,90790000.0,90790000.0,14848000.0,51011000.0,3140000.0,13748000.0,142645000.0,45232000.0,,-9918000.0,617000.0,9918000.0,90790000.0,,,55131.0,-2119000.0,-769000.0,9918000.0,3140000.0,-1542000.0,7799000.0,6258000.0,-1350000.0,14,2021-02-18,-0.04,-0.16,0.12,75.0,pre-market,2020Q4,-109.0,-11.0,-110.0,-0.014869479017512942,-111.0
15.0,2020-09-30,USD,69443000.0,80297000.0,10854000.0,40364000.0,15430000.0,10854000.0,20845000.0,31699000.0,,-10365000.0,825000.0,10365000.0,87493000.0,,,52750.0,10941000.0,-12843000.0,10365000.0,21902000.0,23422000.0,21306000.0,40084000.0,23784000.0,15,2020-11-05,0.76,0.13,0.63,484.6154,pre-market,2020Q3,+986.0,+22.0,+965.0,0.2962003561776903,+771.0
16.0,2020-06-30,USD,85180000.0,96974000.0,11794000.0,38695000.0,31917000.0,11794000.0,22092000.0,33886000.0,,-9971000.0,1342000.0,9971000.0,104498000.0,,,51116.0,27395000.0,5144000.0,9971000.0,20591000.0,22663000.0,37366000.0,56913000.0,22251000.0,16,2020-08-06,0.72,0.64,0.08,12.5,pre-market,2020Q2,+200.0,+36.0,+187.0,0.22945325551178666,+111.0
17.0,2020-03-31,USD,55108000.0,68811000.0,13703000.0,40108000.0,4681000.0,12603000.0,18818000.0,32521000.0,,-10545000.0,2877000.0,10545000.0,76210000.0,,,47300.0,1936000.0,1820000.0,10545000.0,-1661000.0,148000.0,12481000.0,29864000.0,116000.0,17,2020-05-07,0.1267,-0.07,0.1967,281.0,pre-market,2020Q1,-241.0,+0.0,-104.0,0.0016857769833311534,-104.0
18.0,2019-12-31,USD,102161000.0,102161000.0,14420000.0,46744000.0,25296000.0,11289000.0,18872000.0,30121000.0,,-10650000.0,3818000.0,10650000.0,102161000.0,29062000.0,,46467.0,21738000.0,7984000.0,10662000.0,102161000.0,13785000.0,32388000.0,30586000.0,13754000.0,18,2020-02-20,0.44,0.27,0.17,62.963,pre-market,2019Q4,+780.0,+36.0,+560.0,0.13463063204158143,+387.0
19.0,2019-09-30,USD,52236000.0,65707000.0,13471000.0,34772000.0,3774000.0,13471000.0,20506000.0,25477000.0,,-10920000.0,3684000.0,10920000.0,81023000.0,,,44646.0,2056000.0,-178000.0,10920000.0,835000.0,2479000.0,12976000.0,22327000.0,2234000.0,19,2019-10-31,0.07,-0.17,0.24,141.1765,pre-market,2019Q3,-86.0,-12.0,-90.0,0.03399942167501179,-88.0
20.0,2019-06-30,USD,57251000.0,71265000.0,14014000.0,37353000.0,8915000.0,12314000.0,17027000.0,31041000.0,,-9907000.0,3592000.0,9907000.0,81097000.0,,,40963.0,12727000.0,4984000.0,4419000.0,6378000.0,8819000.0,22634000.0,31710000.0,7743000.0,20,2019-08-01,0.24,0.12,0.12,100.0,pre-market,2019Q2,-20.0,+2.0,-29.0,0.10865081035571458,-31.0
