fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2024-06-30,2024Q2,3.93,+397.0,0.33,3.6,223493000.0,+150.0,109664000.0,+403.0,0.4906820347840872,+101.0
2024-03-31,2024Q1,2.88,-20.0,2.75,0.13,249220000.0,+30.0,81652000.0,-22.0,0.32763020624347966,-41.0
2023-12-31,2023Q4,1.41,+31.0,0.89,0.52,109796000.0,+14.0,39086000.0,+21.0,0.35598746766731026,+6.0
2023-09-30,2023Q3,1.72,+132.0,0.66,1.06,127423000.0,+19.0,47941000.0,+116.0,0.37623505960462394,+81.0
2023-06-30,2023Q2,0.79,-27.0,0.68,0.11,89450000.0,-13.0,21783000.0,+3.0,0.24352152040245947,+19.0
2023-03-31,2023Q1,3.58,+507.0,0.62,2.96,190986000.0,+102.0,105259000.0,+485.0,0.5511346381410156,+190.0
2022-12-31,2022Q4,1.08,+54.0,0.73,0.35,96396000.0,-14.0,32408000.0,+48.0,0.3361965226772895,+72.0
2022-09-30,2022Q3,0.74,-11.0,0.44,0.3,107105000.0,-21.0,22222000.0,-15.0,0.20747864245366696,+7.0
2022-06-30,2022Q2,1.08,+177.0,0.57,0.51,103062000.0,+23.0,21069000.0,+1202.0,0.20443034290039006,+957.0
2022-03-31,2022Q1,0.59,+228.0,0.73,-0.14,94589000.0,+25.0,17994000.0,+223.0,0.19023353666916873,+158.0
2021-12-31,2021Q4,0.7,-1850.0,0.34,0.36,112062000.0,+23.0,21878000.0,-1721.0,0.1952312112937481,-1413.0
2021-09-30,2021Q3,0.83,+9.0,0.65,0.18,135801000.0,+69.0,26228000.0,+10.0,0.19313554392088422,-35.0
2021-06-30,2021Q2,0.39,-46.0,-0.15,0.54,83662000.0,-14.0,1618000.0,-93.0,0.019339724128039013,-92.0
2021-03-31,2021Q1,0.18,+42.0,0.0125,0.1675,75544000.0,+10.0,5571000.0,+4703.0,0.07374510219209997,+4275.0
2020-12-31,2020Q4,-0.04,-109.0,-0.16,0.12,90790000.0,-11.0,-1350000.0,-110.0,-0.014869479017512942,-111.0
2020-09-30,2020Q3,0.76,+986.0,0.13,0.63,80297000.0,+22.0,23784000.0,+965.0,0.2962003561776903,+771.0
2020-06-30,2020Q2,0.72,+200.0,0.64,0.08,96974000.0,+36.0,22251000.0,+187.0,0.22945325551178666,+111.0
