Unnamed: 0_x,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Unnamed: 0_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,quarter,EPS_YOY_pct_change,revenue_YOY_pct_change,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
0,2024-06-30,USD,14009593,17928876,3919283,65713,5627043,7581421,801129,8382550,,,,,17928876.0,,141697.0,57433,6269260,1368036,,4901224.0,4901224,5627043,5684476,4901224,0.0,2024-08-01,0.42,0.37,0.05,13.5135,pre-market,2024Q2,-14.0,-10.0,-15.0,0.27337039979528,-5.0
1,2024-03-31,USD,13387723,17598119,4210396,39001,4748347,4812211,3827165,8639376,,,,,17597912.0,,168657.0,57432,5243501,1106968,,4136533.0,4136533,4748347,4805779,4136533,1.0,2024-05-02,0.36,0.34,0.02,5.8824,pre-market,2024Q1,-17.0,-12.0,-18.0,0.23505540563738658,-6.0
2,2023-12-31,USD,13412940,17452176,4039236,-38485,5159833,7602672,650435,8253107,,,,342409.0,17303332.0,,,-367047,5681643,1141957,,4539686.0,4539686,5159833,4792786,4539686,2.0,2024-02-08,0.39,0.4,-0.01,-2.5,pre-market,2023Q4,-18.0,-15.0,-19.0,0.26012148857540746,-5.0
3,2023-09-30,USD,12837384,16504640,3667256,52545,5905340,6479489,452555,6932044,,,,,16504640.0,,,164595,6408532,1341352,,5067180.0,5067180,5905340,6069935,5067180,3.0,2023-11-03,0.43,0.36,0.07,19.4444,pre-market,2023Q3,-33.0,-19.0,-32.0,0.3070154817069624,-17.0
4,2023-06-30,USD,12186492,16130396,3943904,80693,4963035,6261505,961952,7223457,,,,,16130396.0,335387.0,162121.0,162121,5298422,1118582,,4179840.0,4179840,4963035,5125156,4179840,4.0,2023-08-03,0.36,0.31,0.05,16.129,pre-market,2023Q2,-28.0,-21.0,-22.0,0.25912817019495366,-2.0
5,2023-03-31,USD,11721448,15475083,3753635,86690,4007245,6920486,2999976,7714202,,,,342409.0,15475083.0,342409.0,157314.0,157314,4349659,943589,,3406066.0,3406066,4007246,4164560,3406070,5.0,2023-05-04,0.3,0.28,0.02,7.1429,pre-market,2023Q1,-27.0,-20.0,-27.0,0.22010027345249134,-8.0
6,2022-12-31,USD,11220378,14863594,3643216,26510,4253845,6361789,604744,6966533,,,,448647.0,14833587.0,449734.0,149581.0,149581,4703578,1029961,,3673617.0,3673617,4253845,4403426,3673617,6.0,2023-02-02,0.32,0.3,0.02,6.6667,pre-market,2022Q4,+3.0,-20.0,+6.0,0.24715536498104027,+33.0
7,2022-09-30,USD,10542738,13407272,2864534,9403,4132296,5918799,491643,6410442,,,,105183.0,13407272.0,105183.0,142389.0,142389,4237479,810375,,3427104.0,3427104,4132296,4274685,3427104,7.0,2022-11-03,0.29,0.25,0.04,16.0,pre-market,2022Q3,-21.0,-19.0,-25.0,0.2556153108551837,-8.0
8,2022-06-30,USD,10139763,12721569,2581806,7570,4166581,5310583,662599,5973182,,,,13102.0,12721569.0,13102.0,142710.0,142710,4179683,938631,,3241052.0,3234925,4166581,4309291,3241052,8.0,2022-07-29,0.26,0.24,0.02,8.3333,post-market,2022Q2,-46.0,-23.0,-55.0,0.25476826011005405,-41.0
9,2022-03-31,USD,9379524,12310710,2931186,12254,3074923,5785506,519095,6304601,,,,14915.0,12315604.0,-14915.0,134870.0,134870,3060008,573295,,2486713.0,2475828,3074923,3209793,2486713,9.0,2022-04-29,0.22,0.21,0.01,4.7619,pre-market,2022Q1,-41.0,-25.0,-44.0,0.201995904379195,-26.0
