fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2024-06-30,2024Q2,0.42,+17.0,0.37,0.05,17928876,+11.0,4901224,+17.0,0.27337039979528,+5.0
2024-03-31,2024Q1,0.36,+20.0,0.34,0.02,17598119,+14.0,4136533,+21.0,0.23505540563738658,+7.0
2023-12-31,2023Q4,0.39,+22.0,0.4,-0.01,17452176,+17.0,4539686,+24.0,0.26012148857540746,+5.0
2023-09-30,2023Q3,0.43,+48.0,0.36,0.07,16504640,+23.0,5067180,+48.0,0.3070154817069624,+20.0
2023-06-30,2023Q2,0.36,+38.0,0.31,0.05,16130396,+27.0,4179840,+29.0,0.25912817019495366,+2.0
2023-03-31,2023Q1,0.3,+36.0,0.28,0.02,15475083,+26.0,3406070,+37.0,0.22010027345249134,+9.0
2022-12-31,2022Q4,0.32,-3.0,0.3,0.02,14863594,+25.0,3673617,-6.0,0.24715536498104027,-25.0
2022-09-30,2022Q3,0.29,+26.0,0.25,0.04,13407272,+23.0,3427104,+33.0,0.2556153108551837,+8.0
2022-06-30,2022Q2,0.26,+86.0,0.24,0.02,12721569,+30.0,3241052,+121.0,0.25476826011005405,+70.0
2022-03-31,2022Q1,0.22,+69.0,0.21,0.01,12310710,+33.0,2486713,+79.0,0.201995904379195,+34.0
2021-12-31,2021Q4,0.33,+371.0,0.21,0.12,11872860,+39.0,3892667,+511.0,0.32786262113761977,+340.0
2021-09-30,2021Q3,0.23,+109.0,0.17,0.06,10907302,+42.0,2576261,+140.0,0.23619599053918192,+69.0
2021-06-30,2021Q2,0.14,+180.0,0.1,0.04,9810423,+44.0,1469694,-170.0,0.14980944246746547,-148.0
2021-03-31,2021Q1,0.13,-28.0,0.1,0.03,9223996,+6.0,1386849,-22.0,0.15035229850489962,-26.0
2020-12-31,2020Q4,0.07,-77.0,0.11,-0.04,8546043,-22.0,637414,-80.0,0.07458586389045783,-75.0
2020-09-30,2020Q3,0.11,-52.0,0.1,0.01,7699096,-23.0,1074646,-56.0,0.139580802733204,-43.0
2020-06-30,2020Q2,0.05,-75.0,-0.01,0.06,6794692,-26.0,-2112270,-201.0,-0.3108706031119586,-237.0
2020-03-31,2020Q1,0.18,+38.0,0.15,0.03,8677541,+3.0,1769211,-4.0,0.2038839113523059,-7.0
2019-12-31,2019Q4,0.3,+87.0,0.21,0.09,10890653,+31.0,3241683,+90.0,0.29765735810332034,+45.0
2019-09-30,2019Q3,0.23,+64.0,0.16,0.07,9963299,+31.0,2454870,+2.0,0.24639128063907345,-22.0
2019-06-30,2019Q2,0.2,+43.0,0.15,0.05,9225596,+25.0,2088841,+54.0,0.22641800052809596,+23.0
2019-03-31,2019Q1,0.13,+30.0,0.15,-0.02,8437593,+19.0,1845565,+119.0,0.2187312187255299,+85.0
2018-12-31,2018Q4,0.16,+60.0,0.13,0.03,8339392,+24.0,1707013,+830.0,0.20469274019017214,+647.0
2018-09-30,2018Q3,0.14,+100.0,0.1,0.04,7614655,+34.0,2400273,+1148.0,0.31521756402621,+832.0
2018-06-30,2018Q2,0.14,+133.0,0.1,0.04,7376785,+34.0,1354968,+279.0,0.1836800177855258,+184.0
2018-03-31,2018Q1,0.1,-600.0,0.06,0.04,7108151,+38.0,841196,-461.0,0.11834244939366088,-362.0
2017-12-31,2017Q4,0.1,-9.0,0.06,0.04,6704944,+12.0,183638,-84.0,0.02738844649560086,-86.0
2017-09-30,2017Q3,0.07,-50.0,0.03,0.04,5689724,-26.0,192393,-88.0,0.03381411822436378,-83.0
