Unnamed: 0_x,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Unnamed: 0_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,quarter,EPS_YOY_pct_change,revenue_YOY_pct_change,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,0,2024-07-30,1.03,1.07,-0.04,-3.7383,post-market,2024Q2,+1.0,+nan,+nan,,+nan
0.0,2024-03-31,USD,8362000.0,3799529000.0,3791167000.0,2646457000.0,-36507000.0,981559000.0,,1221384000.0,43257000.0,-80691000.0,43257000.0,80691000.0,,77054000.0,70589000.0,132594000.0,-11319000.0,35414000.0,80691000.0,-32217000.0,-38365000.0,69372000.0,201966000.0,-46733000.0,1,2024-05-02,-0.53,-0.19,-0.34,-178.9474,post-market,2024Q1,+112.0,+21.0,+1375.0,-0.012299682408003729,+1114.0
1.0,2023-12-31,USD,-15345000.0,5838941000.0,5854286000.0,4681184000.0,-81476000.0,1024101000.0,13680000.0,1254918000.0,62946000.0,-92819000.0,62946000.0,92819000.0,,-10698000.0,72936000.0,134445000.0,-171863000.0,38865000.0,111423000.0,-181893000.0,-195520000.0,-79044000.0,55401000.0,-210728000.0,2,2024-02-22,-1.25,-1.04,-0.21,-20.1923,post-market,2023Q4,+44.0,+36.0,+4.0,-0.036090106065466324,-24.0
2.0,2023-09-30,USD,675783000.0,8152019000.0,7476236000.0,6330465000.0,618532000.0,974150000.0,7379000.0,1243990000.0,78107000.0,-86215000.0,78107000.0,86215000.0,,-19251000.0,65984000.0,130653000.0,539369000.0,55874000.0,86215000.0,540681000.0,436484000.0,625584000.0,756237000.0,483495000.0,3,2023-11-02,1.78,1.27,0.51,40.1575,post-market,2023Q3,+28.0,+32.0,+34.0,0.05930984704525345,+1.0
3.0,2023-06-30,USD,436007000.0,5630723000.0,5194716000.0,4164778000.0,386371000.0,868595000.0,,1104403000.0,56452000.0,-81995000.0,56452000.0,81995000.0,,6599000.0,69960000.0,136514000.0,335330000.0,41648000.0,81995000.0,331337000.0,370360000.0,417325000.0,553839000.0,293682000.0,4,2023-07-27,1.02,0.63,0.39,61.9048,post-market,2023Q2,+55.0,+27.0,+56.0,0.052157067573737864,+23.0
4.0,2023-03-31,USD,192984000.0,3127390000.0,2934406000.0,2115589000.0,142776000.0,690321000.0,,888390000.0,40313000.0,-89215000.0,40313000.0,89215000.0,,-11583000.0,57710000.0,115185000.0,20671000.0,23840000.0,107581000.0,44192000.0,69482000.0,109886000.0,225071000.0,-3169000.0,5,2023-05-04,-0.25,-0.42,0.17,40.4762,post-market,2023Q1,-36.0,+73.0,-94.0,-0.001013305024317402,-96.0
5.0,2022-12-31,USD,-78923000.0,4290737000.0,4369660000.0,3291631000.0,-119890000.0,907579000.0,1920000.0,1147035000.0,31055000.0,-72761000.0,31055000.0,72761000.0,55327000.0,-14429000.0,62827000.0,131487000.0,-192369000.0,10665000.0,72761000.0,-167631000.0,-139227000.0,-119608000.0,11879000.0,-203034000.0,6,2023-02-23,-0.87,-0.92,0.05,5.4348,post-market,2022Q4,+1.0,+59.0,+4.0,-0.047319143541074644,-34.0
6.0,2022-09-30,USD,530189000.0,6153535000.0,5623346000.0,4707848000.0,506249000.0,805910000.0,,946933000.0,25809000.0,-70514000.0,25809000.0,70514000.0,35285000.0,-7960000.0,48824000.0,102093000.0,403300000.0,41898000.0,70514000.0,397403000.0,337090000.0,473814000.0,575907000.0,361402000.0,7,2022-11-03,1.39,1.03,0.36,34.9515,post-market,2022Q3,+632.0,+128.0,+671.0,0.058730794575800736,+238.0
7.0,2022-06-30,USD,369468000.0,4434174000.0,4064706000.0,3267023000.0,318699000.0,672213000.0,,857995000.0,13192000.0,-68435000.0,13192000.0,68435000.0,-1065000.0,-5039000.0,63359000.0,115927000.0,219795000.0,31995000.0,68435000.0,228377000.0,142570000.0,288230000.0,404157000.0,187800000.0,8,2022-08-04,0.66,0.51,0.15,29.4118,post-market,2022Q2,-173.0,+670.0,-196.0,0.04235287113225597,-112.0
8.0,2022-03-31,USD,61135000.0,1802808000.0,1741673000.0,1071022000.0,27060000.0,570182000.0,,704726000.0,7564000.0,-66773000.0,7564000.0,66773000.0,-1665000.0,-9267000.0,50760000.0,100469000.0,-38486000.0,11696000.0,66773000.0,-48956000.0,13441000.0,28287000.0,128756000.0,-50182000.0,9,2022-05-05,-0.39,-0.79,0.4,50.6329,post-market,2022Q1,-73.0,+520.0,-84.0,-0.027835465562611215,-97.0
