fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2024-06-30,2024Q2,1.03,+1.0,1.07,-0.04,,+nan,,+nan,,+nan
2024-03-31,2024Q1,-0.53,+112.0,-0.19,-0.34,3799529000.0,+21.0,-46733000.0,+1375.0,-0.012299682408003729,+1114.0
2023-12-31,2023Q4,-1.25,+44.0,-1.04,-0.21,5838941000.0,+36.0,-210728000.0,+4.0,-0.036090106065466324,-24.0
2023-09-30,2023Q3,1.78,+28.0,1.27,0.51,8152019000.0,+32.0,483495000.0,+34.0,0.05930984704525345,+1.0
2023-06-30,2023Q2,1.02,+55.0,0.63,0.39,5630723000.0,+27.0,293682000.0,+56.0,0.052157067573737864,+23.0
2023-03-31,2023Q1,-0.25,-36.0,-0.42,0.17,3127390000.0,+73.0,-3169000.0,-94.0,-0.001013305024317402,-96.0
2022-12-31,2022Q4,-0.87,+1.0,-0.92,0.05,4290737000.0,+59.0,-203034000.0,+4.0,-0.047319143541074644,-34.0
2022-09-30,2022Q3,1.39,+632.0,1.03,0.36,6153535000.0,+128.0,361402000.0,+671.0,0.058730794575800736,+238.0
2022-06-30,2022Q2,0.66,-173.0,0.51,0.15,4434174000.0,+670.0,187800000.0,-196.0,0.04235287113225597,-112.0
2022-03-31,2022Q1,-0.39,-73.0,-0.79,0.4,1802808000.0,+520.0,-50182000.0,-84.0,-0.027835465562611215,-97.0
2021-12-31,2021Q4,-0.86,-58.0,-0.54,-0.32,2703170000.0,+1039.0,-194924000.0,-56.0,-0.07210941228261633,-96.0
2021-09-30,2021Q3,0.19,-108.0,-0.05,0.24,2698722000.0,+1367.0,46878000.0,-109.0,0.017370444232492267,-101.0
2021-06-30,2021Q2,-0.9,-66.0,-1.18,0.28,575946000.0,+677.0,-195665000.0,-66.0,-0.33972803005837354,-96.0
2021-03-31,2021Q1,-1.44,+53.0,-1.55,0.11,290609000.0,-79.0,-307193000.0,+66.0,-1.0570663675247498,+681.0
2020-12-31,2020Q4,-2.04,+132.0,-2.3,0.26,237383000.0,-92.0,-443332000.0,+177.0,-1.867581082048841,+3274.0
2020-09-30,2020Q3,-2.45,-445.0,-2.2,-0.25,184018000.0,-95.0,-528902000.0,-396.0,-2.8741862209131717,-6162.0
2020-06-30,2020Q2,-2.67,-751.0,-2.08,-0.59,74084000.0,-98.0,-567517000.0,-649.0,-7.660452999298094,-23499.0
2020-03-31,2020Q1,-0.94,+203.0,-0.97,0.03,1365693000.0,-21.0,-184784000.0,+252.0,-0.13530420087091316,+346.0
2019-12-31,2019Q4,-0.88,+10.0,-0.71,-0.17,2889448000.0,+11.0,-159947000.0,+8.0,-0.05535555580166177,-3.0
2019-09-30,2019Q3,0.71,+1.0,0.77,-0.06,3773684000.0,-2.0,178925000.0,+4.0,0.04741387991151352,+5.0
2019-06-30,2019Q2,0.41,+71.0,0.4,0.01,3157009000.0,+10.0,103355000.0,+49.0,0.03273826587127246,+35.0
2019-03-31,2019Q1,-0.31,+29.0,-0.34,0.03,1727828000.0,+17.0,-52444000.0,+55.0,-0.030352558240750817,+33.0
2018-12-31,2018Q4,-0.8,-38.0,-0.74,-0.06,2601855000.0,+12.0,-147887000.0,-23.0,-0.056839062899354496,-31.0
2018-09-30,2018Q3,0.7,+32.0,0.63,0.07,3835246000.0,+11.0,172683000.0,+27.0,0.04502527347659055,+14.0
2018-06-30,2018Q2,0.24,-17.0,0.19,0.05,2868315000.0,+7.0,69359000.0,-15.0,0.02418109586987482,-20.0
2018-03-31,2018Q1,-0.24,+9.0,-0.29,0.05,1482384000.0,+19.0,-33906000.0,+3.0,-0.02287261600233138,-14.0
2017-12-31,2017Q4,-1.29,+126.0,-1.08,-0.21,2320450000.0,+29.0,-190893000.0,+88.0,-0.08226550884526708,+46.0
2017-09-30,2017Q3,0.53,+8.0,0.56,-0.03,3440308000.0,+9.0,136393000.0,+23.0,0.03964557824473855,+13.0
2017-06-30,2017Q2,0.29,+123.0,0.19,0.1,2683585000.0,+23.0,81478000.0,+116.0,0.030361624468761006,+75.0
2017-03-31,2017Q1,-0.22,-24.0,-0.33,0.11,1242879000.0,+3.0,-32993000.0,-26.0,-0.02654562511716748,-28.0
2016-12-31,2016Q4,-0.57,+21.0,-0.58,0.01,1797544000.0,+4.0,-101360000.0,+29.0,-0.056388049471946165,+25.0
2016-09-30,2016Q3,0.49,+29.0,0.48,0.01,3170416000.0,+21.0,111079000.0,+25.0,0.03503609620945643,+3.0
2016-06-30,2016Q2,0.13,+117.0,0.08,0.05,2179258000.0,+23.0,37741000.0,+151.0,0.01731827989159613,+103.0
2016-03-31,2016Q1,-0.29,-6.0,-0.31,0.02,1207716000.0,+8.0,-44518000.0,-24.0,-0.03686131507738574,-29.0
2015-12-31,2015Q4,-0.47,+15.0,-0.32,-0.15,1736725000.0,+10.0,-78334000.0,-58.0,-0.045104435071758625,-62.0
2015-09-30,2015Q3,0.38,-22.0,0.43,-0.05,2622917000.0,+5.0,89049000.0,-15.0,0.033950368997570264,-19.0
2015-06-30,2015Q2,0.06,-45.0,0.06,0.0,1765777000.0,+6.0,15056000.0,-34.0,0.008526557996847846,-38.0
2015-03-31,2015Q1,-0.31,+94.0,-0.33,0.02,1120312000.0,-1.0,-58279000.0,+80.0,-0.05202033005091439,+81.0
2014-12-31,2014Q4,-0.41,-2.0,-0.4,-0.01,1571855000.0,-3.0,-186456000.0,+127.0,-0.11862162858533389,+133.0
2014-09-30,2014Q3,0.49,+22.0,0.36,0.13,2502008000.0,+11.0,105163000.0,+140.0,0.042031440347113196,+117.0
2014-06-30,2014Q2,0.11,-63.0,0.15,-0.04,1665785000.0,-1.0,22934000.0,-61.0,0.013767683104362207,-60.0
2014-03-31,2014Q1,-0.16,-52.0,-0.35,0.19,1127316000.0,+22.0,-32448000.0,-49.0,-0.028783411217440363,-58.0
