Unnamed: 0_x,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Unnamed: 0_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,quarter,EPS_YOY_pct_change,revenue_YOY_pct_change,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
0,2024-06-30,USD,549572000,678134000,128562000,128562000,105339000,335452000,108781000,444233000,46593000.0,46593000,46593000,,678134000.0,-11173000,6000000,8055999,139326000,5200000,,135559000,134911000,105339000,113395000,134126000,0.0,2024-08-05,0.09,0.08,0.01,12.5,post-market,2024Q2,+80.0,+27.0,+377.0,0.19778686808211945,+275.0
1,2024-03-31,USD,518082000,634338000,116256000,116256000,80881000,327161000,110040000,437201000,43352000.0,43352000,43352000,,634338000.0,-13507000,6000000,8438000,110230000,4700000,,106026000,99009000,80881000,89319000,105530000,1.0,2024-05-06,0.08,0.08,0.0,0.0,post-market,2024Q1,+60.0,+21.0,+528.0,0.1663624124678011,+420.0
2,2023-12-31,USD,499711000,608350000,108639000,108639000,65794000,324634000,109283000,433917000,44545000.0,-136000,44545000,136000.0,608350000.0,-3956000,5500000,7972000,102691000,9300000,136000.0,96947000,101397000,102827000,73766000,93391000,2.0,2024-02-05,0.08,0.08,0.0,0.0,post-market,2023Q4,+100.0,+20.0,+202.0,0.1535152461576395,+153.0
3,2023-09-30,USD,450237000,558159000,107922000,107922000,39983000,304546000,105708000,410254000,36864000.0,-742000,36864000,742000.0,558159000.0,3864000,6300000,8663000,78035000,6530000,742000.0,73439000,69509000,78777000,89374000,71505000,3.0,2023-11-02,0.07,0.06,0.01,16.6667,pre-market,2023Q3,+600.0,+17.0,-158.0,0.1281086572105798,-149.0
4,2023-06-30,USD,426418000,533317000,106899000,106899000,10074000,316811000,99533000,416344000,30310000.0,-1317000,30310000,1317000.0,533317000.0,-10341000,6000000,8399000,30298000,2200000,1317000.0,27872000,27236000,31615000,18473000,28127000,4.0,2023-08-07,0.05,0.05,0.0,0.0,post-market,2023Q2,-600.0,+13.0,-116.0,0.05273974015454223,-114.0
5,2023-03-31,USD,417541000,525186000,107645000,107645000,4115000,323326000,90100000,413426000,20853000.0,-1275000,20853000,1275000.0,525186000.0,-4136000,5900000,8320000,18483000,1700000,1275000.0,19151000,18102000,19758000,12435000,16802000,5.0,2023-05-08,0.05,0.04,0.01,25.0,post-market,2023Q1,+150.0,+18.0,-117.0,0.03199247504693575,-114.0
6,2022-12-31,USD,404313000,508624000,104311000,104311000,-17826000,340095000,82044000,422139000,12750000.0,-1712000,12750000,1712000.0,463424000.0,44637000,5600000,7373000,35245000,4367000,1712000.0,33482000,35380000,36957000,-10453000,30878000,6.0,2023-02-13,0.04,0.03,0.01,33.3333,post-market,2022Q4,+100.0,+18.0,-120.0,0.06070889301330649,-117.0
7,2022-09-30,USD,370269000,477880000,107611000,107611000,-62191000,331597000,100863000,432460000,5540000.0,-1082000,5540000,1082000.0,436580000.0,-65046000,5500000,5942000,-122779000,1096000,1082000.0,-123875000,-127036000,-121697000,-56249000,-123875000,7.0,2022-11-07,0.01,0.02,-0.01,-50.0,pre-market,2022Q3,-75.0,+22.0,+21.0,-0.25921779526240896,-0.0
8,2022-06-30,USD,370786000,473010000,102224000,102224000,-41745000,324360000,88171000,412531000,1472000.0,-670000,1472000,670000.0,473010000.0,-135798000,4500000,4895000,-176741000,2588000,670000.0,-179341000,-181959000,-176071000,-171176000,-179329000,8.0,2022-08-08,-0.01,0.03,-0.04,-133.3333,pre-market,2022Q2,-125.0,+26.0,+29.0,-0.37912306293735865,+3.0
9,2022-03-31,USD,351954000,446357000,94403000,94403000,-39439000,302792000,88601000,391393000,547000.0,-594000,547000,594000.0,446357000.0,-59870000,3900000,4312000,-99356000,2023000,594000.0,-101379000,-103074000,-98762000,-35127000,-101379000,9.0,2022-05-09,0.02,0.04,-0.02,-50.0,pre-market,2022Q1,-50.0,+31.0,-18.0,-0.22712537273975764,-37.0
10,2021-12-31,USD,345304000,432867000,87563000,87563000,-58943000,320071000,84176000,404247000,480000.0,-601000,480000,601000.0,432867000.0,-64118000,3500000,3840000,-123182000,33006000,601000.0,-156188000,-156842000,-122581000,-55103000,-156188000,10.0,2022-02-17,0.02,0.04,-0.02,-50.0,pre-market,2021Q4,-67.0,+34.0,+5.0,-0.3608221462943583,-22.0
