fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2024-06-30,2024Q2,0.09,+80.0,0.08,0.01,678134000,+27.0,134126000,+377.0,0.19778686808211945,+275.0
2024-03-31,2024Q1,0.08,+60.0,0.08,0.0,634338000,+21.0,105530000,+528.0,0.1663624124678011,+420.0
2023-12-31,2023Q4,0.08,+100.0,0.08,0.0,608350000,+20.0,93391000,+202.0,0.1535152461576395,+153.0
2023-09-30,2023Q3,0.07,+600.0,0.06,0.01,558159000,+17.0,71505000,-158.0,0.1281086572105798,-149.0
2023-06-30,2023Q2,0.05,-600.0,0.05,0.0,533317000,+13.0,28127000,-116.0,0.05273974015454223,-114.0
2023-03-31,2023Q1,0.05,+150.0,0.04,0.01,525186000,+18.0,16802000,-117.0,0.03199247504693575,-114.0
2022-12-31,2022Q4,0.04,+100.0,0.03,0.01,508624000,+18.0,30878000,-120.0,0.06070889301330649,-117.0
2022-09-30,2022Q3,0.01,-75.0,0.02,-0.01,477880000,+22.0,-123875000,+21.0,-0.25921779526240896,-0.0
2022-06-30,2022Q2,-0.01,-125.0,0.03,-0.04,473010000,+26.0,-179329000,+29.0,-0.37912306293735865,+3.0
2022-03-31,2022Q1,0.02,-50.0,0.04,-0.02,446357000,+31.0,-101379000,-18.0,-0.22712537273975764,-37.0
2021-12-31,2021Q4,0.02,-67.0,0.04,-0.02,432867000,+34.0,-156188000,+5.0,-0.3608221462943583,-22.0
2021-09-30,2021Q3,0.04,-56.0,0.04,0.0,392146000,+36.0,-102137000,-88.0,-0.2604565646468407,-91.0
2021-06-30,2021Q2,0.04,+300.0,0.04,0.0,375642000,+49.0,-138580000,+25.0,-0.3689150840427854,-16.0
2021-03-31,2021Q1,0.04,+nan,0.04,0.0,341234000,+49.0,-123474000,+128.0,-0.36184553708012684,+53.0
2020-12-31,2020Q4,0.06,+nan,0.02,0.04,322091000,+40.0,-148343000,-7.0,-0.4605623876482112,-34.0
2020-09-30,2020Q3,0.09,+nan,0.02,0.07,289366000,+52.0,-853319000,+510.0,-2.9489262733009407,+302.0
2020-06-30,2020Q2,0.01,+nan,0.0,0.01,251889000,+nan,-110455000,+nan,-0.43850664379945137,+nan
2020-03-31,2020Q1,,+nan,,,229327000,+nan,-54274000,+nan,-0.23666641956681944,+nan
2019-12-31,2019Q4,,+nan,,,229358000,+nan,-159327000,+nan,-0.6946651086947043,+nan
2019-09-30,2019Q3,,+nan,,,190541000,+nan,-139860000,+nan,-0.7340152513107415,+nan
