Unnamed: 0_x,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Unnamed: 0_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,quarter,EPS_YOY_pct_change,revenue_YOY_pct_change,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
,2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,0,2024-10-24,1.26,1.32,-0.06,-4.5455,post-market,2024Q3,+33.0,+nan,+nan,,+nan
0.0,2024-06-30,USD,185731000.0,1341202000.0,1155471000.0,1091031000.0,142816000.0,58148000.0,,261302000.0,,1683000.0,1683000.0,,1341202000.0,,,42915000.0,141851000.0,21710000.0,,123075000.0,120141000.0,142816000.0,192023000.0,120141000.0,1,2024-07-25,1.79,1.64,0.15,9.1463,post-market,2024Q2,+47.0,+15.0,+46.0,0.08957711068131423,+28.0
1.0,2024-03-31,USD,174252000.0,1320848000.0,1146596000.0,1085705000.0,133128000.0,52595000.0,,254911000.0,,1408000.0,1408000.0,,1320848000.0,,,41493000.0,132009000.0,18803000.0,,115990000.0,113206000.0,133128000.0,182917000.0,113206000.0,2,2024-05-02,1.69,1.63,0.06,3.681,post-market,2024Q1,+32.0,+13.0,+31.0,0.08570706091844027,+16.0
2.0,2023-12-31,USD,92894000.0,1164393000.0,1071499000.0,980674000.0,83773000.0,78109000.0,,273277000.0,,254000.0,,254000.0,1164893000.0,,,40438000.0,81605000.0,9175000.0,,75022000.0,72430000.0,83773000.0,133877999.0,72430000.0,3,2024-02-15,1.08,1.06,0.02,1.8868,post-market,2023Q4,+21.0,+16.0,+21.0,0.06220408401630721,+5.0
3.0,2023-09-30,USD,112983000.0,1121752000.0,1008769000.0,952400000.0,73859000.0,47708000.0,,225594000.0,,496000.0,,496000.0,1121752000.0,,,39124000.0,72658000.0,8870000.0,,65624000.0,63788000.0,73859000.0,112979000.0,63788000.0,4,2023-10-26,0.95,1.06,-0.11,-10.3774,post-market,2023Q3,+2.0,+13.0,+2.0,0.0568646189175504,-9.0
4.0,2023-06-30,USD,132825000.0,1171203000.0,1038378000.0,981629000.0,95412000.0,51000000.0,,227841000.0,,996000.0,,996000.0,1171203000.0,287000.0,,122085.0,94541000.0,12270000.0,,84425000.0,82271000.0,95412000.0,132981000.0,82271000.0,5,2023-07-27,1.22,1.2,0.02,1.6667,post-market,2023Q2,+14.0,+14.0,+14.0,0.0702448678837059,-1.0
5.0,2023-03-31,USD,135949000.0,1173133000.0,1037184000.0,981887000.0,100945000.0,49865000.0,,224077000.0,,1238000.0,1238000.0,334000.0,1173133000.0,755000.0,,41584.0,100721000.0,14334000.0,,88604000.0,86387000.0,100945000.0,137282000.0,86387000.0,6,2023-05-04,1.28,1.36,-0.08,-5.8824,post-market,2023Q1,+19.0,+19.0,+15.0,0.07363785691818404,-3.0
6.0,2022-12-31,USD,74331000.0,1007358000.0,933027000.0,857190000.0,68853000.0,65393000.0,,230996000.0,,753000.0,753000.0,753000.0,1007958000.0,170000.0,,54880.0,67876000.0,8007000.0,,61769000.0,59869000.0,68853000.0,106441000.0,59869000.0,7,2023-02-16,0.89,1.03,-0.14,-13.5922,post-market,2022Q4,+17.0,+13.0,+13.0,0.05943170154006818,+0.0
7.0,2022-09-30,USD,109023000.0,993298000.0,884275000.0,834990000.0,75288000.0,42812000.0,,195321000.0,,-85000.0,,85000.0,993298000.0,190000.0,,27081.0,73758000.0,11430000.0,,63963000.0,62328000.0,75288000.0,109985000.0,62328000.0,8,2022-10-27,0.93,0.89,0.04,4.4944,post-market,2022Q3,+24.0,+14.0,+18.0,0.06274854071990481,+4.0
8.0,2022-06-30,USD,120338000.0,1024606000.0,904268000.0,849321000.0,85918000.0,49213000.0,,207471000.0,,-395000.0,,395000.0,1024606000.0,545000.0,,86065.0,83950000.0,11531000.0,,74537000.0,72419000.0,85918000.0,126072000.0,72419000.0,9,2022-07-28,1.07,1.01,0.06,5.9406,post-market,2022Q2,-1.0,+14.0,-4.0,0.0706798515722141,-16.0
9.0,2022-03-31,USD,122607000.0,986335000.0,863728000.0,819789000.0,90138000.0,40294000.0,,189256000.0,,-397000.0,,397000.0,986335000.0,334000.0,,60459.0,87949000.0,12747000.0,,77328000.0,75202000.0,90138000.0,123446000.0,75202000.0,10,2022-05-05,1.08,0.91,0.17,18.6813,post-market,2022Q1,+19.0,+23.0,+17.0,0.07624387251795789,-5.0
10.0,2021-12-31,USD,-1201853000.0,894531000.0,2096384000.0,2024668000.0,64839000.0,63773000.0,,203629000.0,,-624000.0,,624000.0,894731000.0,-925000.0,,71391.0,61605000.0,8547000.0,,54743000.0,53154000.0,64839000.0,96713000.0,53058000.0,11,2022-02-22,0.76,0.69,0.07,10.1449,post-market,2021Q4,+171.0,+40.0,+171.0,0.0593137633016631,+94.0
11.0,2021-09-30,USD,534347000.0,868943000.0,334596000.0,286593000.0,61698000.0,41234000.0,,175772000.0,,-604000.0,,604000.0,868943000.0,266000.0,,54000.0,59750000.0,7144000.0,,54216000.0,52606000.0,61698000.0,93620000.0,52606000.0,12,2021-10-28,0.75,0.81,-0.06,-7.4074,post-market,2021Q3,+79.0,+38.0,+80.0,0.06054021955410194,+31.0
12.0,2021-06-30,USD,567444000.0,898788000.0,331344000.0,288147000.0,89728000.0,36861000.0,,178803000.0,,-975000.0,,975000.0,898788000.0,239000.0,,55806.0,86547000.0,11067000.0,,77925000.0,75502000.0,89728000.0,121634000.0,75480000.0,13,2021-07-29,1.08,0.99,0.09,9.0909,post-market,2021Q2,-325.0,+89.0,-325.0,0.08397975940933791,-219.0
13.0,2021-03-31,USD,500785000.0,800305000.0,299520000.0,258036000.0,80927000.0,36712000.0,,165196000.0,,-1460000.0,,1460000.0,800305000.0,-217000.0,,55213.0,76970000.0,12820000.0,,66430000.0,64138000.0,80927000.0,112083000.0,64150000.0,14,2021-04-29,0.91,0.59,0.32,54.2373,post-market,2021Q1,+296.0,+23.0,+300.0,0.0801569401665615,+226.0
