fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2024-06-30,2024Q2,1.79,-32.0,1.64,0.15,1341202000.0,-13.0,120141000.0,-32.0,0.08957711068131423,-22.0
2024-03-31,2024Q1,1.69,-24.0,1.63,0.06,1320848000.0,-11.0,113206000.0,-24.0,0.08570706091844027,-14.0
2023-12-31,2023Q4,1.08,-18.0,1.06,0.02,1164393000.0,-13.0,72430000.0,-17.0,0.06220408401630721,-4.0
2023-09-30,2023Q3,0.95,-2.0,1.06,-0.11,1121752000.0,-11.0,63788000.0,-2.0,0.0568646189175504,+10.0
2023-06-30,2023Q2,1.22,-12.0,1.2,0.02,1171203000.0,-13.0,82271000.0,-12.0,0.0702448678837059,+1.0
2023-03-31,2023Q1,1.28,-16.0,1.36,-0.08,1173133000.0,-16.0,86387000.0,-13.0,0.07363785691818404,+4.0
2022-12-31,2022Q4,0.89,-15.0,1.03,-0.14,1007358000.0,-11.0,59869000.0,-11.0,0.05943170154006818,-0.0
2022-09-30,2022Q3,0.93,-19.0,0.89,0.04,993298000.0,-13.0,62328000.0,-16.0,0.06274854071990481,-4.0
2022-06-30,2022Q2,1.07,+1.0,1.01,0.06,1024606000.0,-12.0,72419000.0,+4.0,0.0706798515722141,+19.0
2022-03-31,2022Q1,1.08,-16.0,0.91,0.17,986335000.0,-19.0,75202000.0,-15.0,0.07624387251795789,+5.0
2021-12-31,2021Q4,0.76,-63.0,0.69,0.07,894531000.0,-29.0,53058000.0,-63.0,0.0593137633016631,-48.0
2021-09-30,2021Q3,0.75,-44.0,0.81,-0.06,868943000.0,-27.0,52606000.0,-44.0,0.06054021955410194,-24.0
2021-06-30,2021Q2,1.08,-144.0,0.99,0.09,898788000.0,-47.0,75480000.0,-144.0,0.08397975940933791,-184.0
2021-03-31,2021Q1,0.91,-75.0,0.59,0.32,800305000.0,-19.0,64150000.0,-75.0,0.0801569401665615,-69.0
