Unnamed: 0_x,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Unnamed: 0_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,quarter,EPS_YOY_pct_change,revenue_YOY_pct_change,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
0,2024-09-30,USD,410200000.0,2068200000,1658000000.0,1317100000.0,371600000,334600000.0,,340900000,,,,35900000.0,2068200000.0,,20800000.0,48100000.0,268500000,91900000.0,0.0,176600000.0,274800000.0,304400000.0,352500000,176600000,0.0,2024-10-23,0.76,0.69,0.07,10.1449,pre-market,2024Q3,+46.0,+22.0,+88.0,0.08538826032298617,+54.0
1,2024-06-30,USD,378600000.0,1951500000,1572900000.0,1211600000.0,336000000,363800000.0,,361300000,,-44800000.0,,44800000.0,1951500000.0,,20100000.0,48300000.0,264700000,86600000.0,1100000.0,178100000.0,151800000.0,309500000.0,357800000,178100000,1.0,2024-07-24,0.67,0.57,0.1,17.5439,pre-market,2024Q2,+46.0,+16.0,+114.0,0.09126313092492955,+84.0
2,2024-03-31,USD,161000000.0,1596900000,1435900000.0,1072700000.0,202600000,314000000.0,,363200000,,-39000000.0,,39000000.0,1635900000.0,,19800000.0,48900000.0,-13000000,-7100000.0,39000000.0,-5900000.0,-40200000.0,26000000.0,74900000,-5900000,2.0,2024-04-24,0.43,0.36,0.07,19.4444,pre-market,2024Q1,+79.0,+6.0,-112.0,-0.0036946584006512617,-111.0
3,2023-12-31,USD,234200000.0,1819300000,1585100000.0,1182000000.0,285200000,348800000.0,303500000.0,706600000,,-42900000.0,,42900000.0,1862200000.0,,19700000.0,49200000.0,187300000,-45300000.0,43400000.0,232600000.0,297500000.0,230200000.0,279400000,232600000,3.0,2024-02-21,0.56,0.53,0.03,5.6604,pre-market,2023Q4,+100.0,+8.0,+774.0,0.12785137140658495,+709.0
4,2023-09-30,USD,252900000.0,1696400000,1443500000.0,1115000000.0,250900000,327200000.0,,328500000,,-43500000.0,,43500000.0,1739900000.0,,18900000.0,49300000.0,145800000,51700000.0,43500000.0,94100000.0,34500000.0,189300000.0,238600000,94100000,4.0,2023-10-25,0.52,0.44,0.08,18.1818,pre-market,2023Q3,+126.0,+16.0,+344.0,0.055470407922659754,+283.0
5,2023-06-30,USD,202900000.0,1679700000,1476800000.0,1140100000.0,205800000,327600000.0,,336700000,,-46900000.0,,46900000.0,1726600000.0,-46000000.0,18000000.0,49300000.0,112900000,29700000.0,46900000.0,83200000.0,92300000.0,159800000.0,209100000,83200000,5.0,2023-08-02,0.46,0.29,0.17,58.6207,pre-market,2023Q2,+360.0,+21.0,+310.0,0.04953265464070965,+237.0
6,2023-03-31,USD,110500000.0,1506800000,1396300000.0,1025600000.0,130300000,308700000.0,,370700000,,-46800000.0,,46800000.0,1518000000.0,4200000.0,17700000.0,48900000.0,87700000,37400000.0,46800000.0,50300000.0,77600000.0,134500000.0,183400000,50300000,6.0,2023-04-26,0.24,0.17,0.07,41.1765,pre-market,2023Q1,-400.0,+30.0,+492.0,0.0333820015927794,+355.0
7,2022-12-31,USD,185100000.0,1683700000,1498600000.0,1142900000.0,162400000,303300000.0,282000000.0,634000000,,-45800000.0,,45800000.0,1656400000.0,,18700000.0,51800000.0,83500000,56900000.0,45800000.0,26600000.0,169800000.0,129300000.0,181100000,26600000,7.0,2023-02-22,0.28,0.31,-0.03,-9.6774,pre-market,2022Q4,+600.0,+18.0,+21.0,0.015798538932113797,+2.0
8,2022-09-30,USD,118400000.0,1463900000,1345500000.0,1051800000.0,80000000,295200000.0,,293700000,,-38800000.0,,38800000.0,1480900000.0,,17800000.0,57900000.0,31400000,10200000.0,38800000.0,21200000.0,-93900000.0,70200000.0,128100000,21200000,8.0,2022-10-26,0.23,0.21,0.02,9.5238,pre-market,2022Q3,+15.0,+17.0,-62.0,0.014481863515267436,-68.0
9,2022-06-30,USD,66500000.0,1382800000,1316300000.0,1027900000.0,26200000,287600000.0,,288400000,,-33400000.0,,33400000.0,1396500000.0,38900000.0,17600000.0,59400000.0,31700000,11400000.0,33400000.0,20300000.0,-107600000.0,65100000.0,124500000,20300000,9.0,2022-08-03,0.1,0.1,0.0,0.0,pre-market,2022Q2,-68.0,+12.0,+109.0,0.014680358692507955,+87.0
10,2022-03-31,USD,-47300000.0,1159800000,1207100000.0,852800000.0,-45200000,292200000.0,,354300000,,-29300000.0,,29300000.0,1157700000.0,94900000.0,17900000.0,61300000.0,20400000,11900000.0,29300000.0,8500000.0,26500000.0,49700000.0,111000000,8500000,10.0,2022-04-27,-0.08,-0.17,0.09,52.9412,pre-market,2022Q1,-138.0,+7.0,-73.0,0.007328849801689946,-75.0
11,2021-12-31,USD,5600000.0,1426300000,1420700000.0,1036800000.0,-3900000,329400000.0,,650300000,,-24100000.0,,24100000.0,1409400000.0,-9600000.0,17500000.0,52400000.0,21600000,-400000.0,24100000.0,22000000.0,25600000.0,45700000.0,98100000,22000000,11.0,2022-02-25,0.04,0.28,-0.24,-85.7143,post-market,2021Q4,-88.0,+11.0,-46.0,0.01542452499474164,-51.0
12,2021-09-30,USD,137500000.0,1247400000,1109900000.0,847200000.0,81800000,257800000.0,,262700000,,-22400000.0,,22400000.0,1224000000.0,32500000.0,16400000.0,35000000.0,91900000,35700000.0,22400000.0,56200000.0,33200000.0,114300000.0,149300000,56200000,12.0,2021-10-27,0.2,0.19,0.01,5.2632,pre-market,2021Q3,-38.0,+11.0,-154.0,0.045053711720378385,-149.0
13,2021-06-30,USD,112400000.0,1236200000,1123800000.0,851000000.0,102200000,271700000.0,,272800000,,-20000000.0,,20000000.0,1256200000.0,-71200000.0,18300000.0,35200000.0,11000000,1300000.0,20000000.0,9700000.0,12100000.0,31000000.0,66200000,9700000,13.0,2021-07-28,0.31,0.24,0.07,29.1667,pre-market,2021Q2,+29.0,+27.0,-117.0,0.007846626759424042,-114.0
14,2021-03-31,USD,53000000.0,1080800000,1027800000.0,740400000.0,79800000,250100000.0,,287400000,,-24100000.0,,24100000.0,1104900000.0,-14000000.0,16900000.0,35300000.0,41700000,10000000.0,24500000.0,31700000.0,32800000.0,65800000.0,101100000,31700000,14.0,2021-04-28,0.21,0.12,0.09,75.0,pre-market,2021Q1,-333.0,+66.0,-115.0,0.029330125832716505,-109.0
15,2020-12-31,USD,136700000.0,1280500000,1143800000.0,878300000.0,120000000,265500000.0,,307100000,,-25000000.0,,25000000.0,1305500000.0,,17400000.0,35000000.0,60700000,20200000.0,25000000.0,40500000.0,103100000.0,85700000.0,120700000,40500000,15.0,2021-02-24,0.33,0.33,0.0,0.0,pre-market,2020Q4,+560.0,+inf,-219.0,0.03162827020695041,+nan
16,2020-09-30,USD,6300000.0,1123900000,1117600000.0,749000000.0,35100000,251700000.0,,494800000,,-26400000.0,,26400000.0,1150300000.0,,14400000.0,35800000.0,-79000000,24500000.0,26400000.0,-15800000.0,-70800000.0,-52600000.0,-16800000,-103500000,16.0,2020-11-04,0.32,0.27,0.05,18.5185,pre-market,2020Q3,+967.0,+inf,+655.0,-0.09209004359818489,+nan
