fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2024-09-30,2024Q3,0.76,+46.0,0.69,0.07,2068200000,+22.0,176600000,+88.0,0.08538826032298617,+54.0
2024-06-30,2024Q2,0.67,+46.0,0.57,0.1,1951500000,+16.0,178100000,+114.0,0.09126313092492955,+84.0
2024-03-31,2024Q1,0.43,+79.0,0.36,0.07,1596900000,+6.0,-5900000,-112.0,-0.0036946584006512617,-111.0
2023-12-31,2023Q4,0.56,+100.0,0.53,0.03,1819300000,+8.0,232600000,+774.0,0.12785137140658495,+709.0
2023-09-30,2023Q3,0.52,+126.0,0.44,0.08,1696400000,+16.0,94100000,+344.0,0.055470407922659754,+283.0
2023-06-30,2023Q2,0.46,+360.0,0.29,0.17,1679700000,+21.0,83200000,+310.0,0.04953265464070965,+237.0
2023-03-31,2023Q1,0.24,-400.0,0.17,0.07,1506800000,+30.0,50300000,+492.0,0.0333820015927794,+355.0
2022-12-31,2022Q4,0.28,+600.0,0.31,-0.03,1683700000,+18.0,26600000,+21.0,0.015798538932113797,+2.0
2022-09-30,2022Q3,0.23,+15.0,0.21,0.02,1463900000,+17.0,21200000,-62.0,0.014481863515267436,-68.0
2022-06-30,2022Q2,0.1,-68.0,0.1,0.0,1382800000,+12.0,20300000,+109.0,0.014680358692507955,+87.0
2022-03-31,2022Q1,-0.08,-138.0,-0.17,0.09,1159800000,+7.0,8500000,-73.0,0.007328849801689946,-75.0
2021-12-31,2021Q4,0.04,-88.0,0.28,-0.24,1426300000,+11.0,22000000,-46.0,0.01542452499474164,-51.0
2021-09-30,2021Q3,0.2,-38.0,0.19,0.01,1247400000,+11.0,56200000,-154.0,0.045053711720378385,-149.0
2021-06-30,2021Q2,0.31,+29.0,0.24,0.07,1236200000,+27.0,9700000,-117.0,0.007846626759424042,-114.0
2021-03-31,2021Q1,0.21,-333.0,0.12,0.09,1080800000,+66.0,31700000,-115.0,0.029330125832716505,-109.0
2020-12-31,2020Q4,0.33,+560.0,0.33,0.0,1280500000,+inf,40500000,-219.0,0.03162827020695041,+nan
2020-09-30,2020Q3,0.32,+967.0,0.27,0.05,1123900000,+inf,-103500000,+655.0,-0.09209004359818489,+nan
2020-06-30,2020Q2,0.24,+700.0,0.12,0.12,972800000,+inf,-56000000,+196.0,-0.05756578947368421,+nan
2020-03-31,2020Q1,-0.09,-400.0,-0.04,-0.05,652600000,+inf,-208300000,+180.0,-0.3191847992644805,+nan
2019-12-31,2019Q4,0.05,+67.0,0.05,0.0,0,+nan,-33900000,-1543.0,-inf,+nan
2019-09-30,2019Q3,0.03,+13.0,,,0,+nan,-13700000,-697.0,-inf,+nan
2019-06-30,2019Q2,0.03,+nan,,,0,+nan,-18900000,-4992.0,-inf,+nan
2019-03-31,2019Q1,0.03,+nan,,,0,+nan,-74300000,+12466343.0,-inf,+nan
2018-12-31,2018Q4,0.03,+nan,,,0,+nan,2348869,-184181.0,inf,+nan
2018-09-30,2018Q3,0.0266,+nan,,,0,+nan,2296093,+nan,inf,+nan
2018-06-30,2018Q2,,+nan,,,0,+nan,386382,+nan,inf,+nan
2018-03-31,2018Q1,,+nan,,,0,+nan,-596,+nan,-inf,+nan
2017-12-31,2017Q4,,+nan,,,0,+nan,-1276,+nan,-inf,+nan
