Unnamed: 0_x,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Unnamed: 0_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,quarter,EPS_YOY_pct_change,revenue_YOY_pct_change,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
0.0,2024-06-30,USD,78640000.0,151120000.0,72480000.0,5671000.0,54078000.0,40124000.0,,62291000.0,,2284000.0,26846000.0,24562000.0,14428000.0,,,22167000.0,57903000.0,15317000.0,24562000.0,42586000.0,40461000.0,82465000.0,104632000.0,42586000.0,0,2024-08-01,6.2055,,,,pre-market,2024Q2,+208.0,+39.0,+208.0,0.2818025410269984,+122.0
1.0,2024-03-31,USD,49869000.0,119083000.0,69214000.0,5835000.0,27218000.0,32286000.0,,54772000.0,,-20734000.0,2269000.0,23003000.0,8857000.0,,,22486000.0,29892000.0,9023000.0,23003000.0,20869000.0,19755000.0,52895000.0,75381000.0,20869000.0,1,2024-05-03,2.997,,,,pre-market,2024Q1,+445.0,+33.0,+375.0,0.1752475164381146,+257.0
2.0,2023-12-31,USD,36519000.0,114280000.0,77761000.0,2008000.0,16784000.0,44823000.0,,69626000.0,,-19969000.0,2300000.0,22269000.0,5994000.0,,,22794000.0,20981000.0,10028000.0,22269000.0,10953000.0,3993000.0,43250000.0,66044000.0,10953000.0,2,2024-03-13,1.5304,,,,pre-market,2023Q4,-28.0,+30.0,-24.0,0.09584354217710886,-41.0
3.0,2023-09-30,USD,39050000.0,105745000.0,66695000.0,719000.0,19998000.0,36017000.0,,59105000.0,,-16952000.0,2100000.0,19052000.0,773000.0,,,23088000.0,20344000.0,5726000.0,19052000.0,14618000.0,11631000.0,39396000.0,62484000.0,14618000.0,3,2023-11-03,2.1308,,,,pre-market,2023Q3,+139.0,+38.0,+129.0,0.13823821457279303,+66.0
4.0,2023-06-30,USD,38527000.0,108996000.0,70469000.0,1671000.0,19442000.0,41385000.0,,63879000.0,,-16827000.0,2258000.0,19085000.0,4461000.0,-474000.0,,22494000.0,18968000.0,5152000.0,19085000.0,13816000.0,13768000.0,38053000.0,60547000.0,13816000.0,4,2023-08-03,2.0155,,,,pre-market,2023Q2,+149.0,+40.0,+134.0,0.1267569452089985,+68.0
5.0,2023-03-31,USD,26214000.0,89535000.0,63321000.0,0.0,7998000.0,37770000.0,,60319000.0,,-16343000.0,2046000.0,18389000.0,-31000.0,-1161000.0,,22549000.0,6837000.0,2443000.0,18389000.0,4394000.0,-907000.0,25226000.0,47775000.0,4394000.0,5,2023-05-04,0.55,,,,pre-market,2023Q1,-115.0,+30.0,-121.0,0.04907578042106439,-116.0
6.0,2022-12-31,USD,31491000.0,88144000.0,56653000.0,0.0,16732000.0,30463000.0,,53172000.0,,-9955000.0,7579000.0,17534000.0,-566000.0,1469000.0,,22780000.0,18201000.0,3858000.0,14976000.0,14343000.0,13545000.0,35735000.0,58515000.0,14343000.0,6,2023-03-09,2.12,,,,pre-market,2022Q4,+1531.0,+16.0,+723.0,0.16272236340533672,+608.0
7.0,2022-09-30,USD,25047000.0,76891000.0,51844000.0,654000.0,8743000.0,26992000.0,,49051000.0,,-16304000.0,,16304000.0,920000.0,-384000.0,,22059000.0,8359000.0,1970000.0,16304000.0,6389000.0,12102000.0,24663000.0,46722000.0,6389000.0,7,2022-11-02,0.89,,,,pre-market,2022Q3,+178.0,+9.0,+122.0,0.08309164921772379,+104.0
8.0,2022-06-30,USD,25508000.0,78075000.0,52567000.0,78000.0,9485000.0,27441000.0,,49053000.0,,-16023000.0,,16023000.0,3614000.0,1469000.0,,21612000.0,10954000.0,5046000.0,16023000.0,5908000.0,8512000.0,26977000.0,48589000.0,5908000.0,8,2022-08-04,0.81,,,,pre-market,2022Q2,-775.0,+17.0,+10086.0,0.0756708293307717,+8572.0
9.0,2022-03-31,USD,-8527000.0,68817000.0,77344000.0,21117000.0,-25105000.0,28467000.0,,50276000.0,,-16883000.0,,16883000.0,2351000.0,-2616000.0,,21809000.0,-27721000.0,-6520000.0,16883000.0,-21221000.0,-7008000.0,-10838000.0,10971000.0,-21201000.0,9,2022-05-09,-3.7,,,,post-market,2022Q1,+928.0,+13.0,+1492.0,-0.30807794585640175,+1314.0
