fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2024-06-30,2024Q2,6.2055,+208.0,,,151120000.0,+39.0,42586000.0,+208.0,0.2818025410269984,+122.0
2024-03-31,2024Q1,2.997,+445.0,,,119083000.0,+33.0,20869000.0,+375.0,0.1752475164381146,+257.0
2023-12-31,2023Q4,1.5304,-28.0,,,114280000.0,+30.0,10953000.0,-24.0,0.09584354217710886,-41.0
2023-09-30,2023Q3,2.1308,+139.0,,,105745000.0,+38.0,14618000.0,+129.0,0.13823821457279303,+66.0
2023-06-30,2023Q2,2.0155,+149.0,,,108996000.0,+40.0,13816000.0,+134.0,0.1267569452089985,+68.0
2023-03-31,2023Q1,0.55,-115.0,,,89535000.0,+30.0,4394000.0,-121.0,0.04907578042106439,-116.0
2022-12-31,2022Q4,2.12,+1531.0,,,88144000.0,+16.0,14343000.0,+723.0,0.16272236340533672,+608.0
2022-09-30,2022Q3,0.89,+178.0,,,76891000.0,+9.0,6389000.0,+122.0,0.08309164921772379,+104.0
2022-06-30,2022Q2,0.81,-775.0,,,78075000.0,+17.0,5908000.0,+10086.0,0.0756708293307717,+8572.0
2022-03-31,2022Q1,-3.7,+928.0,,,68817000.0,+13.0,-21201000.0,+1492.0,-0.30807794585640175,+1314.0
2021-12-31,2021Q4,0.13,-121.0,,,75814000.0,+23.0,1742000.0,-160.0,0.022977286517002135,-149.0
2021-09-30,2021Q3,0.32,-9.0,,,70791000.0,+0.0,2884000.0,-3.0,0.040739642044892714,-4.0
2021-06-30,2021Q2,-0.12,-116.0,,,66472000.0,-11.0,58000.0,-99.0,0.0008725478396919003,-99.0
2021-03-31,2021Q1,-0.36,-164.0,,,61125000.0,-25.0,-1332000.0,-131.0,-0.021791411042944787,-141.0
2020-12-31,2020Q4,-0.62,-191.0,,,61487000.0,-31.0,-2894000.0,-158.0,-0.04706685966139184,-184.0
2020-09-30,2020Q3,0.35,-91.0,,,70613000.0,-41.0,2984000.0,-88.0,0.04225850764023622,-79.0
2020-06-30,2020Q2,0.74,-72.0,,,74983000.0,-22.0,5372000.0,-68.0,0.07164290572529773,-60.0
2020-03-31,2020Q1,0.56,-83.0,,,81609000.0,-21.0,4286000.0,-79.0,0.052518717298337195,-74.0
2019-12-31,2019Q4,0.68,-77.0,,,89228000.0,-25.0,4996000.0,-72.0,0.0559913928363294,-63.0
2019-09-30,2019Q3,3.81,+159.0,,,120366000.0,+49.0,24073000.0,+149.0,0.19999833840120965,+67.0
2019-06-30,2019Q2,2.66,+111.0,,,95797000.0,+22.0,16975000.0,+103.0,0.17719761579172624,+67.0
2019-03-31,2019Q1,3.35,+235.0,,,103769000.0,+47.0,20878000.0,+195.0,0.20119688924437934,+100.0
2018-12-31,2018Q4,2.91,-1139.0,,,118190000.0,+87.0,18114000.0,-58.0,0.15326169726711228,-77.0
2018-09-30,2018Q3,1.47,+84.0,,,80958000.0,+23.0,9674000.0,+83.0,0.11949405864769387,+49.0
2018-06-30,2018Q2,1.26,+37.0,,,78702000.0,+16.0,8359000.0,+40.0,0.10621076973901553,+20.0
2018-03-31,2018Q1,1.0,-21.0,,,70497000.0,-10.0,7082000.0,-13.0,0.10045817552519966,-4.0
2017-12-31,2017Q4,-0.28,-122.0,,,63189000.0,+14.0,42709000.0,+1478.0,0.6758929560524775,+1285.0
2017-09-30,2017Q3,0.8,+29.0,,,65861000.0,+28.0,5292000.0,+33.0,0.0803510423467606,+4.0
2017-06-30,2017Q2,0.92,+48.0,,,67844000.0,+37.0,5990000.0,+78.0,0.08829078474146572,+30.0
2017-03-31,2017Q1,1.26,+157.0,,,77946000.0,+54.0,8167000.0,+104.0,0.1047776665896903,+32.0
2016-12-31,2016Q4,1.25,+127.0,,,55476000.0,+1.0,2707000.0,-9.0,0.0487958756939938,-9.0
2016-09-30,2016Q3,0.62,+61.0,,,51461000.0,-11.0,3985000.0,+56.0,0.07743728260235906,+75.0
2016-06-30,2016Q2,0.62,-1133.0,,,49618000.0,+13.0,3366000.0,-793.0,0.06783828449353058,-712.0
2016-03-31,2016Q1,0.49,+145.0,,,50719000.0,+23.0,4011000.0,+75.0,0.07908278948717443,+42.0
2015-12-31,2015Q4,0.55,-1933.0,,,55186000.0,+34.0,2973000.0,-1173.0,0.05387235893161309,-901.0
2015-09-30,2015Q3,0.3846,+220.0,,,57730000.0,+27.0,2551000.0,+161.0,0.04418846353715573,+105.0
2015-06-30,2015Q2,-0.06,-122.0,0.21,-0.27,43810000.0,-0.0,-486000.0,-122.0,-0.011093357680894773,-122.0
2015-03-31,2015Q1,0.2,-62.0,0.21,-0.01,41336000.0,-5.0,2298000.0,-47.0,0.05559318753628798,-44.0
2014-12-31,2014Q4,-0.03,-104.0,0.18,-0.21,41205000.0,-13.0,-277000.0,-104.0,-0.006722485135299114,-105.0
2014-09-30,2014Q3,0.12,-85.0,0.21,-0.09,45519000.0,+20.0,979000.0,-144.0,0.02150750236165118,-137.0
2014-06-30,2014Q2,0.27,-198.0,0.2,0.07,43994000.0,+16.0,2214000.0,-77.0,0.050325044324226034,-80.0
2014-03-31,2014Q1,0.53,-55.0,0.18,0.35,43340000.0,+23.0,4331000.0,+169.0,0.09993077988001846,+119.0
2013-12-31,2013Q4,0.81,+326.0,0.22,0.59,47203000.0,+19.0,6553000.0,+196.0,0.13882592208122366,+149.0
2013-09-30,2013Q3,0.8145,-975.0,0.22,0.5945,37952000.0,+1.0,-2229000.0,-69.0,-0.0587320826306914,-69.0
2013-06-30,2013Q2,-0.2743,-70.0,,,37953000.0,+8.0,9692000.0,+200.0,0.25536848206992857,+178.0
2013-03-31,2013Q1,1.17,+303.0,,,35304000.0,-1.0,1610000.0,-51.0,0.04560389757534557,-50.0
2012-12-31,2012Q4,0.19,-49.0,,,39692000.0,+5.0,2211000.0,-39.0,0.055703920185427795,-42.0
2012-09-30,2012Q3,-0.0931,-129.0,,,37506000.0,-5.0,-7194000.0,-411.0,-0.19180931051031835,-427.0
2012-06-30,2012Q2,-0.9203,-641.0,,,35153000.0,-9.0,3229000.0,-7.0,0.09185560265126731,+2.0
2012-03-31,2012Q1,0.29,-6.0,0.32,-0.03,35739000.0,-12.0,3289000.0,-35.0,0.0920283164050477,-26.0
2011-12-31,2011Q4,0.37,-21.0,0.31,0.06,37669000.0,-5.0,3648000.0,-9.0,0.0968435583636412,-4.0
2011-09-30,2011Q3,0.3214,+29.0,,,39480000.0,-2.0,2316000.0,-25.0,0.058662613981762916,-24.0
2011-06-30,2011Q2,0.17,+42.0,,,38692000.0,+18.0,3481000.0,+83.0,0.08996691822598987,+55.0
2011-03-31,2011Q1,0.31,+29.0,,,40812000.0,+14.0,5063000.0,+66.0,0.12405665000490051,+45.0
2010-12-31,2010Q4,0.47,+1467.0,,,39634000.0,+nan,4010000.0,+nan,0.10117575818741485,+nan
2010-09-30,2010Q3,0.25,-73.0,0.08,0.17,40191000.0,+nan,3083000.0,+nan,0.07670871588166504,+nan
2010-06-30,2010Q2,0.12,-74.0,0.04,0.08,32778000.0,+nan,1907000.0,+nan,0.05817926658124352,+nan
2010-03-31,2010Q1,0.24,-67.0,0.46,-0.22,35699000.0,+nan,3050000.0,+nan,0.08543656685061206,+nan
2009-12-31,2009Q4,0.03,-93.0,0.51,-0.48,,+nan,,+nan,,+nan
2009-09-30,2009Q3,0.94,-17.0,0.56,0.38,,+nan,,+nan,,+nan
2009-06-30,2009Q2,0.47,-27.0,0.61,-0.14,,+nan,,+nan,,+nan
2009-03-31,2009Q1,0.72,+46.0,-1.44,2.16,,+nan,,+nan,,+nan
2008-12-31,2008Q4,0.4059,-18.0,,,,+nan,,+nan,,+nan
2008-09-30,2008Q3,1.1318,+234.0,,,,+nan,,+nan,,+nan
2008-06-30,2008Q2,0.6443,+54.0,,,,+nan,,+nan,,+nan
2008-03-31,2008Q1,0.4921,+16.0,,,,+nan,,+nan,,+nan
2007-12-31,2007Q4,0.4955,+431.0,,,,+nan,,+nan,,+nan
2007-09-30,2007Q3,0.3386,+1136.0,,,,+nan,,+nan,,+nan
2007-06-30,2007Q2,0.4182,+82.0,,,,+nan,,+nan,,+nan
2007-03-31,2007Q1,0.4242,-870.0,,,,+nan,,+nan,,+nan
2006-09-30,2006Q3,0.0933,-8.0,,,,+nan,,+nan,,+nan
2006-06-30,2006Q2,0.0274,-84.0,,,,+nan,,+nan,,+nan
2006-03-31,2006Q1,0.23,+12.0,,,,+nan,,+nan,,+nan
2005-09-30,2005Q3,-0.0551,+102.0,,,,+nan,,+nan,,+nan
2005-06-30,2005Q2,0.1017,-72.0,,,,+nan,,+nan,,+nan
2005-03-31,2005Q1,0.1662,+203.0,,,,+nan,,+nan,,+nan
2004-12-31,2004Q4,0.2047,+27.0,,,,+nan,,+nan,,+nan
2004-09-30,2004Q3,-0.0273,-133.0,,,,+nan,,+nan,,+nan
2004-06-30,2004Q2,0.3572,+175.0,,,,+nan,,+nan,,+nan
2004-03-31,2004Q1,0.0548,-42.0,,,,+nan,,+nan,,+nan
2003-12-31,2003Q4,0.1618,-29.0,,,,+nan,,+nan,,+nan
2003-09-30,2003Q3,0.0838,+2165.0,,,,+nan,,+nan,,+nan
2003-06-30,2003Q2,0.1298,+99.0,,,,+nan,,+nan,,+nan
2003-03-31,2003Q1,0.0949,-13.0,,,,+nan,,+nan,,+nan
2002-12-31,2002Q4,0.2282,+341.0,,,,+nan,,+nan,,+nan
2002-09-30,2002Q3,0.0037,-98.0,,,,+nan,,+nan,,+nan
2002-06-30,2002Q2,0.0652,-75.0,,,,+nan,,+nan,,+nan
2002-03-31,2002Q1,0.1091,-58.0,,,,+nan,,+nan,,+nan
2001-12-31,2001Q4,0.0518,-81.0,,,,+nan,,+nan,,+nan
2001-09-30,2001Q3,0.201,-27.0,,,,+nan,,+nan,,+nan
2001-06-30,2001Q2,0.2654,+6.0,,,,+nan,,+nan,,+nan
2001-03-31,2001Q1,0.2612,+19.0,,,,+nan,,+nan,,+nan
2000-12-31,2000Q4,0.276,+53.0,,,,+nan,,+nan,,+nan
2000-09-30,2000Q3,0.2763,-39.0,,,,+nan,,+nan,,+nan
2000-06-30,2000Q2,0.25,-32.0,0.24,0.01,,+nan,,+nan,,+nan
2000-03-31,2000Q1,0.22,-42.0,0.21,0.01,,+nan,,+nan,,+nan
1999-12-31,1999Q4,0.18,-53.0,0.16,0.02,,+nan,,+nan,,+nan
1999-09-30,1999Q3,0.45,+36.0,-0.04,0.49,,+nan,,+nan,,+nan
1999-06-30,1999Q2,0.37,+23.0,0.39,-0.02,,+nan,,+nan,,+nan
1999-03-31,1999Q1,0.38,+46.0,0.35,0.03,,+nan,,+nan,,+nan
1998-12-31,1998Q4,0.38,+41.0,0.38,0.0,,+nan,,+nan,,+nan
1998-09-30,1998Q3,0.33,+32.0,0.31,0.02,,+nan,,+nan,,+nan
1998-06-30,1998Q2,0.3,+30.0,0.28,0.02,,+nan,,+nan,,+nan
1998-03-31,1998Q1,0.26,+44.0,0.25,0.01,,+nan,,+nan,,+nan
1997-12-31,1997Q4,0.27,+80.0,0.27,0.0,,+nan,,+nan,,+nan
1997-09-30,1997Q3,0.25,+nan,0.23,0.02,,+nan,,+nan,,+nan
1997-06-30,1997Q2,0.23,+nan,0.21,0.02,,+nan,,+nan,,+nan
1997-03-31,1997Q1,0.18,+nan,0.48,-0.3,,+nan,,+nan,,+nan
1996-12-31,1996Q4,0.15,+nan,0.14,0.01,,+nan,,+nan,,+nan
