Unnamed: 0_x,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Unnamed: 0_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,quarter,EPS_YOY_pct_change,revenue_YOY_pct_change,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
0,2024-09-30,USD,4997000000,25182000000,20185000000,101000000,2717000000,1186000000,1039000000,2280000000,429000000.0,337000000.0,429000000.0,92000000,25182000000.0,-270000000.0,1050000000.0,1348000000,2768000000,601000000,92000000.0,2183000000.0,2620000000.0,2717000000,4224000000,2167000000,0.0,2024-10-23,0.72,0.58,0.14,24.1379,post-market,2024Q3,+9.0,+8.0,+17.0,0.08605353029942021,+8.0
1,2024-06-30,USD,4578000000,25500000000,20922000000,78000000,1605000000,1277000000,1074000000,2973000000,348000000.0,-86000000.0,348000000.0,86000000,25500000000.0,20000000.0,981000000.0,1278000000,1871000000,393000000,86000000.0,1494000000.0,1410000000.0,1957000000,3251000000,1478000000,1.0,2024-07-23,0.52,0.56,-0.04,-7.1429,post-market,2024Q2,-43.0,+2.0,-45.0,0.05796078431372549,-47.0
2,2024-03-31,USD,3696000000,21301000000,17605000000,68000000,1171000000,1374000000,1151000000,2525000000,350000000.0,-76000000.0,350000000.0,76000000,21364000000.0,108000000.0,929000000.0,1246000000,1538000000,409000000,76000000.0,1144000000.0,873000000.0,1614000000,2875000000,1129000000,2.0,2024-04-23,0.45,0.51,-0.06,-11.7647,post-market,2024Q1,-47.0,-9.0,-55.0,0.05300220646917985,-51.0
3,2023-12-31,USD,4438000000,25167000000,20729000000,102000000,2064000000,1280000000,1094000000,2374000000,333000000.0,-61000000.0,333000000.0,61000000,24994000000.0,-145000000.0,890000000.0,1232000000,2176000000,-5752000000,61000000.0,7943000000.0,8477000000.0,2237000000,3484000000,7928000000,3.0,2024-01-24,0.71,0.74,-0.03,-4.0541,post-market,2023Q4,-40.0,+3.0,+115.0,0.3150156951563555,+108.0
4,2023-09-30,USD,4178000000,23350000000,19172000000,11000000,1764000000,1253000000,1161000000,2414000000,282000000.0,-38000000.0,244000000.0,38000000,23350000000.0,37000000.0,897000000.0,1235000000,2020000000,167000000,38000000.0,1878000000.0,1571000000.0,2058000000,3318000000,1853000000,4.0,2023-10-18,0.66,0.72,-0.06,-8.3333,post-market,2023Q3,-37.0,+9.0,-44.0,0.0793576017130621,-48.0
5,2023-06-30,USD,4533000000,24927000000,20394000000,57000000,2399000000,1191000000,943000000,2134000000,238000000.0,-28000000.0,238000000.0,28000000,258000000.0,328000000.0,816000000.0,1154000000,3026000000,323000000,28000000.0,2614000000.0,2518000000.0,3054000000,3553000000,2703000000,5.0,2023-07-19,0.91,0.82,0.09,10.9756,post-market,2023Q2,+20.0,+47.0,+20.0,0.10843663497412444,-19.0
6,2023-03-31,USD,4511000000,23329000000,18818000000,126000000,2664000000,1076000000,771000000,1847000000,213000000.0,-29000000.0,184000000.0,29000000,25000000.0,-48000000.0,722000000.0,1046000000,2774000000,261000000,29000000.0,2539000000.0,2649000000.0,2803000000,3710000000,2513000000,6.0,2023-04-19,0.85,0.85,0.0,0.0,post-market,2023Q1,-21.0,+24.0,-24.0,0.10772000514381243,-39.0
7,2022-12-31,USD,5777000000,24318000000,18541000000,143000000,3901000000,1032000000,810000000,1876000000,157000000.0,-33000000.0,157000000.0,33000000,-80000000.0,-42000000.0,670000000.0,989000000,3963000000,276000000,33000000.0,3707000000.0,4268000000.0,3996000000,4890000000,3687000000,7.0,2023-01-25,1.19,1.13,0.06,5.3097,post-market,2022Q4,+40.0,+37.0,+59.0,0.15161608684924746,+16.0
8,2022-09-30,USD,5382000000,21454000000,16072000000,97000000,3688000000,961000000,733000000,1694000000,86000000.0,-53000000.0,33000000.0,53000000,21454000000.0,-85000000.0,620000000.0,956000000,3597000000,305000000,53000000.0,3331000000.0,2827000000.0,3650000000,4644000000,3292000000,8.0,2022-10-19,1.05,0.99,0.06,6.0606,post-market,2022Q3,+69.0,+56.0,+103.0,0.15344457909946863,+30.0
9,2022-06-30,USD,4234000000,16934000000,12700000000,82000000,2464000000,961000000,667000000,1770000000,26000000.0,-44000000.0,26000000.0,44000000,82000000.0,28000000.0,578000000.0,922000000,2464000000,205000000,44000000.0,2269000000.0,1832000000.0,2508000000,3386000000,2259000000,9.0,2022-07-20,0.76,0.6,0.16,26.6667,post-market,2022Q2,+58.0,+42.0,+98.0,0.13340025983229006,+40.0
