fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2024-09-30,2024Q3,0.72,+9.0,0.58,0.14,25182000000,+8.0,2167000000,+17.0,0.08605353029942021,+8.0
2024-06-30,2024Q2,0.52,-43.0,0.56,-0.04,25500000000,+2.0,1478000000,-45.0,0.05796078431372549,-47.0
2024-03-31,2024Q1,0.45,-47.0,0.51,-0.06,21301000000,-9.0,1129000000,-55.0,0.05300220646917985,-51.0
2023-12-31,2023Q4,0.71,-40.0,0.74,-0.03,25167000000,+3.0,7928000000,+115.0,0.3150156951563555,+108.0
2023-09-30,2023Q3,0.66,-37.0,0.72,-0.06,23350000000,+9.0,1853000000,-44.0,0.0793576017130621,-48.0
2023-06-30,2023Q2,0.91,+20.0,0.82,0.09,24927000000,+47.0,2703000000,+20.0,0.10843663497412444,-19.0
2023-03-31,2023Q1,0.85,-21.0,0.85,0.0,23329000000,+24.0,2513000000,-24.0,0.10772000514381243,-39.0
2022-12-31,2022Q4,1.19,+40.0,1.13,0.06,24318000000,+37.0,3687000000,+59.0,0.15161608684924746,+16.0
2022-09-30,2022Q3,1.05,+69.0,0.99,0.06,21454000000,+56.0,3292000000,+103.0,0.15344457909946863,+30.0
2022-06-30,2022Q2,0.76,+58.0,0.6,0.16,16934000000,+42.0,2259000000,+98.0,0.13340025983229006,+40.0
2022-03-31,2022Q1,1.07,+245.0,0.75,0.32,18756000000,+81.0,3318000000,+658.0,0.17690339091490723,+320.0
2021-12-31,2021Q4,0.85,+215.0,0.79,0.06,17719000000,+65.0,2321000000,+760.0,0.1309893334838309,+421.0
2021-09-30,2021Q3,0.62,+148.0,0.53,0.09,13757000000,+57.0,1618000000,+389.0,0.11761285163916552,+212.0
2021-06-30,2021Q2,0.48,+220.0,0.33,0.15,11958000000,+98.0,1142000000,+998.0,0.0955009198862686,+454.0
2021-03-31,2021Q1,0.31,+287.0,0.26,0.05,10389000000,+74.0,438000000,+2638.0,0.042159976898642794,+1477.0
2020-12-31,2020Q4,0.27,+93.0,0.34,-0.07,10744000000,+46.0,270000000,+157.0,0.02513030528667163,+77.0
2020-09-30,2020Q3,0.25,+108.0,0.19,0.06,8771000000,+39.0,331000000,+131.0,0.03773800022802417,+66.0
2020-06-30,2020Q2,0.15,-314.0,-0.01,0.16,6036000000,-5.0,104000000,-125.0,0.017229953611663355,-127.0
2020-03-31,2020Q1,0.08,-167.0,-0.02,0.1,5985000000,+32.0,16000000,-102.0,0.0026733500417710945,-102.0
2019-12-31,2019Q4,0.14,+8.0,0.11,0.03,7384000000,+2.0,105000000,-25.0,0.014219934994582881,-27.0
2019-09-30,2019Q3,0.12,-37.0,-0.03,0.15,6303000000,-8.0,143000000,-54.0,0.02268760907504363,-50.0
2019-06-30,2019Q2,-0.07,-56.0,-0.02,-0.05,6350000000,+59.0,-408000000,-43.0,-0.06425196850393701,-64.0
2019-03-31,2019Q1,-0.12,-45.0,-0.05,-0.07,4541000000,+33.0,-702000000,-1.0,-0.15459149966967628,-26.0
2018-12-31,2018Q4,0.13,-165.0,0.08,0.05,7226000000,+120.0,140000000,-121.0,0.01937448104068641,-109.0
2018-09-30,2018Q3,0.19,-200.0,0.03,0.16,6824000000,+129.0,311000000,-150.0,0.045574443141852286,-122.0
2018-06-30,2018Q2,-0.16,+78.0,-0.2,0.04,4002000000,+43.0,-718000000,+113.0,-0.1794102948525737,+49.0
2018-03-31,2018Q1,-0.22,+144.0,-0.24,0.02,3409000000,+26.0,-709000000,+115.0,-0.20797887943678497,+70.0
2017-12-31,2017Q4,-0.2,+43.0,-0.21,0.01,3288249000,+44.0,-675350000,+457.0,-0.20538286486211962,+287.0
2017-09-30,2017Q3,-0.19,-236.0,-0.15,-0.04,2984675000,+30.0,-619376000,-2931.0,-0.2075187415715279,-2280.0
2017-06-30,2017Q2,-0.09,+29.0,-0.12,0.03,2789557000,+120.0,-336397000,+15.0,-0.12059154912410823,-48.0
2017-03-31,2017Q1,-0.09,+125.0,-0.09,0.0,2696270000,+135.0,-330277000,+17.0,-0.12249403805998657,-50.0
2016-12-31,2016Q4,-0.14,-84.0,-0.21,0.07,2284631000,+88.0,-121337000,-62.0,-0.05311010837198655,-80.0
2016-09-30,2016Q3,0.14,-450.0,-0.08,0.22,2298436000,+145.0,21878000,-110.0,0.009518646592726531,-104.0
2016-06-30,2016Q2,-0.07,+133.0,-0.04,-0.03,1270017000,+33.0,-293188000,+59.0,-0.23085360274704983,+20.0
2016-03-31,2016Q1,-0.04,-89.0,-0.05,0.01,1147048000,+22.0,-282267000,+83.0,-0.2460812450743125,+50.0
2015-12-31,2015Q4,-0.87,+8600.0,0.1,-0.97,1214379000,+27.0,-320397000,+198.0,-0.26383608412200804,+135.0
2015-09-30,2015Q3,-0.04,-300.0,-0.04,0.0,936789000,+10.0,-229858000,+208.0,-0.24536795372277,+180.0
2015-06-30,2015Q2,-0.03,-400.0,-0.6,0.57,954976000,+24.0,-184227000,+198.0,-0.19291270147103173,+140.0
2015-03-31,2015Q1,-0.36,-3700.0,-0.5,0.14,939880000,+51.0,-154181000,+210.0,-0.16404328212112185,+104.0
2014-12-31,2014Q4,-0.01,-150.0,0.02,-0.03,956661000,+55.0,-107630000,+562.0,-0.11250589289204849,+326.0
2014-09-30,2014Q3,0.02,+100.0,-0.01,0.03,851804000,+97.0,-74708000,+94.0,-0.08770562242018116,-2.0
2014-06-30,2014Q2,0.01,+100.0,0.04,-0.03,769349000,+90.0,-61900000,+103.0,-0.08045763366170619,+7.0
2014-03-31,2014Q1,0.01,+100.0,0.1,-0.09,620542000,+10.0,-49800000,-543.0,-0.08025242449342672,-501.0
2013-12-31,2013Q4,0.02,-150.0,0.01,0.01,615219000,+101.0,-16264000,-82.0,-0.02643611461934693,-91.0
2013-09-30,2013Q3,0.01,-117.0,0.01,0.0,431346000,+761.0,-38496000,-65.0,-0.08924621997190191,-96.0
