Unnamed: 0_x,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Unnamed: 0_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,quarter,EPS_YOY_pct_change,revenue_YOY_pct_change,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
0,2024-09-30,USD,2628000000,11188000000,8560000000,6761000000,1061000000,1726000000,774000000,2573000000,195000000.0,52000000.0,195000000.0,128000000,25000000.0,-33000000,,73000000,2770000000,158000000,143000000.0,2599000000.0,2667000000,1061000000,2971000000,2612000000,0.0,2024-10-31,1.2,0.41,0.79,192.6829,pre-market,2024Q3,+1100.0,+20.0,+1082.0,0.23346442617089738,+882.0
1,2024-06-30,USD,2341000000,10700000000,8359000000,6488000000,796000000,1801000000,760000000,2631000000,176000000.0,37000000.0,176000000.0,128000000,-83000000.0,-6000000,,70000000,1072000000,57000000,139000000.0,1008000000.0,973000000,796000000,1270000000,1015000000,1.0,2024-08-06,0.47,0.31,0.16,51.6129,pre-market,2024Q2,+161.0,+16.0,+158.0,0.09485981308411215,+122.0
2,2024-03-31,USD,1752000000,10131000000,8379000000,6168000000,172000000,2126000000,790000000,3027000000,159000000.0,-124000000.0,159000000.0,124000000,-164000000.0,48000000,,85000000,-625000000,29000000,124000000.0,-663000000.0,-670000000,-501000000,-416000000,-654000000,2.0,2024-05-08,-0.31,0.23,-0.54,-234.7826,pre-market,2024Q1,+287.0,+15.0,+317.0,-0.06455433816997334,+263.0
3,2023-12-31,USD,2065000000,9936000000,7871000000,6057000000,652000000,1538000000,784000000,2627000000,160000000.0,-155000000.0,160000000.0,155000000,77000000.0,-36000000,,276000000,1562000000,133000000,155000000.0,1700000000.0,1488000000,1717000000,1993000000,1429000000,3.0,2024-02-07,0.66,0.17,0.49,288.2353,pre-market,2023Q4,+128.0,+15.0,+140.0,0.14382045088566828,+108.0
4,2023-09-30,USD,1990000000,9292000000,7302000000,5626000000,394000000,1587000000,797000000,2473000000,130000000.0,-166000000.0,166000000.0,166000000,-92000000.0,6000000,,89000000,181000000,-40000000,166000000.0,219000000.0,184000000,347000000,436000000,221000000,4.0,2023-11-07,0.1,0.12,-0.02,-16.6667,pre-market,2023Q3,-116.0,+11.0,-118.0,0.02378390012914335,-116.0
5,2023-06-30,USD,1915000000,9230000000,7315000000,5515000000,326000000,1709000000,808000000,2608000000,107000000.0,-144000000.0,144000000.0,144000000,-73000000.0,-147000000,,91000000,459000000,65000000,144000000.0,394000000.0,549000000,603000000,694000000,394000000,5.0,2023-08-01,0.18,-0.01,0.19,1900.0,pre-market,2023Q2,-114.0,+14.0,-115.0,0.04268689057421452,-113.0
6,2023-03-31,USD,1266000000,8823000000,7557000000,5259000000,-262000000,2204000000,775000000,3093000000,87000000.0,-168000000.0,168000000.0,168000000,-94000000.0,-21000000,,94000000,-102000000,55000000,168000000.0,-157000000.0,-312000000,66000000,160000000,-157000000,6.0,2023-05-02,-0.08,-0.09,0.01,11.1111,pre-market,2023Q1,-56.0,+29.0,-97.0,-0.017794400997393177,-98.0
7,2022-12-31,USD,1105000000,8607000000,7502000000,5307000000,-142000000,1867000000,747000000,2980000000,73000000.0,-151000000.0,603000000.0,151000000,-71000000.0,2000000,,300000000,511000000,-84000000,151000000.0,600000000.0,562000000,662000000,962000000,595000000,7.0,2023-02-08,0.29,-0.18,0.47,261.1111,pre-market,2022Q4,-212.0,+49.0,-33.0,0.06912977808760311,-55.0
8,2022-09-30,USD,983000000,8343000000,7360000000,5173000000,-495000000,2061000000,760000000,2947000000,38000000.0,-146000000.0,706000000.0,146000000,-48000000.0,1000000,,126000000,-1148000000,58000000,146000000.0,-1204000000.0,-911000000,-1002000000,-876000000,-1206000000,8.0,2022-11-01,-0.61,-0.22,-0.39,-177.2727,pre-market,2022Q3,+177.0,+72.0,-50.0,-0.14455231930960086,-71.0
9,2022-06-30,USD,712000000,8073000000,7361000000,5153000000,-713000000,2069000000,704000000,2912000000,17000000.0,-139000000.0,17000000.0,139000000,-38000000.0,5000000,,139000000,-2524000000,77000000,139000000.0,-2616000000.0,-2801000000,-2385000000,-2246000000,-2601000000,9.0,2022-08-02,-1.33,-0.26,-1.07,-411.5385,pre-market,2022Q2,+600.0,+105.0,-327.0,-0.3221850613154961,-211.0
