fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2024-09-30,2024Q3,1.2,+1100.0,0.41,0.79,11188000000,+20.0,2612000000,+1082.0,0.23346442617089738,+882.0
2024-06-30,2024Q2,0.47,+161.0,0.31,0.16,10700000000,+16.0,1015000000,+158.0,0.09485981308411215,+122.0
2024-03-31,2024Q1,-0.31,+287.0,0.23,-0.54,10131000000,+15.0,-654000000,+317.0,-0.06455433816997334,+263.0
2023-12-31,2023Q4,0.66,+128.0,0.17,0.49,9936000000,+15.0,1429000000,+140.0,0.14382045088566828,+108.0
2023-09-30,2023Q3,0.1,-116.0,0.12,-0.02,9292000000,+11.0,221000000,-118.0,0.02378390012914335,-116.0
2023-06-30,2023Q2,0.18,-114.0,-0.01,0.19,9230000000,+14.0,394000000,-115.0,0.04268689057421452,-113.0
2023-03-31,2023Q1,-0.08,-56.0,-0.09,0.01,8823000000,+29.0,-157000000,-97.0,-0.017794400997393177,-98.0
2022-12-31,2022Q4,0.29,-212.0,-0.18,0.47,8607000000,+49.0,595000000,-33.0,0.06912977808760311,-55.0
2022-09-30,2022Q3,-0.61,+177.0,-0.22,-0.39,8343000000,+72.0,-1206000000,-50.0,-0.14455231930960086,-71.0
2022-06-30,2022Q2,-1.33,+600.0,-0.26,-1.07,8073000000,+105.0,-2601000000,-327.0,-0.3221850613154961,-211.0
2022-03-31,2022Q1,-0.18,-169.0,-0.24,0.06,6854000000,+136.0,-5930000000,+5391.0,-0.8651882112634958,+2226.0
2021-12-31,2021Q4,-0.26,-52.0,-0.35,0.09,5778000000,+83.0,892000000,-192.0,0.15437867774316372,-150.0
2021-09-30,2021Q3,-0.22,-65.0,-0.3,0.08,4845000000,+72.0,-2424000000,+123.0,-0.5003095975232198,+29.0
2021-06-30,2021Q2,-0.19,-76.0,-0.51,0.32,3929000000,+105.0,1144000000,-164.0,0.2911682361924154,-131.0
2021-03-31,2021Q1,0.26,-141.0,-0.54,0.8,2903000000,-11.0,-108000000,-96.0,-0.03720289355838787,-96.0
2020-12-31,2020Q4,-0.54,-16.0,-0.56,0.02,3165000000,+8.0,-969000000,-12.0,-0.3061611374407583,-18.0
2020-09-30,2020Q3,-0.62,-9.0,-0.65,0.03,2813000000,-26.0,-1089000000,-6.0,-0.38713117667970137,+27.0
2020-06-30,2020Q2,-0.8,-83.0,-0.86,0.06,1913000000,-40.0,-1775000000,-66.0,-0.9278619968635651,-44.0
2020-03-31,2020Q1,-0.64,-71.0,-0.88,0.24,3248000000,+5.0,-2936000000,+190.0,-0.9039408866995073,+177.0
2019-12-31,2019Q4,-0.64,-66.0,-0.68,0.04,2922000000,+37.0,-1096000000,+24.0,-0.3750855578370979,-10.0
2019-09-30,2019Q3,-0.68,+nan,-0.81,0.13,3813000000,+30.0,-1162000000,+18.0,-0.3047469184369263,-9.0
2019-06-30,2019Q2,-4.77,+nan,-3.19,-1.58,3166000000,+14.0,-5236000000,+496.0,-1.6538218572331016,+421.0
2019-03-31,2019Q1,-2.23,+nan,-2.26,0.03,3099000000,+20.0,-1012000000,-127.0,-0.32655695385608263,-123.0
2018-12-31,2018Q4,-1.86,+nan,0.0,-1.86,2137000000,+nan,-887000000,+nan,-0.41506785212915304,+nan
2018-09-30,2018Q3,,+nan,,,2944000000,+nan,-986000000,+nan,-0.33491847826086957,+nan
2018-06-30,2018Q2,,+nan,,,2768000000,+nan,-878000000,+nan,-0.3171965317919075,+nan
2018-03-31,2018Q1,,+nan,,,2584000000,+nan,3748000000,+nan,1.4504643962848298,+nan
